Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000049246,PER3,26,-0.5532,29,-0.3811,33,-0.1781,33,-0.1923,76,1.16060,40,0.10331,22,-0.8885,24,-0.6928,61,0.79133,46,0.31350
ENSG00000116288,PARK7,356,-0.0113,294,-0.3127,286,-0.3554,295,-0.3067,359,0.00091,449,0.36044,392,0.16004,353,-0.0243,369,0.04774,399,0.16928
ENSG00000116285,ERRFI1,81,2.06980,25,0.04094,22,-0.1645,26,0.08804,10,-1.3396,9,-1.5072,25,0.04427,16,-0.6238,12,-1.0291,18,-0.4784
ENSG00000162426,SLC45A1,20,-0.4822,59,1.24705,39,0.53695,23,-0.2936,17,-0.7753,17,-0.7076,29,0.10713,17,-0.7784,21,-0.3886,33,0.26324
ENSG00000142599,RERE,66,-0.9680,129,0.05821,111,-0.1818,211,0.86332,120,-0.0614,140,0.18656,114,-0.1535,154,0.34159,95,-0.4264,115,-0.1199
ENSG00000074800,ENO1,481,-0.4574,790,0.32713,474,-0.4804,959,0.64617,546,-0.2605,753,0.24973,582,-0.1781,589,-0.1422,668,0.05642,664,0.04802
ENSG00000171612,SLC25A33,16,-1.2582,23,-0.7079,42,0.20449,58,0.73182,50,0.48839,28,-0.4244,21,-0.9604,36,-0.0316,47,0.37568,65,0.90383
ENSG00000188807,TMEM201,1,-3.6016,17,0.05698,28,0.89399,20,0.33428,27,0.79941,15,-0.0813,9,-0.9124,20,0.37309,19,0.28270,11,-0.5097
ENSG00000171603,CLSTN1,406,-0.6835,1077,0.87850,844,0.47092,712,0.19507,470,-0.4583,465,-0.4768,762,0.34256,534,-0.2602,337,-0.9696,564,-0.1766
ENSG00000178585,CTNNBIP1,32,-0.0876,22,-0.6819,68,1.11946,27,-0.3728,35,0.03885,22,-0.6999,22,-0.7720,33,-0.0586,43,0.36442,52,0.66898
ENSG00000162441,LZIC,46,0.42101,24,-0.5919,43,0.31993,28,-0.3732,26,-0.4648,39,0.14138,35,-0.0252,28,-0.3736,45,0.38592,40,0.21048
ENSG00000130939,UBE4B,23,-0.8824,61,0.64144,69,0.85172,26,-0.6944,39,-0.0669,47,0.22252,41,-0.0110,40,-0.0603,33,-0.3399,31,-0.4213
ENSG00000054523,KIF1B,139,-1.1859,321,0.10867,425,0.56379,310,0.04952,163,-0.9395,369,0.33293,296,-0.0229,296,-0.0213,382,0.38900,303,0.01276
ENSG00000142657,PGD,46,-0.1078,61,0.35198,75,0.68568,55,0.18946,52,0.10118,20,-1.3542,38,-0.4289,55,0.19274,52,0.10120,46,-0.1001
ENSG00000241563,CORT,25,-2.4395,25,-2.4359,51,-1.3936,64,-1.0395,70,-0.9248,21,-2.7017,39,-1.9007,989,4.59533,41,-1.7071,31,-2.1346
ENSG00000160049,DFFA,33,-0.0257,30,-0.1756,31,-0.1169,24,-0.4821,24,-0.5021,14,-1.3045,34,0.01758,31,-0.0945,45,0.48641,67,1.14372
ENSG00000142655,PEX14,16,-1.0060,43,0.48613,32,0.01603,37,0.25030,28,-0.1880,34,0.12231,35,0.18282,42,0.44329,24,-0.4634,22,-0.5492
ENSG00000120948,TARDBP,85,0.28436,96,0.46872,75,0.08496,61,-0.2526,49,-0.5779,99,0.52924,60,-0.2962,55,-0.3990,82,0.21251,63,-0.2001
ENSG00000116649,SRM,69,-0.9385,148,0.23958,105,-0.2939,138,0.12866,159,0.36179,79,-0.7286,170,0.53083,127,-0.0058,102,-0.3419,130,0.04183
ENSG00000171824,EXOSC10,30,0.30696,29,0.23834,31,0.35777,19,-0.4248,21,-0.2492,11,-1.1928,18,-0.5282,48,1.07322,25,-0.0187,23,-0.1105
ENSG00000198793,MTOR,38,-0.3179,46,-0.0113,55,0.27700,57,0.31319,68,0.60955,56,0.28929,55,0.30379,26,-0.8928,21,-1.2248,35,-0.4498
ENSG00000116661,FBXO2,201,-0.3041,231,-0.0857,180,-0.4728,168,-0.5794,270,0.15989,246,0.00928,271,0.18346,238,-0.0405,257,0.07960,353,0.59727
ENSG00000132879,FBXO44,98,-0.7326,253,0.76879,155,-0.0311,186,0.26436,203,0.40226,135,-0.2422,151,-0.0736,153,-0.0514,132,-0.2785,118,-0.4529
ENSG00000116670,MAD2L2,15,-0.8461,37,0.56078,25,-0.0407,34,0.43135,27,0.08325,17,-0.6191,24,-0.1418,18,-0.5696,28,0.14326,35,0.50374
ENSG00000177000,MTHFR,22,0.41398,14,-0.2374,16,-0.0767,42,1.52062,8,-1.0614,11,-0.6450,11,-0.6293,21,0.31022,14,-0.2434,14,-0.3018
ENSG00000011021,CLCN6,32,-1.1919,90,0.42241,102,0.63296,78,0.18629,61,-0.1987,63,-0.1426,53,-0.4530,90,0.43204,69,0.00228,69,-0.0040
ENSG00000116685,KIAA2013,49,0.40012,54,0.56332,43,0.19241,39,0.05930,29,-0.4261,24,-0.7206,20,-1.0359,66,0.89415,39,0.03269,35,-0.1252
ENSG00000083444,PLOD1,34,0.59763,18,-0.4165,27,0.19915,15,-0.6601,10,-1.2400,29,0.31087,21,-0.2125,21,-0.2071,23,-0.0234,41,0.87731
ENSG00000116688,MFN2,55,-0.8032,107,0.22111,125,0.47626,71,-0.4264,102,0.13696,79,-0.2505,92,-0.0255,128,0.50893,108,0.24103,65,-0.5493
ENSG00000116691,MIIP,30,1.08818,18,0.24738,24,0.69382,16,0.03180,5,-1.7662,14,-0.2052,10,-0.7592,13,-0.2817,5,-1.5166,26,0.84613
ENSG00000048707,VPS13D,43,-0.1350,41,-0.2049,67,0.56061,63,0.47234,53,0.20217,54,0.21924,34,-0.5578,49,0.06252,38,-0.3404,41,-0.2020
ENSG00000162496,DHRS3,70,1.62335,17,-0.6868,11,-1.2666,21,-0.3841,13,-1.0467,16,-0.7694,10,-1.5072,10,-1.4255,46,0.88755,68,1.56900
ENSG00000116731,PRDM2,48,-0.4648,97,0.66727,97,0.65536,74,0.23040,44,-0.5943,67,0.05558,51,-0.3867,54,-0.2847,66,0.02744,60,-0.1166
ENSG00000189337,KAZN,32,-0.1176,40,0.22974,82,1.45417,23,-0.5818,28,-0.3250,17,-1.0684,26,-0.4812,47,0.49706,37,0.12920,20,-0.8109
ENSG00000142634,EFHD2,36,-1.0214,50,-0.5471,291,2.57491,15,-2.3142,14,-2.4501,10,-2.8355,29,-1.4493,92,0.42624,178,1.57139,32,-1.2141
ENSG00000116138,DNAJC16,14,-0.9384,35,0.43782,36,0.52588,18,-0.5985,28,0.11347,33,0.34616,17,-0.7287,61,1.39652,12,-1.1278,18,-0.5849
ENSG00000197312,DDI2,13,-0.4870,29,0.81833,36,1.16063,16,-0.1677,9,-0.9416,9,-0.9473,17,-0.0600,15,-0.2298,23,0.45242,9,-1.0652
ENSG00000116786,PLEKHM2,90,-0.0427,47,-1.0430,101,0.13500,111,0.28278,88,-0.0878,84,-0.1456,112,0.34237,125,0.48327,77,-0.2854,72,-0.3959
ENSG00000065526,SPEN,47,0.23634,46,0.20920,49,0.28732,55,0.48991,19,-1.1859,29,-0.5404,32,-0.3986,40,-0.0296,51,0.36272,47,0.23397
ENSG00000116809,ZBTB17,19,0.01429,12,-0.6475,21,0.17461,15,-0.3361,16,-0.2182,15,-0.3936,17,-0.1946,36,1.06454,15,-0.3301,24,0.36780
ENSG00000037637,FBXO42,9,-1.0218,28,0.80473,20,0.29031,17,0.00601,23,0.50336,23,0.48876,16,-0.1264,8,-1.1879,10,-0.7982,17,0.00787
ENSG00000055070,SZRD1,51,0.64999,23,-0.6104,38,0.17019,30,-0.2144,30,-0.2032,22,-0.6470,30,-0.2027,40,0.26111,46,0.46855,35,0.01982
ENSG00000219481,NBPF1,16,-0.2963,15,-0.4767,22,0.16319,20,0.04032,32,0.75902,13,-0.6959,15,-0.4647,15,-0.4572,25,0.32469,32,0.73799
ENSG00000058453,CROCC,16,-0.0626,25,0.64380,28,0.85246,11,-0.5677,11,-0.5932,20,0.28714,16,-0.0367,14,-0.2066,14,-0.2683,10,-0.7545
ENSG00000159363,ATP13A2,106,-0.5449,154,0.03730,197,0.43569,169,0.18248,129,-0.2361,134,-0.1760,159,0.10072,232,0.70739,92,-0.7637,122,-0.3291
ENSG00000117118,SDHB,73,-0.4304,76,-0.3711,97,0.01026,116,0.29616,164,0.87517,93,-0.0527,89,-0.1230,101,0.07934,81,-0.2678,78,-0.3308
ENSG00000117115,PADI2,51,0.66948,11,-1.6504,23,-0.5560,9,-1.9836,25,-0.4551,26,-0.4114,16,-1.2251,30,-0.1636,96,1.78427,67,1.14097
ENSG00000179051,RCC2,12,-0.7598,28,0.59912,12,-0.7559,29,0.65620,20,0.04897,16,-0.2678,20,0.10098,26,0.46297,8,-1.3751,21,0.14363
ENSG00000117154,IGSF21,11,-2.5799,84,0.40840,166,1.57719,59,-0.1493,49,-0.4396,47,-0.5096,41,-0.7857,73,0.17460,95,0.60317,52,-0.3643
ENSG00000159423,ALDH4A1,25,-0.6819,16,-1.3324,32,-0.2871,35,-0.1469,59,0.66136,35,-0.1734,35,-0.1574,24,-0.7435,53,0.49875,78,1.13665
ENSG00000127463,EMC1,41,0.43095,46,0.61746,36,0.22712,33,0.07623,23,-0.4775,27,-0.2081,28,-0.2109,32,0.03614,28,-0.1500,22,-0.5334
ENSG00000053372,MRTO4,22,-0.6478,36,0.08151,33,-0.0811,25,-0.4824,46,0.48296,71,1.19760,33,-0.0795,26,-0.4092,27,-0.3603,25,-0.5030
ENSG00000053371,AKR7A2,85,0.88003,37,-0.4791,30,-0.7585,30,-0.7839,66,0.43935,49,-0.0208,53,0.11969,24,-1.0790,50,0.00893,70,0.53679
ENSG00000077549,CAPZB,311,0.59288,278,0.41085,193,-0.1763,199,-0.1275,313,0.60561,136,-0.7141,172,-0.3892,180,-0.2848,189,-0.2079,228,0.09204
ENSG00000173436,MICOS10,350,-0.2045,247,-0.7423,323,-0.3324,261,-0.6564,541,0.49220,549,0.51560,384,-0.0664,484,0.31015,484,0.31085,379,-0.0806
ENSG00000158747,NBL1,580,1.62307,173,-0.4015,337,0.66630,141,-0.7122,126,-0.8831,120,-0.9576,136,-0.8307,236,0.08561,252,0.18762,221,-0.0158
ENSG00000169914,OTUD3,9,-1.1869,26,0.49211,27,0.52672,29,0.66957,18,-0.0822,20,0.05030,22,0.27683,16,-0.2994,6,-1.7705,16,-0.2905
ENSG00000162545,CAMK2N1,579,-1.3708,1407,-0.0079,798,-0.8867,2021,0.57786,1927,0.49903,2000,0.56074,2045,0.68267,965,-0.5964,784,-0.9142,986,-0.5624
ENSG00000090432,MUL1,19,-0.2967,31,0.46410,33,0.57380,26,0.19444,19,-0.3216,15,-0.6212,20,-0.2775,24,0.03277,30,0.41420,18,-0.3921
ENSG00000158828,PINK1,229,-0.9733,425,-0.0177,495,0.22813,394,-0.1344,438,0.03264,337,-0.3810,566,0.50375,531,0.34052,429,-0.0021,313,-0.4913
ENSG00000244038,DDOST,30,0.14305,35,0.35931,24,-0.2528,35,0.34925,48,0.89288,33,0.26199,18,-0.6912,27,-0.0238,19,-0.5847,18,-0.6548
ENSG00000117245,KIF17,8,-1.1389,25,0.61671,33,1.06579,23,0.43360,15,-0.2195,12,-0.5549,17,-0.0230,11,-0.6498,12,-0.5957,16,-0.0645
ENSG00000189410,SH2D5,22,-0.2514,50,1.10556,17,-0.5718,28,0.15794,25,-0.0126,23,-0.1597,28,0.16881,32,0.36402,10,-1.3613,16,-0.6915
ENSG00000127483,HP1BP3,177,0.01418,163,-0.1147,205,0.24703,167,-0.0779,144,-0.3152,126,-0.5191,162,-0.1410,279,0.75647,169,-0.0563,177,0.01018
ENSG00000075151,EIF4G3,71,-0.9240,188,0.60669,197,0.67793,128,-0.0170,174,0.47293,117,-0.1539,117,-0.1706,124,-0.0691,136,0.08197,54,-1.3416
ENSG00000117298,ECE1,51,1.77706,12,-0.6087,20,0.19967,30,0.82245,11,-0.6774,7,-1.4295,5,-1.8186,16,-0.1283,14,-0.3087,23,0.41304
ENSG00000076864,RAP1GAP,95,-0.7342,287,1.02997,230,0.65992,155,0.02138,149,-0.0499,112,-0.4944,146,-0.0911,139,-0.1596,132,-0.2299,97,-0.7148
ENSG00000090686,USP48,26,-0.7409,49,0.25283,37,-0.1978,33,-0.3724,30,-0.5026,47,0.17001,62,0.72063,31,-0.4602,45,0.09465,40,-0.0909
ENSG00000070831,CDC42,274,0.20299,280,0.24174,277,0.21959,261,0.12683,308,0.39154,154,-0.6960,238,-0.0249,253,0.07770,199,-0.3016,171,-0.5381
ENSG00000173372,C1QA,144,2.68041,8,-2.1298,10,-1.8047,23,-0.5668,13,-1.3925,27,-0.3112,22,-0.7142,29,-0.2340,28,-0.2429,40,0.29265
ENSG00000159189,C1QC,112,2.60391,6,-2.0691,3,-3.1942,18,-0.6337,6,-2.1275,14,-1.0054,20,-0.5077,24,-0.1776,32,0.29522,39,0.60185
ENSG00000173369,C1QB,216,2.88710,8,-2.5260,26,-0.8880,16,-1.5622,44,-0.0628,34,-0.4665,31,-0.6746,17,-1.4952,35,-0.4201,47,0.03330
ENSG00000004487,KDM1A,35,-0.5923,74,0.57042,51,-0.0156,56,0.12778,34,-0.6334,42,-0.3347,64,0.37987,62,0.28475,39,-0.4454,48,-0.1126
ENSG00000169641,LUZP1,22,-0.7860,48,0.44433,51,0.53697,20,-0.8916,59,0.78170,19,-0.9734,28,-0.4590,71,1.10253,32,-0.1838,22,-0.7654
ENSG00000125944,HNRNPR,81,-0.3279,133,0.45403,101,0.00981,100,0.00310,60,-0.7929,119,0.27818,99,-0.0177,95,-0.0784,135,0.48249,78,-0.3800
ENSG00000125945,ZNF436,12,-0.9717,45,1.05818,24,0.04739,22,-0.1150,12,-0.9994,44,1.02048,19,-0.3284,21,-0.1956,21,-0.1873,19,-0.3391
ENSG00000117318,ID3,317,3.88725,3,-3.7955,9,-2.4186,7,-2.8071,18,-1.5133,4,-3.4114,15,-1.7977,27,-0.8748,22,-1.1504,88,0.98917
ENSG00000142676,RPL11,1678,1.34028,314,-1.3444,430,-0.8705,514,-0.5983,482,-0.6979,760,0.01126,781,0.06105,589,-0.3889,1090,0.59562,882,0.24885
ENSG00000011007,ELOA,31,0.59604,18,-0.2726,44,1.20966,11,-0.9336,15,-0.5030,15,-0.4982,21,-0.0383,20,-0.1137,23,0.10137,15,-0.5668
ENSG00000057757,PITHD1,105,-0.9453,249,0.40735,244,0.37223,208,0.11701,215,0.16965,213,0.15311,173,-0.1886,268,0.52725,140,-0.5050,138,-0.5254
ENSG00000011009,LYPLA2,38,-0.6889,73,0.33459,43,-0.4889,80,0.47289,91,0.69963,86,0.59852,65,0.15169,36,-0.7526,28,-1.1640,48,-0.3388
ENSG00000117308,GALE,10,-0.8378,25,0.56200,20,0.23886,14,-0.3491,13,-0.4796,11,-0.6671,21,0.30955,25,0.58913,14,-0.3469,18,0.05792
ENSG00000117305,HMGCL,30,1.11301,9,-0.6983,17,0.21319,15,-0.0346,10,-0.5827,8,-0.8953,7,-1.2490,5,-1.6820,26,0.87495,31,1.20163
ENSG00000179163,FUCA1,12,-0.3224,24,0.82235,8,-0.9349,13,-0.1616,16,0.17598,16,0.13637,17,0.28898,14,-0.0786,8,-0.8264,14,-0.0164
ENSG00000189266,PNRC2,112,1.03403,47,-0.3776,81,0.48093,47,-0.3662,38,-0.6862,61,0.04414,45,-0.4885,53,-0.1848,73,0.31946,55,-0.1328
ENSG00000188529,SRSF10,50,-0.1353,73,0.45417,68,0.34368,60,0.13114,51,-0.1176,40,-0.4939,46,-0.2869,44,-0.3318,70,0.39895,54,-0.0181
ENSG00000001461,NIPAL3,43,-0.4446,71,0.35071,96,0.84832,36,-0.7127,24,-1.2907,21,-1.4991,38,-0.6785,145,1.57838,63,0.14868,52,-0.1387
ENSG00000133226,SRRM1,106,1.12554,56,0.08648,61,0.21381,48,-0.1722,34,-0.7159,38,-0.5288,28,-1.0456,68,0.39275,85,0.75556,35,-0.6583
ENSG00000169504,CLIC4,227,2.88087,8,-2.6412,46,-0.0868,9,-2.5305,14,-1.9004,9,-2.4809,13,-2.0240,38,-0.3800,94,1.08711,61,0.37681
ENSG00000117614,SYF2,119,0.73588,70,-0.1252,51,-0.6122,65,-0.2409,54,-0.5293,74,-0.0415,78,0.06389,87,0.22468,98,0.40968,58,-0.4079
ENSG00000117616,RSRP1,45,-0.0578,56,0.27364,58,0.32833,36,-0.4185,41,-0.1999,88,1.02373,19,-1.4538,71,0.65393,43,-0.1284,41,-0.2117
