Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to8,Feature log2 fold change topic 5to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000157873,TNFRSF14,6,-1.5438,8,-1.1377,10,-0.9086,20,0.36665,68,2.42220,2,-2.8908,10,-0.8146
ENSG00000157870,PRXL2B,23,-2.0581,118,0.43080,124,0.57665,86,-0.0831,102,0.20664,93,0.04720,74,-0.3179
ENSG00000177133,PRDM16-DT,12,-0.3168,7,-1.0768,8,-0.8806,9,-0.8974,15,0.08998,20,0.52939,33,1.59633
ENSG00000158109,TPRG1L,50,-1.7268,206,0.42955,235,0.72523,194,0.48277,89,-0.8768,121,-0.4041,87,-0.9649
ENSG00000116213,WRAP73,21,0.40423,5,-1.7224,19,0.21107,24,0.89514,15,-0.1127,4,-2.1425,10,-0.8763
ENSG00000130764,LRRC47,86,-0.0377,89,0.01542,128,0.66893,95,0.16312,74,-0.2819,64,-0.5028,55,-0.7779
ENSG00000116198,CEP104,66,1.68002,21,-0.2104,20,-0.3069,21,-0.2501,7,-1.7684,37,0.68197,16,-0.6486
ENSG00000198912,C1orf174,15,-0.2772,15,-0.2383,32,1.05963,19,0.16421,12,-0.6374,6,-1.4882,12,-0.5696
ENSG00000196581,AJAP1,21,-0.3243,16,-0.6888,29,0.17304,35,0.70847,8,-1.7325,20,-0.3820,24,-0.1420
ENSG00000069424,KCNAB2,19,-3.6672,316,0.49652,271,0.27884,311,0.70011,204,-0.1989,165,-0.5247,143,-0.8018
ENSG00000116254,CHD5,12,-3.6934,154,0.05951,289,1.25521,135,-0.2052,83,-0.8893,112,-0.4371,153,0.04597
ENSG00000116251,RPL22,1002,0.88557,525,-0.1580,368,-0.7577,402,-0.7350,660,0.20354,1075,1.00507,679,0.27657
ENSG00000116237,ICMT,43,0.40546,19,-0.7982,22,-0.6536,47,0.87607,32,-0.0377,9,-1.8754,29,-0.2265
ENSG00000097021,ACOT7,52,-2.3137,257,0.09407,346,0.64491,368,1.03550,116,-1.1287,105,-1.2704,106,-1.3451
ENSG00000215788,TNFRSF25,10,-1.4684,19,-0.6303,32,0.19503,28,-0.0276,62,1.28724,22,-0.3593,25,-0.1853
ENSG00000171680,PLEKHG5,0,-8.1045,29,0.35429,23,0.01524,31,0.65110,16,-0.5264,15,-0.6173,24,0.05739
ENSG00000162408,NOL9,23,-0.6817,37,0.04242,52,0.63507,39,0.15061,18,-1.0864,18,-1.0875,40,0.18043
ENSG00000204859,ZBTB48,9,-0.6945,13,-0.0936,12,-0.2440,15,0.07686,45,1.97141,0,-6.0840,9,-0.6306
ENSG00000162413,KLHL21,54,0.51479,14,-1.5201,45,0.27019,37,-0.1238,88,1.35348,13,-1.6444,30,-0.4373
ENSG00000116273,PHF13,15,-0.1153,3,-2.4829,25,0.72996,22,0.68117,16,-0.0204,4,-2.1634,11,-0.6890
ENSG00000041988,THAP3,12,-0.8173,13,-0.7850,18,-0.3228,30,0.76939,27,0.34443,6,-1.7562,22,0.06647
ENSG00000007923,DNAJC11,25,-0.3811,35,0.10191,48,0.69438,31,-0.0631,6,-2.4598,41,0.35384,31,-0.0992
ENSG00000171735,CAMTA1,92,-0.7887,141,-0.1330,144,-0.1065,125,-0.4168,209,0.49446,150,-0.0302,229,0.72955
ENSG00000049245,VAMP3,151,2.11421,5,-3.1174,13,-1.8965,21,-1.4078,109,1.50869,65,0.62592,45,0.02529
ENSG00000049246,PER3,46,0.48892,33,-0.0482,31,-0.1410,25,-0.6178,42,0.32375,29,-0.2489,48,0.60744
ENSG00000116288,PARK7,370,0.00144,463,0.35925,339,-0.1466,371,0.00877,437,0.26693,354,-0.0649,323,-0.2276
ENSG00000116285,ERRFI1,35,1.00576,5,-1.7459,13,-0.5652,26,0.81766,6,-1.7285,13,-0.5793,16,-0.2071
ENSG00000162426,SLC45A1,10,-1.7861,20,-0.7086,44,0.53476,47,0.90638,36,0.16689,14,-1.3016,16,-1.1060
ENSG00000142599,RERE,87,-0.4534,116,-0.0029,102,-0.2282,115,-0.0372,130,0.17663,160,0.50054,122,0.07457
ENSG00000074800,ENO1,437,-0.8294,587,-0.3785,673,-0.1820,973,0.61186,1049,0.54010,382,-1.0312,645,-0.2540
ENSG00000171612,SLC25A33,42,0.18520,24,-0.6380,31,-0.3063,38,0.03193,58,0.72013,16,-1.2705,46,0.38491
ENSG00000188807,TMEM201,18,-0.1429,22,0.18597,20,0.05818,21,0.14621,27,0.47228,16,-0.3158,14,-0.5310
ENSG00000171608,PIK3CD,3,-2.2689,28,0.82759,29,1.03915,18,0.22028,9,-0.9169,5,-1.6041,10,-0.7207
ENSG00000171603,CLSTN1,234,-1.3067,385,-0.5560,717,0.47088,780,0.83826,506,-0.1306,228,-1.3415,350,-0.7545
ENSG00000178585,CTNNBIP1,52,0.33671,22,-0.9968,55,0.48741,28,-0.7942,71,0.84836,52,0.33447,42,0.00524
ENSG00000162441,LZIC,101,1.47325,44,0.09675,19,-1.2922,30,-0.6428,69,0.82281,44,0.07606,41,-0.0087
ENSG00000130939,UBE4B,43,0.13888,27,-0.5683,70,1.05265,40,0.02135,15,-1.4799,21,-0.9875,35,-0.2263
ENSG00000054523,KIF1B,369,0.14573,359,0.10467,415,0.37246,308,-0.1893,194,-0.8435,361,0.11054,346,0.04953
ENSG00000142657,PGD,75,0.07765,53,-0.4573,95,0.49865,79,0.21666,80,0.17270,52,-0.5032,47,-0.7043
ENSG00000241563,CORT,5,-3.9128,18,-2.0304,24,-1.7121,159,2.63233,27,-1.4171,52,-0.4449,26,-1.5708
ENSG00000160049,DFFA,58,0.88521,21,-0.6847,27,-0.3770,31,-0.1632,51,0.68106,22,-0.6066,35,0.10496
ENSG00000142655,PEX14,15,-0.8815,22,-0.2646,29,0.19404,36,0.71405,31,0.23352,10,-1.4407,18,-0.5959
ENSG00000120948,TARDBP,105,0.55552,72,-0.0517,58,-0.4100,73,-0.0256,70,-0.0809,104,0.53212,65,-0.2268
ENSG00000271895,AL109811.2,15,0.34231,4,-1.4524,17,0.57699,13,0.24829,15,0.33466,2,-2.6159,10,-0.2421
ENSG00000116649,SRM,55,-1.1771,146,0.32438,154,0.46312,133,0.26328,127,0.10953,81,-0.5798,86,-0.5343
ENSG00000171824,EXOSC10,37,0.01459,23,-0.7273,37,0.04050,43,0.39036,69,1.03909,21,-0.8195,20,-0.9995
ENSG00000198793,MTOR,37,-0.3614,44,-0.0885,51,0.13836,52,0.24067,68,0.59380,56,0.28925,23,-1.1489
ENSG00000116661,FBXO2,551,0.63504,270,-0.4941,207,-0.9590,301,-0.4302,879,1.43466,251,-0.6030,441,0.30377
ENSG00000132879,FBXO44,49,-1.9854,145,-0.3552,265,0.66825,237,0.60788,146,-0.3508,129,-0.5443,123,-0.6601
ENSG00000116670,MAD2L2,58,0.90215,19,-0.8577,21,-0.7326,39,0.34639,17,-0.9938,39,0.26161,34,0.02421
ENSG00000177674,AGTRAP,45,1.38897,13,-0.6184,7,-1.6503,7,-1.8082,73,2.29497,10,-0.9569,25,0.44270
ENSG00000177000,MTHFR,9,-1.3292,27,0.31417,26,0.22587,23,0.02927,24,0.09099,15,-0.6171,26,0.24758
ENSG00000011021,CLCN6,51,-0.8118,87,0.01340,130,0.72850,86,-0.0033,70,-0.3211,88,0.02014,69,-0.3856
ENSG00000116685,KIAA2013,55,0.57149,49,0.40168,41,0.13184,41,0.12074,38,1.71697,28,-0.4718,22,-0.8970
ENSG00000083444,PLOD1,36,0.44150,16,-0.7511,24,-0.1670,22,-0.3912,81,1.85505,20,-0.4843,17,-0.7981
ENSG00000116688,MFN2,88,-0.3159,74,-0.5686,135,0.40018,145,0.69942,75,-0.5516,66,-0.7595,70,-0.7255
ENSG00000116691,MIIP,11,-0.7715,19,0.02467,19,0.04753,18,-0.0437,48,1.56548,10,-0.8606,12,-0.7365
ENSG00000048707,VPS13D,25,-1.1628,36,-0.6243,75,0.57855,65,0.41290,65,0.30282,24,-1.1996,44,-0.3362
ENSG00000162496,DHRS3,61,1.09307,13,-1.2910,13,-1.3407,17,-1.1484,86,1.70358,29,-0.1047,45,0.64395
ENSG00000116731,PRDM2,32,-0.8589,35,-0.7105,98,1.05321,59,0.12601,20,-1.5150,81,0.61023,33,-0.8379
ENSG00000189337,KAZN,77,0.67805,68,0.48325,47,-0.1182,51,0.05298,77,0.67444,21,-1.3164,30,-0.8287
ENSG00000142634,EFHD2,31,-2.0176,222,1.00059,314,1.94292,39,-2.0089,51,-1.2894,281,1.41326,34,-1.9830
ENSG00000116138,DNAJC16,26,0.08249,23,-0.1288,37,0.73208,32,0.59301,6,-2.1087,5,-2.4306,17,-0.5675
ENSG00000197312,DDI2,10,-0.9975,19,0.00234,30,0.82154,20,0.12397,17,-0.1336,22,0.25825,9,-1.1145
ENSG00000116786,PLEKHM2,41,-0.7009,86,0.44563,68,0.07479,67,0.07362,59,-0.1447,60,-0.1329,65,-0.0114
ENSG00000065526,SPEN,51,0.84649,27,-0.1605,31,0.05708,20,-0.8149,45,0.64081,24,-0.3272,36,0.31306
ENSG00000116809,ZBTB17,13,-0.5710,28,0.58478,16,-0.3099,13,-0.7432,24,0.33659,46,1.41850,18,-0.1252
ENSG00000185519,FAM131C,26,0.49749,32,0.82389,9,-1.1464,25,0.64535,16,-0.2765,0,-4.8638,18,-0.1468
ENSG00000288398,AL109627.1,5,-1.2928,19,0.65590,14,0.16862,2,-2.7031,22,0.89150,43,2.08497,12,-0.0549
ENSG00000037637,FBXO42,17,-0.5332,16,-0.6239,27,0.21863,35,0.85249,20,-0.3277,5,-2.2694,20,-0.3468
ENSG00000055070,SZRD1,48,0.82212,13,-1.1837,17,-0.8004,22,-0.5329,54,1.03631,18,-0.6786,43,0.75483
ENSG00000157191,NECAP2,56,1.51119,11,-1.0176,11,-1.1499,19,-0.3390,45,1.10444,4,-2.3424,28,0.35892
ENSG00000219481,NBPF1,17,0.51083,6,-1.1071,10,-0.3641,16,0.55211,10,-0.2559,5,-1.2884,13,0.14124
ENSG00000058453,CROCC,14,-0.4206,14,-0.4011,29,0.82298,16,-0.3158,34,0.96860,0,-5.0617,19,0.03774
ENSG00000238142,BX284668.5,11,-0.2457,20,0.69044,8,-0.8556,15,0.26437,0,-5.9832,7,-0.9985,22,0.96762
ENSG00000159363,ATP13A2,40,-2.0056,124,-0.3027,207,0.56361,216,0.85536,109,-0.5008,103,-0.5861,80,-1.0399
ENSG00000117118,SDHB,80,-0.1152,110,0.39570,76,-0.2082,113,0.64038,76,-0.1828,28,-1.6730,66,-0.4423
ENSG00000117115,PADI2,465,3.87560,9,-2.9016,13,-2.5532,16,-2.5242,54,-0.3462,76,0.18979,58,-0.2642
ENSG00000179051,RCC2,28,0.42494,4,-2.4000,8,-1.5337,33,1.11309,28,0.45103,15,-0.5592,15,-0.5328
ENSG00000074964,ARHGEF10L,25,0.47918,16,-0.1902,13,-0.5569,19,0.05141,33,0.94243,2,-2.9840,21,0.25489
ENSG00000117154,IGSF21,30,-1.5711,71,-0.2966,164,1.21548,83,-0.0887,38,-1.2544,78,-0.1617,79,-0.1514
ENSG00000159423,ALDH4A1,40,0.44820,19,-0.6681,15,-1.0583,25,-0.3898,52,0.88955,21,-0.5377,48,0.87704
ENSG00000169991,IFFO2,15,-0.0667,19,0.33012,23,0.68366,17,0.15881,20,0.34299,2,-2.5696,9,-0.8845
ENSG00000127463,EMC1,26,-0.3533,20,-0.7890,52,0.79515,32,-0.1113,33,-0.0200,28,-0.2474,31,-0.1123
ENSG00000053372,MRTO4,13,-1.3649,33,0.02219,52,0.84738,32,-0.0357,10,-1.8100,29,-0.1650,37,0.21729
ENSG00000053371,AKR7A2,50,-0.0397,56,0.13058,36,-0.5758,40,-0.4988,110,1.24340,60,0.22439,54,0.08929
ENSG00000040487,SLC66A1,24,1.20157,12,0.05025,11,-0.0235,11,-0.1668,4,-1.5202,0,-5.4103,16,0.62421
ENSG00000077549,CAPZB,127,-0.7721,244,0.23683,259,0.37509,221,0.11389,239,0.20331,154,-0.4761,176,-0.3025
ENSG00000173436,MICOS10,266,-0.0866,459,0.78743,203,-0.5494,241,-0.3266,298,0.08996,478,0.85538,255,-0.1717
ENSG00000158747,NBL1,68,-1.5058,163,-0.1862,265,0.65886,167,-0.1978,217,0.26289,195,0.09873,181,-0.0240
ENSG00000169914,OTUD3,4,-1.8651,13,-0.1875,24,0.95512,17,0.39921,7,-1.1106,8,-0.8308,12,-0.3463
ENSG00000162545,CAMK2N1,590,0.23168,389,-0.4225,337,-0.6916,691,0.72129,174,-1.6316,496,-0.0441,515,0.01857
ENSG00000090432,MUL1,21,-0.1414,16,-0.5993,29,0.36388,26,0.17918,35,0.63415,12,-1.0296,19,-0.3603
ENSG00000183114,FAM43B,6,-1.8442,13,-0.6869,50,1.80828,12,-0.9310,3,-2.4654,27,0.46542,21,0.07953
ENSG00000158828,PINK1,264,-0.5766,548,0.57400,408,0.10963,429,0.24901,284,-0.4650,322,-0.2697,325,-0.2824
ENSG00000244038,DDOST,28,-0.3757,15,-1.3132,27,-0.4169,51,0.86955,60,0.85726,18,-1.0381,23,-0.7280
ENSG00000117245,KIF17,5,-2.1888,44,0.96297,40,0.91031,22,-0.1477,13,-0.9315,39,0.77748,9,-1.5145
ENSG00000189410,SH2D5,1,-4.7900,65,0.59978,53,0.30559,62,0.75288,29,-0.6708,36,-0.3304,26,-0.8687
ENSG00000127483,HP1BP3,185,0.26813,154,-0.0254,177,0.22214,142,-0.2020,117,-0.4508,179,0.21704,159,0.02679
ENSG00000075151,EIF4G3,76,-0.6149,121,0.09993,162,0.63099,138,0.43960,42,-1.4925,96,-0.2673,77,-0.6494
ENSG00000117298,ECE1,45,0.92538,2,-3.7614,6,-2.2757,7,-2.1877,172,3.79091,12,-1.1628,17,-0.6746
ENSG00000162551,ALPL,5,-2.1520,13,-0.7718,2,-3.3448,8,-1.7882,124,3.24932,61,1.71915,12,-1.0225
ENSG00000076864,RAP1GAP,53,-2.0034,185,-0.1370,389,1.23764,238,0.36764,108,-0.9628,128,-0.7017,111,-0.9923
ENSG00000090686,USP48,59,0.54870,21,-0.9981,55,0.51144,51,0.44903,9,-2.2966,34,-0.3288,31,-0.4733
ENSG00000070831,CDC42,294,0.23535,193,-0.4199,318,0.39904,294,0.33194,267,0.08394,149,-0.8161,164,-0.7275
ENSG00000070886,EPHA8,1,-3.4821,13,0.04889,37,2.28777,11,-0.1931,0,-5.9786,14,0.20665,0,-4.1390
ENSG00000173372,C1QA,19,-0.6367,2,-3.5705,11,-1.4777,5,-2.8147,149,2.98751,77,1.62037,29,-0.0024
ENSG00000159189,C1QC,21,-0.0805,1,-3.8964,2,-3.1850,2,-3.8375,108,2.86871,61,1.67998,31,0.61775
ENSG00000173369,C1QB,67,0.61622,5,-3.1144,22,-1.1668,8,-2.9168,186,2.49824,69,0.66570,70,0.79819
ENSG00000004487,KDM1A,21,-1.3861,44,-0.2387,57,0.16301,70,0.72715,55,0.10739,43,-0.2808,31,-0.8443
ENSG00000169641,LUZP1,6,-2.3258,27,-0.1781,46,0.73836,29,-0.0752,12,-1.3460,57,1.00468,27,-0.2148
ENSG00000125944,HNRNPR,112,-0.1093,83,-0.5753,131,0.14832,129,0.16129,156,0.40808,98,-0.3136,107,-0.1930
ENSG00000125945,ZNF436,13,-0.4118,12,-0.5968,26,0.66906,22,0.50432,0,-7.0460,14,-0.3501,16,-0.1153
ENSG00000088280,ASAP3,42,2.29334,1,-3.4921,8,-0.4565,5,-1.3332,5,-1.1796,14,0.36098,17,0.72000
ENSG00000117318,ID3,212,1.52303,12,-2.8607,7,-3.8013,7,-4.0399,687,4.48125,18,-2.3246,25,-1.9565
ENSG00000142676,RPL11,1090,1.13559,552,0.01900,250,-1.2732,380,-0.7232,881,0.77481,819,0.65214,591,0.14089
ENSG00000011007,ELOA,20,-0.0183,15,-0.4268,31,0.74226,21,0.09061,9,-1.1637,10,-0.9736,21,0.06408
ENSG00000057757,PITHD1,117,-0.7513,237,0.34262,237,0.38424,255,0.67742,105,-0.9146,139,-0.4887,100,-1.0657
ENSG00000011009,LYPLA2,11,-2.2723,56,0.06299,83,0.80500,61,0.31067,33,-0.7270,32,-0.7823,48,-0.1713
ENSG00000117308,GALE,5,-1.7108,3,-2.5139,13,-0.2404,25,1.17296,16,0.03666,11,-0.4759,13,-0.3461
ENSG00000117305,HMGCL,25,0.34609,13,-0.6575,22,0.14329,13,-0.7880,40,1.13779,25,0.36850,20,-0.0203
ENSG00000179163,FUCA1,9,-0.7069,3,-2.4774,16,0.04760,16,0.15236,37,1.44452,5,-1.6311,16,0.09308
ENSG00000189266,PNRC2,55,0.13864,52,0.04815,47,-0.1117,38,-0.5912,81,0.76488,63,0.34448,55,0.13869
ENSG00000188529,SRSF10,40,-0.4563,61,0.18311,46,-0.2927,63,0.33932,76,0.53734,35,-0.6722,47,-0.2268
ENSG00000001461,NIPAL3,142,1.80145,12,-2.0982,55,0.20738,36,-0.5941,57,0.23835,44,-0.1727,38,-0.4118
ENSG00000133226,SRRM1,89,1.00583,23,-1.1365,33,-0.6073,48,-0.0089,43,-0.1794,78,0.78572,43,-0.2020
ENSG00000169504,CLIC4,347,3.54706,14,-2.0699,12,-2.3986,7,-3.4656,121,1.27529,54,-0.0483,41,-0.5171
ENSG00000117614,SYF2,64,0.15242,66,0.20707,49,-0.2942,47,-0.4142,98,0.84582,73,0.36081,54,-0.1223
ENSG00000117616,RSRP1,81,0.38023,46,-0.4802,83,0.47857,65,0.03707,80,0.36443,33,-1.0164,49,-0.4433
ENSG00000183726,TMEM50A,140,0.89687,34,-1.3130,42,-1.0687,84,0.10809,138,0.88072,94,0.25334,68,-0.2785
ENSG00000204178,MACO1,41,1.02541,15,-0.5761,29,0.50393,22,0.05074,8,-1.4982,4,-2.4209,23,0.09842
ENSG00000117643,MAN1C1,48,0.32816,10,-2.0835,32,-0.3188,63,1.18744,56,0.56302,16,-1.3739,12,-1.8186
ENSG00000162430,SELENON,80,0.67200,39,-0.4675,54,0.06122,41,-0.5049,84,0.74477,39,-0.4577,58,0.17618
ENSG00000117640,MTFR1L,63,-0.1441,61,-0.2007,72,0.05957,73,0.10714,50,-0.4979,87,0.35419,68,-0.0323
ENSG00000182749,PAQR7,8,-0.7115,9,-0.5770,17,0.39797,14,-0.0087,14,0.01168,11,-0.3739,17,0.32116
ENSG00000117632,STMN1,715,-0.7928,1828,0.68417,1624,0.55020,1401,0.35858,569,-1.1369,1563,0.42864,407,-1.7315
ENSG00000158008,EXTL1,4,-3.7267,83,0.77521,92,1.08275,49,-0.1217,26,-1.0442,41,-0.3669,43,-0.3203
ENSG00000175087,PDIK1L,4,-1.6634,15,0.12940,27,1.23980,16,0.35177,3,-2.0638,9,-0.6357,8,-0.9338
ENSG00000142684,ZNF593,31,-0.0531,54,0.85929,31,-0.0143,32,0.00033,16,-1.0727,47,0.64091,21,-0.6420
ENSG00000142669,SH3BGRL3,187,-0.6895,527,0.95823,407,0.59280,122,-1.6277,393,0.47111,519,0.93098,291,-0.0080
ENSG00000158062,UBXN11,6,-2.8053,39,0.00885,44,0.20964,51,0.63231,41,0.09473,51,0.43773,19,-1.1866
ENSG00000117682,DHDDS,10,-1.3158,35,0.52059,32,0.38833,33,0.58643,17,-0.6367,16,-0.6743,16,-0.7853
ENSG00000198830,HMGN2,289,1.08533,113,-0.4259,123,-0.3217,130,-0.2839,205,0.51375,132,-0.1860,140,-0.1030
ENSG00000117713,ARID1A,50,-0.2196,71,0.32905,86,0.70310,49,-0.3428,71,0.31575,30,-1.0191,53,-0.1567
ENSG00000204160,ZDHHC18,28,-0.4370,22,-0.7518,42,0.24164,45,0.45194,45,0.31795,32,-0.2355,25,-0.6222
ENSG00000142751,GPN2,17,-0.2198,21,0.11469,22,0.21084,23,0.38070,20,0.07725,4,-2.1294,17,-0.2051
ENSG00000090273,NUDC,139,-0.3430,204,0.26297,206,0.30627,164,-0.1058,153,-0.1882,232,0.46579,139,-0.3723
ENSG00000253368,TRNP1,10,-2.8366,93,0.41901,88,0.36318,92,0.57978,37,-1.0180,106,0.63807,34,-1.2046
ENSG00000090020,SLC9A1,5,-2.5820,52,0.76244,38,0.30652,32,-0.0279,48,0.62742,19,-0.7553,29,-0.1821
ENSG00000142784,WDTC1,29,-0.3905,33,-0.1864,51,0.53718,27,-0.6566,47,0.35750,40,0.09723,46,0.34418
ENSG00000186501,TMEM222,82,0.01962,61,-0.4241,98,0.34521,88,0.18814,64,-0.3691,63,-0.3979,76,-0.1098
ENSG00000142765,SYTL1,13,0.52404,0,-6.9301,8,-0.2398,6,-0.7577,0,-6.1561,0,-5.6667,29,2.36535
ENSG00000158195,WASF2,89,1.79793,7,-2.1727,14,-1.2078,12,-1.7176,96,1.93483,31,0.02835,34,0.18870
ENSG00000126705,AHDC1,26,-0.9666,64,0.44712,97,1.32713,38,-0.4906,25,-0.9789,26,-0.9300,46,-0.0804
ENSG00000126709,IFI6,92,-0.6219,108,-0.3781,124,-0.1740,80,-1.0546,367,1.65033,230,0.82892,143,0.06694
ENSG00000009780,FAM76A,33,0.71643,15,-0.5629,27,0.43146,18,-0.3813,13,-0.7371,36,0.83823,17,-0.4112
ENSG00000117758,STX12,97,-0.1114,154,0.63182,141,0.54109,86,-0.3915,85,-0.3071,132,0.38057,77,-0.5086
ENSG00000117751,PPP1R8,53,0.96789,28,-0.0470,49,0.95628,22,-0.5171,9,-1.6653,8,-1.9275,31,0.11928
ENSG00000117748,RPA2,60,-0.1962,50,-0.4595,47,-0.5924,94,0.77210,120,0.92662,44,-0.6664,34,-1.1014
ENSG00000126698,DNAJC8,121,-0.1216,149,0.19648,144,0.15673,125,-0.0974,99,-0.4435,223,0.85948,97,-0.5055
