Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to5,Feature log2 fold change topic 2to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000215788,TNFRSF25,13,-0.9073,14,-1.1497,34,0.53772,23,-0.1130,36,0.63452,59,1.50115
ENSG00000171680,PLEKHG5,18,-1.1365,35,-0.1654,18,-1.1035,47,0.39809,51,0.48715,56,0.63715
ENSG00000162408,NOL9,30,0.00812,28,-0.1861,24,-0.3799,40,0.55027,36,0.27905,19,-0.6867
ENSG00000162413,KLHL21,22,-0.5636,27,-0.3800,30,-0.0993,32,-0.0002,55,0.89073,41,0.38302
ENSG00000116273,PHF13,14,-0.1982,10,-0.9716,14,-0.1675,22,0.64303,29,1.02167,16,0.04957
ENSG00000041988,THAP3,16,-0.3152,22,0.21191,27,0.50389,20,0.04634,6,-1.6887,21,0.11918
ENSG00000007923,DNAJC11,29,-0.3348,37,0.09593,29,-0.3037,36,0.02520,32,-0.1475,45,0.38117
ENSG00000171735,CAMTA1,180,-0.1138,173,-0.2574,256,0.46226,217,0.21414,156,-0.3360,213,0.15910
ENSG00000049245,VAMP3,42,1.22683,17,-0.4328,19,-0.1329,16,-0.4240,18,-0.1872,25,0.36307
ENSG00000049246,PER3,25,-0.3639,18,-1.1427,65,1.22374,31,-0.0030,55,0.92417,34,0.13560
ENSG00000116288,PARK7,372,-0.1570,373,-0.2203,482,0.26176,369,-0.1898,466,0.20705,551,0.48295
ENSG00000116285,ERRFI1,8,-1.0159,17,0.05502,17,0.00296,23,0.61595,15,-0.1653,12,-0.5314
ENSG00000162426,SLC45A1,15,-1.3955,37,0.01340,34,-0.1328,54,0.70554,30,-0.3161,35,-0.1041
ENSG00000142599,RERE,73,-0.5525,76,-0.6876,193,1.03654,109,0.08161,132,0.38876,120,0.22611
ENSG00000074800,ENO1,399,0.25387,269,-0.5334,348,0.03397,373,0.16325,463,0.50057,378,0.16765
ENSG00000171612,SLC25A33,67,1.36408,18,-1.0738,40,0.47458,32,0.10933,32,0.09821,25,-0.2652
ENSG00000171603,CLSTN1,433,-0.8873,622,-0.4646,690,-0.1621,1247,0.95410,751,-0.0281,785,0.04301
ENSG00000178585,CTNNBIP1,23,-0.1700,28,0.13200,32,0.33304,35,0.51595,12,-1.2282,15,-0.8898
ENSG00000162441,LZIC,28,-0.1538,26,-0.3738,43,0.53984,38,0.37265,37,0.28871,20,-0.6440
ENSG00000130939,UBE4B,20,-0.7567,33,-0.0279,39,0.24235,49,0.73406,28,-0.2656,16,-1.1251
ENSG00000054523,KIF1B,195,-0.3287,230,-0.1059,275,0.21320,279,0.27328,278,0.23250,179,-0.4628
ENSG00000142657,PGD,46,-0.1142,40,-0.4265,81,0.82780,59,0.35897,52,0.08216,30,-0.7351
ENSG00000241563,CORT,18,-1.3240,52,0.43056,79,0.98889,52,0.31586,11,-2.0406,17,-1.4176
ENSG00000160049,DFFA,28,-0.1517,34,0.22666,35,0.18503,30,-0.0508,26,-0.2479,24,-0.3789
ENSG00000142655,PEX14,18,-0.5164,18,-0.7151,41,0.76119,23,-0.2200,37,0.57606,42,0.79716
ENSG00000120948,TARDBP,57,-0.2635,41,-1.0350,90,0.46743,94,0.61307,68,0.00591,109,0.77389
ENSG00000116649,SRM,103,-0.0122,95,-0.2134,83,-0.3669,113,0.15347,135,0.41373,115,0.15166
ENSG00000171824,EXOSC10,12,-0.9888,26,0.32913,17,-0.4142,29,0.43485,19,-0.3001,18,-0.3757
ENSG00000198793,MTOR,27,-0.6286,41,0.01608,59,0.60155,48,0.29434,29,-0.5151,32,-0.3689
ENSG00000116661,FBXO2,414,0.82817,247,-0.0417,246,-0.0337,200,-0.4039,259,0.04997,206,-0.3119
ENSG00000132879,FBXO44,111,-0.7545,155,-0.3532,204,0.19386,218,0.35258,173,-0.0704,262,0.60846
ENSG00000116670,MAD2L2,26,0.01316,24,-0.1702,25,-0.0613,20,-0.4910,36,0.51597,37,0.58412
ENSG00000177000,MTHFR,16,-0.2902,17,-0.3074,24,0.31332,20,0.02622,21,0.14096,26,0.46803
ENSG00000011021,CLCN6,48,-0.0274,35,-0.6787,69,0.57744,69,0.66772,45,-0.1286,43,-0.1865
ENSG00000116685,KIAA2013,15,-1.1512,22,-0.7995,57,0.96637,38,0.33245,49,0.68726,34,0.09159
ENSG00000083444,PLOD1,33,0.23684,17,-1.0842,48,0.86839,34,0.33536,44,0.71081,23,-0.3013
ENSG00000116688,MFN2,56,-0.5688,70,-0.3201,97,0.31637,103,0.46395,58,-0.4939,105,0.44171
ENSG00000116691,MIIP,14,-0.4199,13,-0.7659,21,0.18685,25,0.58936,18,-0.0487,29,0.76763
ENSG00000048707,VPS13D,32,-0.5064,40,-0.2049,60,0.51164,51,0.27358,29,-0.6310,55,0.36597
ENSG00000162496,DHRS3,36,1.02997,15,-0.5367,13,-0.5317,12,-0.7224,45,1.46365,12,-0.7323
ENSG00000116731,PRDM2,52,-0.4429,64,-0.1899,88,0.39458,77,0.19477,81,0.25360,61,-0.1912
ENSG00000189337,KAZN,21,-0.7222,33,-0.0170,62,1.04580,35,0.07549,31,-0.1126,17,-1.0344
ENSG00000142634,EFHD2,37,-1.2023,91,0.26831,112,0.51329,134,0.95107,20,-2.1263,17,-2.3692
ENSG00000116138,DNAJC16,15,-0.6573,12,-1.2583,34,0.64343,31,0.56699,22,-0.0660,47,1.18903
ENSG00000197312,DDI2,16,-0.3061,15,-0.5390,22,0.22903,28,0.67983,21,0.15352,18,-0.1355
ENSG00000116786,PLEKHM2,91,-0.1892,119,0.37592,108,0.07158,79,-0.4552,77,-0.4573,117,0.20757
ENSG00000065526,SPEN,27,-0.1135,30,0.00612,27,-0.1530,29,-0.0355,44,0.64985,21,-0.5518
ENSG00000116809,ZBTB17,14,-0.4011,16,-0.2573,20,0.12110,16,-0.2219,38,1.25668,13,-0.5571
ENSG00000037637,FBXO42,23,0.58710,10,-0.8888,12,-0.4812,20,0.45429,24,0.68435,18,0.18109
ENSG00000055070,SZRD1,29,0.23273,25,0.02543,20,-0.3426,18,-0.5619,32,0.40532,31,0.38376
ENSG00000159363,ATP13A2,105,-0.5274,150,0.06284,153,0.06918,178,0.36355,108,-0.4819,141,-0.0575
ENSG00000117118,SDHB,78,-0.0929,77,-0.1840,76,-0.1390,100,0.33809,78,-0.1021,92,0.15727
ENSG00000117115,PADI2,45,0.80564,31,0.24477,41,0.62023,7,-2.0790,27,-0.0134,26,-0.0795
ENSG00000117154,IGSF21,24,-1.4863,64,-0.0007,101,0.75610,83,0.50103,50,-0.3713,40,-0.7118
ENSG00000159423,ALDH4A1,60,0.97035,27,-0.4784,14,-1.3238,21,-0.7707,84,1.59727,25,-0.4405
ENSG00000127463,EMC1,19,-0.5853,25,-0.2622,29,0.07841,40,0.70577,32,0.24054,17,-0.7223
ENSG00000053372,MRTO4,25,-0.4710,31,-0.1841,33,-0.0252,37,0.15556,50,0.62479,32,-0.1077
ENSG00000053371,AKR7A2,49,0.31200,44,0.18520,31,-0.4275,34,-0.3383,49,0.28261,35,-0.2189
ENSG00000077549,CAPZB,140,-0.4191,169,-0.1770,228,0.36728,208,0.24376,176,-0.0516,185,0.02793
ENSG00000173436,MICOS10,284,-0.1482,356,0.33748,344,0.15954,264,-0.2916,268,-0.2388,267,-0.2473
ENSG00000158747,NBL1,187,-0.1217,185,-0.1965,236,0.25749,189,-0.1156,228,0.19690,246,0.32062
ENSG00000169914,OTUD3,17,0.31051,13,-0.1361,11,-0.4400,21,0.71255,9,-0.6177,9,-0.6188
ENSG00000162545,CAMK2N1,1430,-0.2808,1720,0.01874,1070,-0.7319,1255,-0.5361,2663,0.73409,2515,0.63706
ENSG00000090432,MUL1,12,-0.6579,17,-0.3030,29,0.66087,24,0.40622,21,0.11822,15,-0.4029
ENSG00000158828,PINK1,343,-0.2755,438,0.17242,450,0.15847,435,0.11665,339,-0.2948,327,-0.3477
ENSG00000244038,DDOST,20,-0.1909,18,-0.4538,29,0.41461,31,0.56792,22,-0.0792,20,-0.1792
ENSG00000117245,KIF17,10,-0.6228,16,-0.0144,10,-0.7549,28,1.09267,6,-1.4222,13,-0.2441
ENSG00000189410,SH2D5,17,-0.8275,21,-0.6690,34,0.27254,32,0.21580,43,0.66973,44,0.69116
ENSG00000127483,HP1BP3,134,-0.1536,121,-0.4535,151,0.03378,170,0.26576,153,0.05613,214,0.60965
ENSG00000075151,EIF4G3,70,-0.8349,106,-0.2981,160,0.46465,163,0.57240,82,-0.5956,141,0.25897
ENSG00000117298,ECE1,28,0.82162,9,-1.2029,14,-0.3210,15,-0.2195,31,0.97634,30,0.91754
ENSG00000076864,RAP1GAP,66,-1.0909,118,-0.2831,176,0.45003,206,0.83981,74,-0.9055,133,-0.0069
ENSG00000090686,USP48,26,-0.7148,36,-0.2734,81,1.14724,44,0.15033,28,-0.5956,40,-0.0336
ENSG00000070831,CDC42,139,-0.2861,143,-0.3497,152,-0.1388,242,0.71608,124,-0.4614,192,0.23396
ENSG00000173369,C1QB,46,1.45471,18,-0.2090,5,-2.0580,8,-1.3982,30,0.67550,27,0.52001
ENSG00000004487,KDM1A,50,-0.1277,44,-0.4371,58,0.10883,63,0.29970,63,0.24277,64,0.28517
ENSG00000169641,LUZP1,9,-2.2368,42,0.12937,50,0.36139,52,0.49353,44,0.17354,23,-0.8343
ENSG00000125944,HNRNPR,75,-0.5130,85,-0.4646,157,0.66301,123,0.29788,112,0.11216,115,0.15537
ENSG00000125945,ZNF436,16,-0.3453,10,-1.2957,34,0.90330,21,0.15125,29,0.63098,34,0.88079
ENSG00000117318,ID3,63,2.56741,17,0.26985,3,-2.1856,6,-1.4905,3,-2.4996,5,-1.7261
ENSG00000142676,RPL11,561,0.51462,475,0.37586,334,-0.3209,300,-0.5414,277,-0.6130,422,0.05017
ENSG00000057757,PITHD1,127,-0.5813,139,-0.6156,379,1.22295,235,0.45680,135,-0.4849,170,-0.1206
ENSG00000011009,LYPLA2,21,-0.8790,37,-0.0508,44,0.24131,44,0.28850,32,-0.2781,44,0.26118
ENSG00000117308,GALE,19,-0.0461,19,-0.1365,20,-0.0213,19,-0.1368,12,-0.7323,36,0.96975
ENSG00000117305,HMGCL,27,0.70295,13,-0.7081,27,0.66531,14,-0.3950,27,0.68039,17,-0.0600
ENSG00000189266,PNRC2,40,-0.0772,32,-0.5874,23,-0.9377,46,0.16316,65,0.71926,71,0.87427
ENSG00000188529,SRSF10,44,-0.0621,38,-0.4157,55,0.29375,61,0.54349,46,0.02206,37,-0.3096
ENSG00000001461,NIPAL3,42,-0.3500,53,0.04113,82,0.72743,63,0.33540,24,-1.1882,37,-0.5336
ENSG00000133226,SRRM1,36,-0.3345,43,-0.1178,25,-0.9224,48,0.10978,69,0.69333,53,0.27241
ENSG00000117614,SYF2,64,0.29048,52,-0.0404,35,-0.6623,42,-0.4294,53,-0.0160,89,0.84009
ENSG00000117616,RSRP1,19,-1.0657,28,-0.6903,58,0.63528,48,0.37822,64,0.81100,40,0.02678
ENSG00000183726,TMEM50A,59,-0.4594,53,-0.8748,122,0.70581,81,0.03323,103,0.41500,137,0.90732
ENSG00000204178,MACO1,8,-1.7541,28,0.09380,37,0.48950,27,0.00539,16,-0.8487,43,0.76419
ENSG00000117643,MAN1C1,13,-1.8875,36,-0.4967,27,-0.7854,59,0.50545,73,0.80484,74,0.82994
ENSG00000162430,SELENON,55,0.64989,28,-0.6091,49,0.43316,29,-0.4403,48,0.42526,49,0.44713
ENSG00000117640,MTFR1L,49,-0.4215,65,0.02982,68,0.09015,65,0.04047,81,0.38585,52,-0.3272
ENSG00000117632,STMN1,850,-0.7678,1273,-0.2010,1468,0.09104,2060,0.75711,848,-0.7702,1494,0.11895
ENSG00000158008,EXTL1,26,-0.9921,52,0.16936,57,0.24948,54,0.17582,34,-0.5814,55,0.19170
ENSG00000142684,ZNF593,36,0.17211,36,0.22886,17,-0.9549,33,0.03753,29,-0.1984,34,0.05439
ENSG00000142669,SH3BGRL3,211,-0.0105,248,0.39930,170,-0.3453,233,0.17047,166,-0.3869,115,-0.9478
ENSG00000158062,UBXN11,24,-0.3491,39,0.70612,30,0.02745,20,-0.6727,23,-0.4317,25,-0.2510
ENSG00000117682,DHDDS,12,-0.3572,18,0.38856,12,-0.3355,17,0.15036,12,-0.3510,11,-0.4358
ENSG00000198830,HMGN2,175,0.48566,110,-0.3750,133,0.03853,122,-0.1105,150,0.22690,156,0.29970
ENSG00000117713,ARID1A,45,-0.3867,53,-0.1668,53,-0.1210,60,0.07091,63,0.14884,80,0.53563
ENSG00000204160,ZDHHC18,14,-0.8693,21,-0.3648,21,-0.2671,33,0.54492,35,0.57897,27,0.11528
ENSG00000142751,GPN2,11,-0.5866,16,0.07352,10,-0.6351,22,0.56492,7,-1.2362,22,0.51514
ENSG00000090273,NUDC,145,-0.5767,196,-0.1574,233,0.16814,212,0.01685,258,0.33355,254,0.30744
ENSG00000253368,TRNP1,43,-0.6967,74,0.21735,91,0.49595,74,0.16653,32,-1.1282,65,-0.0610
ENSG00000090020,SLC9A1,7,-1.8109,20,-0.4843,25,0.00427,34,0.59834,22,-0.1453,45,0.98650
ENSG00000142784,WDTC1,42,0.20265,42,0.32403,37,0.03087,23,-0.7605,42,0.21449,32,-0.2217
ENSG00000186501,TMEM222,53,-0.3613,57,-0.3562,72,0.12377,74,0.20837,67,0.01580,96,0.60828
ENSG00000158195,WASF2,34,0.76849,17,-0.4852,20,-0.1139,11,-1.0766,43,1.16286,26,0.29470
ENSG00000126705,AHDC1,22,-1.1667,42,-0.2333,54,0.24005,56,0.32737,66,0.55056,45,-0.0618
ENSG00000126709,IFI6,122,0.28782,85,-0.4078,127,0.35060,134,0.50606,75,-0.4822,88,-0.2338
ENSG00000009780,FAM76A,22,0.33603,16,-0.3145,16,-0.1434,24,0.56264,5,-1.7458,24,0.48870
ENSG00000117758,STX12,76,-0.2205,67,-0.5840,149,0.87759,114,0.49563,81,-0.1150,72,-0.3164
ENSG00000117751,PPP1R8,26,0.20420,11,-1.4361,27,0.22329,32,0.59115,38,0.80893,32,0.52107
ENSG00000117748,RPA2,40,-0.2554,37,-0.5290,46,-0.0529,83,1.09937,30,-0.7159,42,-0.1694
ENSG00000126698,DNAJC8,98,-0.1997,105,-0.1298,125,0.19498,113,0.02728,154,0.53332,87,-0.3777
ENSG00000130770,ATP5IF1,336,-0.6306,590,0.40954,339,-0.6211,536,0.11656,371,-0.4786,548,0.13792
ENSG00000180098,TRNAU1AP,9,-1.2248,21,-0.0373,19,-0.1836,15,-0.5664,25,0.26194,46,1.25577
ENSG00000198492,YTHDF2,31,-1.1661,49,-0.6536,75,0.21467,105,0.90285,65,-0.0001,80,0.32841
ENSG00000116350,SRSF4,27,-0.6575,31,-0.6221,73,0.94488,57,0.59774,34,-0.3133,41,-0.0129
ENSG00000116353,MECR,28,-0.0182,27,-0.0730,30,0.10141,33,0.31756,22,-0.3519,25,-0.1841
ENSG00000162511,LAPTM5,55,1.53854,14,-0.9580,12,-0.9065,11,-1.1243,44,1.13991,32,0.60969
ENSG00000162512,SDC3,147,0.35975,94,-0.5182,92,-0.3872,122,0.05764,169,0.58455,154,0.42722
ENSG00000134644,PUM1,88,-0.6494,96,-0.7154,212,0.76924,183,0.60521,108,-0.3290,171,0.41567
ENSG00000060688,SNRNP40,21,0.57919,11,-0.7200,21,0.53067,21,0.61197,11,-0.3922,11,-0.4195
ENSG00000121766,ZCCHC17,69,-0.9093,126,0.05655,88,-0.5217,150,0.36630,127,0.05081,143,0.23907
ENSG00000121769,FABP3,72,-0.7851,112,-0.1605,123,0.03978,184,0.81923,98,-0.3208,91,-0.4438
ENSG00000162517,PEF1,69,-0.4520,66,-0.7023,100,0.14536,132,0.70204,69,-0.4460,147,0.78053
ENSG00000084636,COL16A1,39,0.62273,20,-0.6319,35,0.43771,28,0.11861,39,0.61649,17,-0.7182
ENSG00000121753,ADGRB2,203,-0.3432,207,-0.4525,271,0.11489,278,0.17574,342,0.49393,326,0.41433
ENSG00000184007,PTP4A2,132,0.13799,111,-0.2069,197,0.80077,134,0.18104,83,-0.6006,89,-0.4824
ENSG00000121774,KHDRBS1,105,-0.0989,99,-0.2786,103,-0.1384,107,-0.0813,163,0.61908,138,0.33261
ENSG00000121775,TMEM39B,7,-1.2062,12,-0.6657,14,-0.2435,25,0.77067,22,0.44884,23,0.57104
ENSG00000025800,KPNA6,34,-0.5183,40,-0.3926,74,0.73880,71,0.78652,27,-0.8825,36,-0.4203
ENSG00000084652,TXLNA,13,-0.6910,14,-0.8111,34,0.84845,21,0.09616,24,0.23246,34,0.85373
ENSG00000160050,CCDC28B,23,0.23499,19,-0.0847,18,-0.1445,20,-0.0087,29,0.60733,13,-0.7192
ENSG00000084623,EIF3I,85,-0.3432,91,-0.3520,113,0.10235,129,0.36167,119,0.19478,121,0.20930
ENSG00000175130,MARCKSL1,365,1.08023,168,-0.3034,241,0.37546,100,-1.0966,265,0.52796,173,-0.1628
ENSG00000160058,BSDC1,60,-0.0929,56,-0.2995,75,0.26148,76,0.33871,46,-0.5087,79,0.35083
ENSG00000176261,ZBTB8OS,20,-0.7899,41,0.56824,23,-0.5564,30,-0.1790,30,-0.1376,33,-0.0054
ENSG00000162521,RBBP4,73,-0.2285,66,-0.5695,83,-0.0297,111,0.49287,110,0.42298,98,0.23076
ENSG00000162522,KIAA1522,47,0.71574,30,0.00343,19,-0.7261,25,-0.3286,39,0.44160,25,-0.2578
ENSG00000134684,YARS,42,-1.2199,86,-0.2123,117,0.36334,131,0.63736,89,-0.0815,83,-0.1831
ENSG00000160097,FNDC5,18,-0.7356,23,-0.4887,34,0.22996,46,0.88508,26,-0.1874,28,-0.0767
ENSG00000121905,HPCA,175,-0.8186,334,0.30922,304,0.05082,325,0.17706,251,-0.2571,235,-0.3589
ENSG00000121900,TMEM54,97,0.48259,73,0.03645,65,-0.1696,77,0.12969,65,-0.1577,46,-0.6938
ENSG00000116514,RNF19B,13,-1.0136,25,0.03944,28,0.19208,22,-0.1693,23,-0.1118,38,0.70679
ENSG00000004455,AK2,16,-0.1549,22,0.53411,16,-0.1498,15,-0.2524,19,0.10568,8,-1.1786
ENSG00000142920,AZIN2,13,-1.1398,26,-0.1707,25,-0.1393,39,0.64313,38,0.49521,20,-0.5137
ENSG00000160094,ZNF362,13,-0.6875,19,-0.1714,17,-0.2758,27,0.54453,8,-1.3163,35,0.87873
ENSG00000134686,PHC2,62,0.18893,47,-0.3852,59,0.09500,68,0.38427,48,-0.2118,61,0.15349
ENSG00000163866,SMIM12,36,-0.6736,46,-0.4225,58,0.06596,78,0.63780,44,-0.3740,77,0.54495
ENSG00000116544,DLGAP3,80,0.19746,64,-0.2004,54,-0.4264,41,-0.8968,129,1.01547,100,0.57093
ENSG00000116560,SFPQ,96,-0.4891,127,-0.0825,151,0.22173,134,0.02660,128,-0.0414,165,0.36493
ENSG00000146463,ZMYM4,31,0.00457,28,-0.1972,31,0.01248,42,0.59690,29,-0.0877,19,-0.7437
ENSG00000142687,KIAA0319L,42,-0.6192,63,0.06478,55,-0.1762,71,0.24362,55,-0.1737,71,0.21345
ENSG00000020129,NCDN,362,-1.1860,625,-0.4943,765,-0.0288,897,0.26014,1107,0.57658,1257,0.79300
ENSG00000126067,PSMB2,51,-1.1221,91,-0.3506,105,-0.0256,132,0.39595,112,0.07674,168,0.74827
ENSG00000142686,C1orf216,55,-0.9536,80,-0.5086,103,0.03769,135,0.54172,131,0.42229,129,0.40001
ENSG00000092847,AGO1,28,0.08694,23,-0.3430,37,0.53089,28,0.08599,31,0.22034,23,-0.2164
ENSG00000126070,AGO3,8,-1.0705,18,0.20245,30,0.97735,17,0.12009,9,-0.9364,11,-0.6151
ENSG00000116863,ADPRHL2,18,-0.2596,16,-0.5691,26,0.31802,28,0.51684,26,0.32752,21,-0.0397
ENSG00000054116,TRAPPC3,34,-0.8222,58,0.02808,51,-0.1858,56,-0.0245,50,-0.2222,93,0.80910
ENSG00000116871,MAP7D1,125,-0.6284,195,0.11114,174,-0.1063,172,-0.1404,227,0.32031,212,0.21242
ENSG00000054118,THRAP3,52,-0.2777,60,-0.0928,89,0.57229,45,-0.5583,70,0.18276,83,0.45872
ENSG00000196182,STK40,19,0.25666,16,-0.0749,16,0.01622,21,0.46085,5,-1.6372,17,0.05843
ENSG00000181817,LSM10,28,-0.4529,38,0.06415,34,-0.1683,51,0.58413,39,0.08171,17,-1.1913
ENSG00000116885,OSCP1,19,0.09524,13,-0.6827,11,-0.7819,26,0.70221,16,-0.1719,29,0.78666
ENSG00000116898,MRPS15,44,-0.0897,49,0.12907,30,-0.6596,55,0.30845,32,-0.5777,52,0.18871
ENSG00000163873,GRIK3,4,-2.2499,18,-0.1171,52,1.75457,26,0.62263,4,-2.1593,4,-2.3306
ENSG00000163875,MEAF6,66,-0.5811,86,-0.2589,136,0.56831,125,0.49694,88,-0.1428,76,-0.3655
ENSG00000183317,EPHA10,19,0.09412,13,-0.6456,20,0.22460,19,0.13570,23,0.41902,24,0.49564
ENSG00000185090,MANEAL,11,-1.8701,33,-0.3669,35,-0.1690,47,0.38230,52,0.47765,62,0.77795
ENSG00000197982,C1orf122,268,0.47978,234,0.39652,223,0.17402,134,-0.6947,144,-0.5211,163,-0.3263
ENSG00000183431,SF3A3,31,-0.1525,24,-0.7442,36,0.06655,44,0.46609,63,1.00084,28,-0.3223
ENSG00000183520,UTP11,29,-0.0189,23,-0.5150,31,0.11683,35,0.32822,28,-0.0810,41,0.57010
ENSG00000116954,RRAGC,22,-0.6596,28,-0.3963,44,0.43288,38,0.25498,28,-0.2849,52,0.71543
ENSG00000174574,AKIRIN1,40,-0.8397,62,-0.2730,71,0.03299,103,0.74324,88,0.38494,43,-0.7447
