Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000077549,CAPZB,146,-0.7186,291,0.38267,321,0.64648,205,-0.2446,155,-0.6260,225,-0.0378
ENSG00000173436,MICOS10,146,-0.8375,256,0.04674,222,-0.2074,313,0.52305,232,-0.1166,225,-0.1628
ENSG00000158747,NBL1,146,-0.8514,512,1.22466,320,0.46180,234,-0.1510,103,-1.3840,159,-0.7195
ENSG00000162545,CAMK2N1,146,-2.4674,46,-4.1608,829,0.22058,1176,1.18022,517,-0.5644,744,0.01390
ENSG00000090432,MUL1,146,2.16251,70,0.73505,40,-0.2039,21,-1.4444,9,-2.4336,37,-0.2962
ENSG00000158828,PINK1,146,-1.4738,212,-0.9141,519,0.61785,463,0.45972,345,-0.1504,277,-0.4993
ENSG00000244038,DDOST,146,1.83881,77,0.63473,55,0.08988,19,-1.8258,10,-2.4973,71,0.49795
ENSG00000189410,SH2D5,146,2.62087,0,-6.0662,49,0.54858,27,-0.6253,6,-2.6665,1,-4.7473
ENSG00000127483,HP1BP3,146,-0.0516,130,-0.2441,166,0.17544,123,-0.4194,136,-0.1671,246,0.81890
ENSG00000075151,EIF4G3,146,0.79130,35,-1.4551,127,0.64590,85,-0.1448,72,-0.3812,58,-0.7179
ENSG00000076864,RAP1GAP,146,0.40093,41,-1.5666,203,1.17365,102,-0.2538,61,-0.9913,73,-0.7027
ENSG00000090686,USP48,146,2.21803,0,-5.9318,44,0.02384,32,-0.6467,21,-1.1468,43,-0.0213
ENSG00000070831,CDC42,146,-0.5432,240,0.24924,262,0.46138,174,-0.3493,158,-0.4190,263,0.40464
ENSG00000173372,C1QA,146,-0.5342,1056,3.41615,46,-2.4291,75,-1.8484,162,-0.3710,163,-0.3645
ENSG00000159189,C1QC,146,-0.4016,719,2.55496,50,-2.1700,93,-1.3309,316,0.87365,132,-0.5589
ENSG00000173369,C1QB,146,-1.2737,1426,2.87047,74,-2.4502,155,-1.4309,434,0.44439,363,0.14976
ENSG00000004487,KDM1A,146,2.16412,14,-1.7835,56,0.43349,39,-0.3116,12,-2.0061,4,-3.6133
ENSG00000169641,LUZP1,146,2.04917,78,0.82797,42,-0.2006,36,-0.5776,8,-2.6666,3,-3.9402
ENSG00000125944,HNRNPR,146,0.68909,111,0.21860,83,-0.2694,85,-0.2665,60,-0.7476,131,0.50611
ENSG00000142676,RPL11,146,-2.4977,1852,1.58765,306,-1.5251,498,-0.8222,1520,1.20889,1155,0.71575
ENSG00000057757,PITHD1,146,0.02363,67,-1.1902,216,0.79950,166,0.30882,73,-1.0628,83,-0.8637
ENSG00000011009,LYPLA2,146,1.63354,92,0.77580,56,-0.0649,43,-0.6037,12,-2.3406,30,-1.0201
ENSG00000117305,HMGCL,146,2.48034,25,-0.7098,31,-0.4054,27,-0.7397,17,-1.2479,21,-0.9638
ENSG00000189266,PNRC2,146,1.57476,78,0.43118,49,-0.3503,34,-1.1002,23,-1.4651,91,0.70147
ENSG00000188529,SRSF10,146,2.02801,29,-0.7839,48,0.01959,33,-0.7596,30,-0.7124,30,-0.7053
ENSG00000001461,NIPAL3,146,1.37827,1,-5.5219,67,0.02379,43,-0.8351,110,0.85883,73,0.16922
ENSG00000133226,SRRM1,146,1.23183,47,-0.6633,47,-0.7246,35,-1.3592,116,0.80692,135,1.08798
ENSG00000169504,CLIC4,146,0.81282,368,2.72267,13,-3.0664,11,-3.5194,107,0.27933,131,0.62244
ENSG00000117614,SYF2,146,1.13000,148,1.15501,43,-0.9850,50,-0.8235,84,0.17873,66,-0.2174
ENSG00000117616,RSRP1,146,2.11729,33,-0.5420,35,-0.4598,16,-1.9050,34,-0.4609,81,0.96599
ENSG00000183726,TMEM50A,146,1.23836,91,0.39656,50,-0.6307,38,-1.1777,41,-0.8556,148,1.25306
ENSG00000117643,MAN1C1,146,2.43830,40,0.01416,17,-1.4564,30,-0.5980,0,-6.4185,50,0.38083
ENSG00000162430,SELENON,146,1.30134,145,1.28648,39,-0.9901,32,-1.4482,55,-0.3443,100,0.61385
ENSG00000117640,MTFR1L,146,1.11059,77,0.00924,63,-0.3327,82,0.16810,57,-0.4728,33,-1.2953
ENSG00000117632,STMN1,146,-2.5937,76,-3.5552,1648,1.54952,881,0.20212,612,-0.4353,463,-0.8710
ENSG00000158008,EXTL1,146,1.83740,25,-1.1619,61,0.29950,52,0.00432,20,-1.4899,0,-6.3297
ENSG00000142684,ZNF593,146,1.40245,47,-0.5188,47,-0.5626,53,-0.4242,25,-1.4764,115,0.95304
ENSG00000142669,SH3BGRL3,146,-1.0002,497,0.99352,307,0.19532,290,0.10370,192,-0.5832,172,-0.7563
ENSG00000158062,UBXN11,146,2.79893,5,-2.8242,26,-0.5335,24,-0.7063,30,-0.2319,6,-2.4852
ENSG00000117682,DHDDS,146,2.24249,38,-0.2126,30,-0.6240,23,-1.2074,6,-2.9284,71,0.81661
ENSG00000198830,HMGN2,146,-0.4693,427,1.34665,117,-0.9034,120,-0.9725,213,0.12794,390,1.17594
ENSG00000117713,ARID1A,146,1.92532,29,-0.8492,54,0.14717,40,-0.4431,20,-1.3895,26,-1.0105
ENSG00000204160,ZDHHC18,146,2.37460,49,0.28151,45,0.17512,17,-1.5957,16,-1.4800,17,-1.3717
ENSG00000090273,NUDC,146,0.10325,143,0.06427,167,0.37540,133,-0.0616,111,-0.3335,101,-0.4950
ENSG00000253368,TRNP1,146,1.32400,3,-4.4124,100,0.75471,85,0.50930,7,-3.4128,1,-5.3045
ENSG00000090020,SLC9A1,146,2.90931,0,-5.9110,56,1.07345,9,-2.2100,1,-4.6761,10,-1.7535
ENSG00000142784,WDTC1,146,2.08564,36,-0.3969,31,-0.7196,36,-0.5454,29,-0.7487,39,-0.2622
ENSG00000186501,TMEM222,146,0.73961,140,0.66461,106,0.22859,72,-0.5489,75,-0.3611,57,-0.7827
ENSG00000158195,WASF2,146,1.08957,192,1.60120,21,-2.1375,26,-1.9395,99,0.40704,137,0.96770
ENSG00000126705,AHDC1,146,1.72097,37,-0.6325,72,0.49315,47,-0.3526,10,-2.4962,21,-1.4519
ENSG00000126709,IFI6,146,0.14450,193,0.60781,190,0.69164,57,-1.6014,148,0.16485,167,0.36258
ENSG00000117758,STX12,146,0.86496,33,-1.4966,117,0.55764,85,-0.0649,74,-0.2632,46,-1.0118
ENSG00000117751,PPP1R8,146,2.52354,16,-1.3473,45,0.29976,14,-1.8031,27,-0.5501,24,-0.7135
ENSG00000117748,RPA2,146,1.47926,32,-1.0579,61,-0.0415,39,-0.9237,56,-0.1791,90,0.60355
ENSG00000126698,DNAJC8,146,0.26460,199,0.78706,125,0.01066,88,-0.6949,73,-0.8444,188,0.68618
ENSG00000130770,ATP5IF1,146,-1.4331,137,-1.5328,433,0.30650,548,0.97649,177,-1.1495,345,-0.1070
ENSG00000198492,YTHDF2,146,1.30652,20,-1.8680,109,0.92340,51,-0.5914,40,-0.8368,40,-0.8529
ENSG00000116350,SRSF4,146,1.79234,64,0.28803,37,-0.6500,36,-0.7876,31,-0.8711,59,0.16408
ENSG00000116353,MECR,146,2.18505,28,-0.7034,38,-0.3047,45,0.01127,16,-1.5503,0,-5.6839
ENSG00000162511,LAPTM5,146,0.12459,211,0.73917,35,-2.2033,89,-0.8410,320,1.50139,207,0.70644
ENSG00000162512,SDC3,146,-0.4555,137,-0.5537,225,0.27009,204,0.10007,144,-0.4756,264,0.50126
ENSG00000134644,PUM1,146,0.69217,51,-1.0121,161,1.03368,90,-0.1516,37,-1.4798,44,-1.2100
ENSG00000121766,ZCCHC17,146,0.42010,63,-0.9237,204,1.21802,97,-0.3204,51,-1.2536,61,-0.9727
ENSG00000121769,FABP3,146,0.27983,35,-1.9300,206,1.03972,155,0.52794,10,-3.6723,42,-1.6692
ENSG00000162517,PEF1,146,0.94595,116,0.54687,98,0.30271,70,-0.3773,38,-1.2356,47,-0.9048
ENSG00000084636,COL16A1,146,1.32784,53,-0.3932,36,-1.0856,37,-1.1458,88,0.42163,140,1.23937
ENSG00000121753,ADGRB2,146,-0.4975,66,-1.7132,431,1.67916,206,0.06352,78,-1.4656,31,-2.7981
ENSG00000184007,PTP4A2,146,-0.4921,154,-0.4148,189,-0.0976,103,-1.2682,662,2.22228,146,-0.4922
ENSG00000121774,KHDRBS1,146,0.37781,93,-0.3589,129,0.19023,94,-0.4337,43,-1.5277,224,1.12234
ENSG00000025800,KPNA6,146,1.97835,28,-0.8620,65,0.55056,26,-1.1693,34,-0.5846,23,-1.1939
ENSG00000084652,TXLNA,146,1.94056,74,0.66256,37,-0.5136,22,-1.5001,31,-0.7428,56,0.18088
ENSG00000160050,CCDC28B,146,2.82284,30,-0.2342,14,-1.5198,23,-0.7627,6,-2.4660,29,-0.2644
ENSG00000084623,EIF3I,146,0.45116,184,0.84059,112,0.01524,100,-0.2338,74,-0.6340,74,-0.6409
ENSG00000175130,MARCKSL1,146,-0.8630,17,-4.0460,128,-1.1747,228,-0.2190,438,0.92667,738,1.93481
ENSG00000160058,BSDC1,146,1.67285,3,-4.1355,60,0.11119,49,-0.2986,37,-0.6810,57,-0.0046
ENSG00000176261,ZBTB8OS,146,1.83408,27,-1.0174,35,-0.6915,47,-0.2150,44,-0.2840,42,-0.3544
ENSG00000162521,RBBP4,146,0.98156,38,-1.2050,87,0.11051,54,-0.8116,58,-0.5431,158,1.12436
ENSG00000134684,YARS,146,0.94065,51,-0.7785,143,1.08515,75,-0.2344,30,-1.6013,17,-2.3859
ENSG00000160097,FNDC5,146,2.91211,0,-5.3151,40,0.32965,24,-0.6522,1,-4.5254,0,-6.7672
ENSG00000121905,HPCA,146,-0.6275,30,-2.9949,487,1.79017,231,0.13511,71,-1.7298,42,-2.4805
ENSG00000121900,TMEM54,146,1.57041,21,-1.5934,50,-0.3364,58,-0.0571,64,0.10145,33,-0.9160
ENSG00000004455,AK2,146,2.04776,51,0.11907,12,-2.1936,29,-0.9568,73,0.71226,45,-0.0741
ENSG00000142920,AZIN2,146,2.94471,0,-5.8927,41,0.41584,14,-1.5429,22,-0.6105,2,-3.7235
ENSG00000134686,PHC2,146,0.59890,205,1.19526,92,-0.1804,58,-1.0904,104,0.03660,104,0.02911
ENSG00000163866,SMIM12,146,1.47779,155,1.58428,61,-0.0517,41,-0.8420,4,-3.9598,15,-2.1728
ENSG00000116544,DLGAP3,146,1.45370,14,-2.2415,81,0.45525,70,0.20738,34,-0.9786,6,-3.3549
ENSG00000116560,SFPQ,146,-0.0262,264,0.97443,100,-0.7013,148,-0.0151,159,0.10830,126,-0.2639
ENSG00000146463,ZMYM4,146,2.54917,0,-6.1079,22,-0.9667,28,-0.5840,18,-1.1421,50,0.43336
ENSG00000142687,KIAA0319L,146,1.53854,54,-0.1778,62,0.04106,41,-0.7563,41,-0.6256,57,-0.1133
ENSG00000020129,NCDN,146,-1.4188,111,-1.8385,706,1.40083,439,0.42007,120,-1.7205,178,-1.1261
ENSG00000126067,PSMB2,146,0.53448,49,-1.1826,149,0.66836,92,-0.2958,55,-1.0353,129,0.32438
ENSG00000142686,C1orf216,146,0.89016,24,-1.9701,144,1.04307,94,0.18687,28,-1.7246,8,-3.4565
ENSG00000092847,AGO1,146,2.65995,8,-2.2502,17,-1.2735,24,-0.8178,55,0.67975,13,-1.6013
ENSG00000054116,TRAPPC3,146,1.51399,25,-1.4067,65,0.09318,70,0.29000,31,-1.0516,12,-2.4709
ENSG00000116871,MAP7D1,146,-0.1850,114,-0.5848,186,0.23198,167,0.03333,145,-0.2025,202,0.33613
ENSG00000054118,THRAP3,146,1.02639,150,1.07293,87,0.15597,45,-1.0934,74,-0.1272,39,-1.1069
ENSG00000181817,LSM10,146,1.76990,45,-0.3092,40,-0.5487,48,-0.2321,29,-0.9598,42,-0.3893
ENSG00000116898,MRPS15,146,1.53217,34,-0.8957,50,-0.3429,55,-0.2136,53,-0.2166,49,-0.3507
ENSG00000163875,MEAF6,146,0.86330,108,0.33927,113,0.49068,76,-0.2989,33,-1.4956,47,-0.9620
ENSG00000185090,MANEAL,146,2.64969,0,-6.0506,45,0.39045,28,-0.5533,3,-3.3675,6,-2.6180
ENSG00000197982,C1orf122,146,-0.8808,185,-0.5207,171,-0.7128,262,0.04912,329,0.41274,518,1.20946
ENSG00000183431,SF3A3,146,1.99710,46,-0.0756,54,0.19558,26,-1.1743,37,-0.4085,20,-1.3382
ENSG00000183520,UTP11,146,2.36898,59,0.58568,27,-0.7455,21,-1.2605,20,-1.0985,28,-0.5984
ENSG00000116954,RRAGC,146,1.76048,87,0.78472,47,-0.2582,49,-0.2367,14,-2.0681,2,-4.4697
ENSG00000174574,AKIRIN1,146,1.08183,70,-0.1715,91,0.30047,64,-0.3869,41,-0.9826,66,-0.2605
ENSG00000168653,NDUFS5,146,-1.7621,319,-0.5779,512,0.20795,650,0.84147,361,-0.3828,326,-0.5427
ENSG00000127603,MACF1,146,0.12371,186,0.52046,117,-0.2706,96,-0.6935,116,-0.2437,251,1.04423
ENSG00000090621,PABPC4,146,0.75199,138,0.65366,51,-1.0505,65,-0.7088,146,0.74800,112,0.29281
ENSG00000116983,HPCAL4,146,-0.8573,28,-3.2758,426,1.07069,326,0.59910,118,-1.1837,146,-0.8574
ENSG00000084072,PPIE,146,2.24525,43,-0.0314,27,-0.8464,42,-0.0844,18,-1.3106,5,-3.2066
ENSG00000131236,CAP1,146,-0.0267,203,0.51695,154,0.06741,140,-0.1287,120,-0.3369,140,-0.0956
ENSG00000131238,PPT1,146,0.53084,122,0.22261,93,-0.2372,76,-0.6730,57,-0.9811,217,1.22692
ENSG00000084073,ZMPSTE24,146,2.01298,38,-0.3729,51,0.10467,13,-2.2369,11,-2.1540,95,1.16062
ENSG00000084070,SMAP2,146,0.32041,87,-0.5088,195,0.97559,104,-0.3080,127,0.08631,21,-2.6396
ENSG00000117016,RIMS3,146,1.23839,25,-1.5769,90,0.45865,75,0.11406,21,-1.8837,42,-0.8181
ENSG00000066136,NFYC,146,2.35886,36,-0.1989,31,-0.5086,34,-0.4156,6,-2.7434,19,-1.1621
ENSG00000179862,CITED4,146,2.37465,78,1.08287,16,-1.5429,19,-1.4701,17,-1.3266,40,-0.0504
ENSG00000198815,FOXJ3,146,1.77433,23,-1.2997,74,0.61915,36,-0.7960,12,-2.2875,48,-0.1923
ENSG00000177181,RIMKLA,146,2.70488,1,-4.6646,29,-0.3529,37,0.04019,4,-3.0551,2,-3.8033
ENSG00000127125,PPCS,146,1.23835,74,0.05406,57,-0.3888,81,0.28133,52,-0.5018,12,-2.6768
ENSG00000065978,YBX1,146,0.00167,449,2.04623,49,-1.8060,84,-1.0643,117,-0.3591,252,0.91734
ENSG00000164008,C1orf50,146,2.53534,43,0.17910,30,-0.4485,19,-1.3181,38,-0.0194,2,-4.3922
ENSG00000177868,SVBP,146,2.14809,32,-0.5393,23,-1.1334,36,-0.4818,12,-2.0317,64,0.56158
ENSG00000117394,SLC2A1,146,-0.4844,1252,4.22120,29,-3.0759,49,-2.4744,31,-2.7851,152,-0.4277
ENSG00000117395,EBNA1BP2,146,1.10556,38,-1.0750,79,0.05694,80,0.10085,34,-1.2736,72,-0.0961
ENSG00000179178,TMEM125,146,2.48695,0,-6.1446,13,-1.8554,6,-3.1288,123,2.08125,40,0.02741
ENSG00000066322,ELOVL1,146,1.11965,93,0.33523,26,-1.7588,20,-2.3199,206,1.77649,124,0.82670
ENSG00000178922,HYI,146,2.34108,88,1.29072,15,-1.6316,20,-1.3649,21,-1.0444,27,-0.6472
ENSG00000142949,PTPRF,146,0.40470,22,-2.4699,166,0.73318,108,-0.1311,33,-1.9211,174,0.69745
ENSG00000126091,ST3GAL3,146,1.72209,51,-0.1218,57,0.04688,43,-0.5334,24,-1.2986,36,-0.6886
ENSG00000117408,IPO13,146,1.11971,27,-1.5939,48,-0.7890,59,-0.5020,90,0.28300,145,1.10408
ENSG00000117410,ATP6V0B,146,-1.4477,316,-0.2600,626,1.06350,337,-0.2065,132,-1.5974,488,0.44950
ENSG00000117411,B4GALT2,146,0.82659,79,-0.2037,97,0.15380,91,0.03488,77,-0.2430,36,-1.4013
ENSG00000178028,DMAP1,146,1.31669,63,-0.1281,80,0.29940,53,-0.5014,56,-0.3185,29,-1.3201
ENSG00000117419,ERI3,146,-0.2649,60,-1.6348,260,0.81671,195,0.26549,127,-0.4877,116,-0.6233
