gene,locus,sample_1,sample_2,status,value_1,value_2,log2.fold_change.,test_stat,p_value,q_value
ABCA4,chr1:94458393-94586705,E3,E4,NOTEST,0,0.0118452,Inf,0,1,1
ABCA5,chr17:67144147-67323323,E3,E4,OK,1.53849,1.74434,0.181164,0.956463,0.09615,0.160747
ABCA6,chr17:67074846-67138015,E3,E4,NOTEST,0.00286906,0.0151929,2.40475,0,1,1
ABCA7,chr19:1040101-1065570,E3,E4,OK,3.7547,3.29459,-0.188598,-1.12662,0.0502,0.0917478
ABCA8,chr17:66863430-66951533,E3,E4,NOTEST,0.00264857,0.157063,5.88999,0,1,1
ABCA9,chr17:66970772-67057136,E3,E4,OK,0.450949,0.316798,-0.509398,-1.73064,0.00355,0.00867114
ABCB1,chr7:87133178-87461613,E3,E4,NOTEST,0.0121913,0.405095,5.05434,0,1,1
ABCB10,chr1:229652328-229694442,E3,E4,OK,4.52866,4.39559,-0.0430272,-0.242362,0.6675,0.759552
ABCB11,chr2:169779448-169887833,E3,E4,NOTEST,0.00319599,0.0490244,3.93917,0,1,1
ABCB4,chr7:87031360-87105019,E3,E4,OK,0.797761,1.71601,1.10503,4.35637,5.00E-05,0.000167183
ABCB5,chr7:20655244-20796637,E3,E4,OK,0.809254,0.908941,0.167593,0.48596,0.38935,0.503657
ABCB6,chr2:220074487-220083712,E3,E4,OK,8.86074,8.93433,0.0119313,0.0721419,0.8998,0.931828
ABCB7,chrX:74273006-74376175,E3,E4,OK,19.7842,16.5987,-0.253278,-1.62024,0.0044,0.010526
ABCB8,chr7:150725509-150744869,E3,E4,OK,5.95667,6.1396,0.0436397,0.26654,0.6417,0.737025
ABCB9,chr12:123405497-123451056,E3,E4,OK,2.39189,2.14746,-0.155521,-0.690714,0.2309,0.332436
ABCC1,chr16:16043433-16236930,E3,E4,OK,7.2471,10.8202,0.578254,3.78372,5.00E-05,0.000167183
ABCC10,chr6:43395291-43423786,E3,E4,OK,5.22847,5.17089,-0.0159767,-0.0924123,0.872,0.912678
ABCC11,chr16:48200821-48269088,E3,E4,NOTEST,0.0313848,0.039497,0.331678,0,1,1
ABCC12,chr16:48116883-48180681,E3,E4,NOTEST,0.00569743,0.00313059,-0.863878,0,1,1
ABCC13,chr21:15646119-15673692,E3,E4,NOTEST,0.200281,0.22521,0.169249,0,1,1
ABCC2,chr10:101542462-101611662,E3,E4,NOTEST,0.127607,0.0758932,-0.749663,0,1,1
ABCC3,chr17:48712217-48769063,E3,E4,OK,14.1345,29.885,1.0802,6.71669,5.00E-05,0.000167183
ABCC4,chr13:95672082-95953687,E3,E4,OK,3.58901,4.79021,0.416505,2.44532,5.00E-05,0.000167183
ABCC5,chr3:183637723-183735727,E3,E4,OK,10.4352,8.99274,-0.214624,-1.13052,0.0482,0.0885426
ABCC5-AS1,chr3:183637723-183735727,E3,E4,NOTEST,0,0,0,0,1,1
ABCC6,chr16:16243421-16317328,E3,E4,OK,1.67129,0.296295,-2.49586,-3.16188,5.00E-05,0.000167183
ABCC6P1,chr16:18582569-18609607,E3,E4,NOTEST,0.270891,0.107311,-1.33592,0,1,1
ABCC6P2,chr16:14916288-14918559,E3,E4,OK,2.45752,0.555636,-2.14499,-3.11993,5.00E-05,0.000167183
ABCC8,chr11:17414431-17498449,E3,E4,NOTEST,0.00253814,0.0337698,3.73389,0,1,1
ABCC9,chr12:21950323-22089628,E3,E4,OK,1.09666,2.54828,1.2164,6.49903,5.00E-05,0.000167183
ABCD1,chrX:152990322-153010216,E3,E4,OK,5.24293,6.9927,0.415477,2.43906,5.00E-05,0.000167183
ABCD2,chr12:39945021-40013843,E3,E4,NOTEST,0.0248663,0.138134,2.4738,0,1,1
ABCD3,chr1:94883932-94984219,E3,E4,OK,36.4209,26.9618,-0.433848,-2.6862,5.00E-05,0.000167183
ABCD4,chr14:74751979-74769767,E3,E4,OK,19.1653,13.6488,-0.489724,-3.16216,5.00E-05,0.000167183
ABCE1,chr4:145915726-146050676,E3,E4,OK,27.9741,24.4245,-0.19576,-1.25229,0.02865,0.0562057
ABCF1,chr6_ssto_hap7:1871447-1891586,E3,E4,OK,33.1277,38.0191,0.198687,1.34608,0.0211,0.0428989
ABCF2,chr7:150904922-150924317,E3,E4,OK,19.6116,26.8346,0.452391,2.81963,5.00E-05,0.000167183
ABCF3,chr3:183903862-183911795,E3,E4,OK,19.058,18.7289,-0.0251342,-0.161976,0.77795,0.84505
ABCG1,chr21:43619798-43717354,E3,E4,OK,0.196343,1.60745,3.03333,5.66223,5.00E-05,0.000167183
ABCG2,chr4:89011415-89152474,E3,E4,NOTEST,0.0039685,0.00633083,0.6738,0,1,1
ABCG4,chr11:119019749-119033374,E3,E4,OK,0.660601,0.562621,-0.231616,-0.713748,0.17065,0.2601
ABCG5,chr2:44039610-44065958,E3,E4,NOTEST,0.00477696,0.0158188,1.72748,0,1,1
ABCG8,chr2:44066102-44105605,E3,E4,NOTEST,0.00656679,0.0252522,1.94315,0,1,1
ABHD1,chr2:27346656-27357542,E3,E4,NOTEST,0.144528,0.254773,0.817863,0,1,1
ABHD10,chr3:111697722-111712215,E3,E4,OK,16.1239,15.3752,-0.0685969,-0.436453,0.44245,0.556286
ABHD11,chr7:73150424-73153190,E3,E4,OK,9.77676,11.0178,0.172402,0.910733,0.10895,0.178607
ABHD12,chr20:25228705-25371618,E3,E4,OK,38.865,31.2295,-0.315562,-0.681704,0.2219,0.321687
ABHD12B,chr14:51338877-51371688,E3,E4,NOTEST,0.0558686,0.073869,0.402931,0,1,1
ABHD13,chr13:108870762-108886603,E3,E4,OK,5.80279,6.10483,0.0732044,0.453551,0.42505,0.539077
ABHD14A,chr3:52009041-52023218,E3,E4,OK,17.3856,14.4619,-0.265633,-1.15203,0.0446,0.0827855
ABHD14A-ACY1,chr3:52009041-52023218,E3,E4,OK,0.423297,0.000145703,-11.5044,-0.0465054,0.285,0.393229
ABHD14B,chr3:52002525-52008646,E3,E4,OK,7.556,8.12694,0.10509,0.574379,0.3135,0.424675
ABHD15,chr17:27887688-27894042,E3,E4,OK,6.05698,4.27142,-0.503883,-2.82785,5.00E-05,0.000167183
ABHD16A,chr6_ssto_hap7:2985531-3001955,E3,E4,OK,20.765,20.559,-0.0143825,-0.0907489,0.8718,0.912532
ABHD16B,chr20:62492565-62494341,E3,E4,OK,2.22754,2.49964,0.166269,0.635035,0.26795,0.374495
ABHD2,chr15:89631380-89745591,E3,E4,OK,11.4192,8.73368,-0.386803,-2.59841,5.00E-05,0.000167183
ABHD3,chr18:19230857-19284766,E3,E4,OK,11.9459,4.74536,-1.33193,-7.15809,5.00E-05,0.000167183
ABHD4,chr14:23067146-23081265,E3,E4,OK,32.594,50.2912,0.625698,4.20474,5.00E-05,0.000167183
ABHD5,chr3:43732374-43764217,E3,E4,OK,5.00275,5.33592,0.093015,0.566931,0.31835,0.429549
ABHD6,chr3:58223258-58280461,E3,E4,OK,6.9857,7.24416,0.0524141,0.293222,0.60835,0.707656
ABHD8,chr19:17402939-17414282,E3,E4,OK,5.10396,8.39757,0.718355,3.80975,5.00E-05,0.000167183
ABI1,chr10:26986594-27150016,E3,E4,OK,16.2943,14.9457,-0.124639,-0.780102,0.1767,0.26762
ABI2,chr2:204193002-204296892,E3,E4,OK,37.72,32.6386,-0.208748,-1.43294,0.01335,0.0285693
ABI3,chr17:47283595-47300587,E3,E4,NOTEST,0,0,0,0,1,1
ABI3BP,chr3:100468178-100712334,E3,E4,NOTEST,0.143273,0.410458,1.51847,0,1,1
ABL1,chr9:133589267-133763062,E3,E4,OK,20.532,19.6519,-0.0632091,-0.425195,0.4627,0.576419
ABL2,chr1:179068461-179198819,E3,E4,OK,6.97489,12.0778,0.79212,5.13125,5.00E-05,0.000167183
ABLIM1,chr10:116190868-116444414,E3,E4,OK,16.9802,45.4642,1.42087,9.67051,5.00E-05,0.000167183
ABLIM2,chr4:7967036-8160559,E3,E4,OK,0.341142,0.822498,1.26964,2.97045,5.00E-05,0.000167183
ABLIM3,chr5:148521053-148639999,E3,E4,NOTEST,0.0035363,0.0942952,4.73687,0,1,1
ABO,chr9:136130562-136150630,E3,E4,NOTEST,0,0.0112948,Inf,0,1,1
ABP1,chr7:150549564-150558379,E3,E4,NOTEST,0,0.0295177,Inf,0,1,1
ABR,chr17:906757-1090616,E3,E4,OK,20.6079,34.3497,0.737101,4.98361,5.00E-05,0.000167183
ABRA,chr8:107771710-107782472,E3,E4,NOTEST,0.0738353,0.0702436,-0.0719434,0,1,1
ABRACL,chr6:139349818-139364439,E3,E4,OK,28.4167,31.896,0.166636,0.967895,0.0895,0.151406
ABT1,chr6:26597170-26600277,E3,E4,OK,12.0874,10.4564,-0.209121,-1.24955,0.03005,0.0586323
ABTB1,chr3:127391780-127399769,E3,E4,OK,2.88636,2.25455,-0.356414,-1.40372,0.01205,0.0260681
ABTB2,chr11:34172533-34379555,E3,E4,OK,5.09552,2.46968,-1.04491,-5.85001,5.00E-05,0.000167183
ACAA1,chr3:38080695-38178733,E3,E4,OK,38.5465,35.6239,-0.113754,-0.733549,0.20065,0.296401
ACAA2,chr18:47309873-47340251,E3,E4,OK,57.2399,48.6168,-0.235566,-1.58266,0.0056,0.0130878
ACACA,chr17:35441926-35766902,E3,E4,OK,17.3031,16.7225,-0.0492389,-0.339416,0.56045,0.666047
ACACB,chr12:109577201-109706030,E3,E4,OK,2.27972,0.904962,-1.33293,-7.05199,5.00E-05,0.000167183
ACAD10,chr12:112123856-112194911,E3,E4,OK,6.94582,5.87464,-0.241646,-1.45528,0.01135,0.0247273
ACAD11,chr3:132276981-132593050,E3,E4,OK,14.6579,14.8544,0.0192143,0.071501,0.89945,0.931593
ACAD8,chr11:134123433-134135746,E3,E4,OK,13.1315,10.7132,-0.293643,-1.76069,0.00295,0.00737622
ACAD9,chr3:128598332-128631957,E3,E4,OK,15.903,17.2759,0.119469,0.763637,0.18765,0.280991
ACADL,chr2:211052715-211090215,E3,E4,NOTEST,0.0275966,0.131521,2.25273,0,1,1
ACADM,chr1:76190042-76229355,E3,E4,OK,32.9036,20.3666,-0.692044,-4.58694,5.00E-05,0.000167183
ACADS,chr12:121163570-121177811,E3,E4,OK,10.4599,6.73967,-0.634122,-3.47739,5.00E-05,0.000167183
ACADSB,chr10:124768428-124817806,E3,E4,OK,9.07499,7.64158,-0.248026,-1.60596,0.00425,0.0101995
ACADVL,chr17:7093209-7128586,E3,E4,OK,105.151,96.097,-0.129899,-0.82779,0.14635,0.228696
ACAN,chr15:89346673-89418585,E3,E4,NOTEST,0.0102865,0.00872811,-0.237011,0,1,1
ACAP1,chr17:7239847-7254793,E3,E4,OK,0.53835,0.654391,0.281606,0.776561,0.176,0.266801
ACAP2,chr3:194995464-195163817,E3,E4,OK,9.09761,7.24049,-0.329401,-2.15686,0.00025,0.000762626
ACAP3,chr1:1227763-1243269,E3,E4,OK,15.972,13.6067,-0.231231,-1.50791,0.00765,0.0173446
ACAT1,chr11:107992257-108018891,E3,E4,OK,44.5818,32.0181,-0.477567,-3.17565,5.00E-05,0.000167183
ACAT2,chr6:160181290-160210735,E3,E4,OK,50.0565,66.5207,0.410245,1.42534,0.01375,0.029309
ACBD3,chr1:226332379-226374423,E3,E4,OK,19.7933,20.8067,0.0720386,0.477789,0.39545,0.509975
ACBD4,chr17:43209966-43221543,E3,E4,OK,5.6924,5.65226,-0.0102081,-0.0488314,0.9339,0.95483
ACBD5,chr10:27484142-27531068,E3,E4,OK,24.1556,14.3854,-0.747748,-4.97085,5.00E-05,0.000167183
ACBD6,chr1:180257351-180472022,E3,E4,OK,31.3218,29.0165,-0.110294,-0.707641,0.21615,0.315014
ACBD7,chr10:15117473-15130775,E3,E4,OK,6.86808,5.66696,-0.277332,-1.6161,0.00455,0.0108385
ACCS,chr11:44087728-44105569,E3,E4,NOTEST,0.175869,0.404673,1.20225,0,1,1
ACCSL,chr11:44069530-44081527,E3,E4,NOTEST,0.00903577,0,#NAME?,0,1,1
ACD,chr16:67679029-67694718,E3,E4,OK,8.42203,6.67557,-0.335276,-1.71212,0.0034,0.00835476
ACE,chr17:61554421-61575741,E3,E4,NOTEST,0.172626,0.191068,0.146435,0,1,1
ACE2,chrX:15579155-15620192,E3,E4,NOTEST,0.0708509,0.0215554,-1.71673,0,1,1
ACER1,chr19:6306509-6333640,E3,E4,NOTEST,0,0.0291385,Inf,0,1,1
ACER2,chr9:19408924-19452500,E3,E4,OK,0.949122,1.40995,0.570983,2.08497,4.00E-04,0.001182
ACER3,chr11:76571916-76734850,E3,E4,OK,9.66685,8.04357,-0.26521,-1.67763,0.0043,0.0103047
ACHE,chr7:100487614-100493541,E3,E4,OK,4.21603,8.14927,0.950784,4.87768,5.00E-05,0.000167183
ACIN1,chr14:23527773-23569665,E3,E4,OK,59.1777,65.4825,0.146055,0.843326,0.1398,0.220123
ACLY,chr17:40023178-40075272,E3,E4,OK,55.9456,73.8109,0.399809,2.74831,5.00E-05,0.000167183
ACMSD,chr2:135596185-135676176,E3,E4,NOTEST,0.0270137,0.036714,0.442638,0,1,1
ACN9,chr7:96745904-96811075,E3,E4,OK,4.2364,4.69595,0.148577,0.721059,0.20405,0.300571
ACO1,chr9:32384600-32450832,E3,E4,OK,21.6917,22.2302,0.0353779,0.235392,0.6807,0.769868
ACO2,chr22:41865128-41940479,E3,E4,OK,66.4157,72.2036,0.120545,0.637822,0.2621,0.367919
ACOT1,chr14:73945188-74025651,E3,E4,OK,0.553715,0.111386,-2.31358,-1.38109,0.0916,0.154216
ACOT11,chr1:55013806-55100417,E3,E4,OK,0.126616,0.851402,2.74938,3.69668,0.00015,0.000473552
ACOT12,chr5:80256507-81047072,E3,E4,NOTEST,0.0353225,0.0536418,0.602771,0,1,1
ACOT13,chr6:24667262-24719403,E3,E4,OK,9.70032,11.1688,0.203369,0.602069,0.29525,0.404783
ACOT2,chr14:74034323-74042362,E3,E4,OK,3.24251,2.03633,-0.671138,-2.61162,5.00E-05,0.000167183
ACOT4,chr14:74058409-74062470,E3,E4,OK,0.514188,0.187543,-1.45507,-1.94547,0.00545,0.0127668
ACOT6,chr14:74083547-74086592,E3,E4,NOTEST,0.103981,0.0607792,-0.774677,0,1,1
ACOT7,chr1:6324331-6453826,E3,E4,OK,30.0285,50.2229,0.742016,4.74398,5.00E-05,0.000167183
ACOT8,chr20:44462469-44486048,E3,E4,OK,17.0061,15.0779,-0.173617,-0.711147,0.2178,0.316869
ACOT9,chrX:23721776-23761407,E3,E4,OK,15.1093,35.1867,1.21959,7.5907,5.00E-05,0.000167183
ACOX1,chr17:73937588-74002080,E3,E4,OK,12.8492,12.4147,-0.049621,-0.303569,0.59945,0.700325
ACOX2,chr3:58490862-58522929,E3,E4,OK,0.101695,1.60804,3.98298,5.48192,5.00E-05,0.000167183
ACOX3,chr4:8368008-8442452,E3,E4,OK,8.90844,9.18374,0.0439078,0.26371,0.64815,0.742006
ACOXL,chr2:111490149-111875799,E3,E4,NOTEST,0.031655,0.0714682,1.17487,0,1,1
ACP1,chr2:264868-278282,E3,E4,OK,72.5496,72.4411,-0.0021582,-0.0141465,0.98175,0.987621
ACP2,chr11:47260852-47290584,E3,E4,OK,22.1056,27.248,0.301738,1.90106,6.00E-04,0.00171819
ACP5,chr19:11685474-11689801,E3,E4,NOTEST,0.0702911,0.0200688,-1.80838,0,1,1
ACP6,chr1:147119167-147142634,E3,E4,OK,12.3954,13.1366,0.0837827,0.491106,0.3908,0.505359
ACPL2,chr3:140950681-141013486,E3,E4,OK,16.6556,32.0819,0.945751,6.20809,5.00E-05,0.000167183
ACPP,chr3:132036210-132087146,E3,E4,NOTEST,0.0788447,0.128283,0.70224,0,1,1
ACPT,chr19:51293671-51298481,E3,E4,NOTEST,0.0502657,0,#NAME?,0,1,1
ACR,chr22:51176651-51183727,E3,E4,NOTEST,0.161678,0.0497629,-1.69998,0,1,1
ACRBP,chr12:6747241-6756580,E3,E4,NOTEST,0.23309,0.103322,-1.17375,0,1,1
ACRC,chrX:70430034-70948962,E3,E4,NOTEST,0.26811,0.405274,0.596072,0,1,1
ACRV1,chr11:125495030-125550793,E3,E4,NOTEST,0,0.0762026,Inf,0,1,1
ACSBG1,chr15:78463186-78527049,E3,E4,OK,0.204996,0.68934,1.74962,3.33854,5.00E-05,0.000167183
ACSBG2,chr19:6135709-6193112,E3,E4,NOTEST,0.0422424,0.0624416,0.563818,0,1,1
ACSF2,chr17:48503518-48552200,E3,E4,OK,5.90128,5.93122,0.00730149,0.0386227,0.94355,0.961182
ACSF3,chr16:89160216-89222171,E3,E4,OK,4.88307,4.54543,-0.103373,-0.574385,0.3177,0.428902
ACSL1,chr4:185676748-185747215,E3,E4,OK,9.87579,10.0633,0.0271399,0.17109,0.76695,0.837621
ACSL3,chr2:223725731-223808119,E3,E4,OK,28.5863,22.7679,-0.328326,-2.20452,0.00015,0.000473552
ACSL4,chrX:108884563-108976621,E3,E4,OK,16.0542,25.5702,0.671513,4.5167,5.00E-05,0.000167183
ACSL5,chr10:114133915-114188138,E3,E4,NOTEST,0.0634719,0.0336887,-0.913856,0,1,1
ACSL6,chr5:131285666-131347761,E3,E4,NOTEST,0.173175,0.374024,1.1109,0,1,1
ACSM1,chr16:20634558-20702578,E3,E4,NOTEST,0,0,0,0,1,1
ACSM2A,chr16:20462858-20498991,E3,E4,NOTEST,0.0149737,0.0197297,0.397933,0,1,1
ACSM2B,chr16:20548082-20587695,E3,E4,NOTEST,0.0249607,0.0342843,0.457891,0,1,1
ACSM3,chr16:20775311-20860990,E3,E4,NOTEST,0.0797921,0.0564234,-0.499951,0,1,1
ACSM4,chr12:7456927-7480969,E3,E4,NOTEST,0,0,0,0,1,1
ACSM5,chr16:20420855-20452281,E3,E4,NOTEST,0.0127646,0.0140276,0.136122,0,1,1
ACSS1,chr20:24986865-25038818,E3,E4,OK,9.81874,1.93311,-2.34462,-12.0237,5.00E-05,0.000167183
ACSS2,chr20:33462765-33515769,E3,E4,OK,17.9301,19.458,0.117983,0.766101,0.18655,0.279705
ACSS3,chr12:81471808-81649582,E3,E4,OK,9.81332,3.2887,-1.57722,-8.64694,5.00E-05,0.000167183
ACTA1,chr1:229566992-229569843,E3,E4,OK,2.3893,2.6686,0.15949,0.586876,0.3098,0.420985
ACTA2,chr10:90694830-90775542,E3,E4,OK,16.707,227.106,3.76484,20.2598,5.00E-05,0.000167183
ACTB,chr7:5566778-5570232,E3,E4,OK,3247.22,4091.78,0.333522,2.14116,0.00025,0.000762626
ACTBL2,chr5:56775842-56778636,E3,E4,NOTEST,0,0.0132582,Inf,0,1,1
ACTC1,chr15:35080296-35087927,E3,E4,NOTEST,0.125678,0.145547,0.211748,0,1,1
ACTG1,chr17:79476996-79479892,E3,E4,OK,2408.32,2947.52,0.291476,1.90455,0.00065,0.0018484
ACTG1P4,chr1:104068577-104122149,E3,E4,NOTEST,0.135527,0.137236,0.0180792,0,1,1
ACTG2,chr2:74120092-74146780,E3,E4,OK,0.720247,10.7234,3.89613,10.5798,5.00E-05,0.000167183
ACTL10,chr20:32244892-32262264,E3,E4,NOTEST,0.171689,0.249603,0.539835,0,1,1
ACTL6A,chr3:179280707-179306193,E3,E4,OK,31.8599,31.6841,-0.0079816,-0.0515338,0.9302,0.95266
ACTL6B,chr7:100240725-100254084,E3,E4,OK,0.527808,1.89842,1.84671,4.50334,5.00E-05,0.000167183
ACTL7A,chr9:111624602-111626035,E3,E4,NOTEST,0.0131432,0,#NAME?,0,1,1
ACTL7B,chr9:111616868-111618275,E3,E4,NOTEST,0,0,0,0,1,1
ACTL8,chr1:18081807-18153558,E3,E4,NOTEST,0,0,0,0,1,1
ACTL9,chr19:8807750-8809172,E3,E4,NOTEST,0,0,0,0,1,1
ACTN1,chr14:69340839-69446083,E3,E4,OK,36.0848,116.485,1.69068,11.5774,5.00E-05,0.000167183
ACTN1-AS1,chr14:69446398-69454180,E3,E4,NOTEST,0.0305904,0.0361983,0.242845,0,1,1
ACTN2,chr1:236849769-236927558,E3,E4,OK,0.0590808,0.475212,3.00781,4.41328,5.00E-05,0.000167183
ACTN3,chr11:66313865-66330799,E3,E4,NOTEST,0.00591028,0.00418596,-0.497669,0,1,1
ACTN4,chr19:39138266-39235114,E3,E4,OK,76.8565,131.271,0.772309,5.13734,5.00E-05,0.000167183
ACTR10,chr14:58666832-58702353,E3,E4,OK,26.3869,33.0362,0.324224,2.14598,0.00025,0.000762626
ACTR1A,chr10:104238985-104262512,E3,E4,OK,65.8265,68.5082,0.0576081,0.394345,0.4891,0.60088
ACTR1B,chr2:98272401-98280561,E3,E4,OK,35.6718,36.3146,0.0257634,0.171624,0.76,0.832499
ACTR2,chr2:65454828-65498390,E3,E4,OK,88.0606,92.9396,0.0777974,0.536043,0.34475,0.457525
ACTR3,chr2:114647536-114716167,E3,E4,OK,84.4468,101.434,0.264433,1.81666,0.00205,0.00530233
ACTR3B,chr7:152456833-152552464,E3,E4,OK,2.34806,2.9809,0.344274,1.45451,0.01295,0.0277921
ACTR3BP2,chr2:92129158-92130496,E3,E4,NOTEST,0,0.0136927,Inf,0,1,1
ACTR3BP5,chr10:38989726-38991371,E3,E4,NOTEST,0,0,0,0,1,1
ACTR3C,chr7:149944300-150035245,E3,E4,OK,0.243493,0.566717,1.21875,0.814229,0.1586,0.244848
ACTR5,chr20:37377096-37401089,E3,E4,OK,3.98381,3.65915,-0.122639,-0.602861,0.2849,0.393127
ACTR6,chr12:100593864-100618202,E3,E4,OK,16.2058,10.5629,-0.617501,-3.5915,5.00E-05,0.000167183
ACTR8,chr3:53901093-53916229,E3,E4,OK,11.7228,11.8075,0.0103812,0.0662676,0.9082,0.938146
ACTRT1,chrX:127184940-127186382,E3,E4,NOTEST,0,0.0125435,Inf,0,1,1
ACTRT2,chr1:2938045-2939467,E3,E4,NOTEST,0,0,0,0,1,1
ACTRT3,chr3:169484710-169487683,E3,E4,OK,0.914521,0.812222,-0.171142,-0.507128,0.37925,0.493466
ACVR1,chr2:158592957-158732374,E3,E4,OK,6.24237,8.69822,0.478625,2.80656,5.00E-05,0.000167183
ACVR1B,chr12:52345450-52390863,E3,E4,OK,8.5301,5.76828,-0.564421,-3.45616,5.00E-05,0.000167183
ACVR1C,chr2:158383278-158485399,E3,E4,NOTEST,0.0933635,0.117638,0.333426,0,1,1
ACVR2A,chr2:148602569-149271044,E3,E4,OK,5.65144,5.64705,-0.00111974,-0.00319214,0.99665,0.997575
ACVR2B,chr3:38492517-38534633,E3,E4,OK,3.04947,2.51158,-0.279961,-1.70173,0.00265,0.00667584
ACVR2B-AS1,chr3:38492517-38534633,E3,E4,OK,0.6363,0.595193,-0.0963506,-0.102815,0.85885,0.903549
ACVRL1,chr12:52301201-52317145,E3,E4,NOTEST,0.208562,0.202376,-0.0434347,0,1,1
