Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000117115,PADI2,30,-0.3297,69,1.05872,4,-3.3033,15,-1.3960,17,-1.2868,52,0.57191,91,1.57928,37,0.00757
ENSG00000117154,IGSF21,104,0.81519,18,-1.9225,99,0.72986,32,-1.0641,106,1.00534,32,-1.0763,21,-1.7317,59,-0.1233
ENSG00000127463,EMC1,30,-0.5634,44,0.03901,21,-1.0993,17,-1.4041,109,2.17851,9,-2.3362,22,-0.9955,23,-0.9477
ENSG00000053372,MRTO4,30,-0.3309,0,-6.5563,43,0.25086,64,0.92487,50,0.57000,52,0.58110,3,-3.5733,40,0.14245
ENSG00000053371,AKR7A2,30,-0.3148,46,0.37068,29,-0.3487,36,-0.0083,36,-0.0177,23,-0.7496,65,0.96263,28,-0.4388
ENSG00000077549,CAPZB,46,-2.2638,222,0.13635,249,0.32229,249,0.32851,249,0.37568,265,0.43236,168,-0.3136,141,-0.5867
ENSG00000173436,MICOS10,30,-3.0968,304,0.43223,271,0.23851,216,-0.1314,217,-0.1392,262,0.18501,312,0.47390,278,0.28271
ENSG00000158747,NBL1,30,-2.6325,294,0.92198,251,0.64594,112,-0.6602,203,0.32812,155,-0.1561,133,-0.3941,154,-0.1675
ENSG00000162545,CAMK2N1,797,-1.0213,428,-1.9560,1127,-0.4847,2417,0.77214,1520,-0.0083,3113,1.22835,1713,0.18801,1105,-0.5147
ENSG00000158828,PINK1,612,0.57565,296,-0.6053,486,0.18832,415,-0.0658,490,0.23609,301,-0.5756,282,-0.6796,522,0.30943
ENSG00000189410,SH2D5,30,-0.7494,7,-2.7911,35,-0.4857,101,1.26670,79,0.98817,35,-0.4924,52,0.11384,16,-1.6862
ENSG00000127483,HP1BP3,96,-1.0357,261,0.56296,179,-0.0622,195,0.08209,206,0.19738,159,-0.2435,202,0.14041,166,-0.1777
ENSG00000075151,EIF4G3,30,-2.1853,121,-0.0666,103,-0.3160,116,-0.1308,212,1.06161,107,-0.2609,110,-0.2184,122,-0.0481
ENSG00000076864,RAP1GAP,266,0.93449,19,-3.1184,252,0.83798,110,-0.5207,246,0.95333,64,-1.3601,63,-1.3753,112,-0.4921
ENSG00000090686,USP48,30,-0.8261,70,0.53857,65,0.40370,50,-0.0199,41,-0.3785,98,1.12297,41,-0.3217,20,-1.4503
ENSG00000070831,CDC42,30,-2.8634,218,0.14441,331,0.85479,269,0.49533,266,0.55828,128,-0.7003,133,-0.6412,154,-0.4139
ENSG00000004487,KDM1A,423,3.30556,44,-1.0215,28,-1.6915,62,-0.5021,59,-0.6480,30,-1.5835,44,-1.0069,13,-2.7631
ENSG00000169641,LUZP1,63,0.06567,66,0.12363,115,1.08234,56,-0.1415,62,0.04135,43,-0.5677,30,-1.0909,51,-0.2865
ENSG00000125944,HNRNPR,30,-1.8272,119,0.30729,67,-0.6045,70,-0.5474,148,0.80600,154,0.74034,68,-0.5896,84,-0.2569
ENSG00000142676,RPL11,1473,1.28252,1640,1.48806,421,-0.8055,385,-0.9439,281,-1.5476,502,-0.5334,739,0.08434,593,-0.2702
ENSG00000057757,PITHD1,32,-2.5502,95,-0.9052,233,0.52299,234,0.53230,245,0.71962,186,0.15105,164,-0.0600,95,-0.9127
ENSG00000011009,LYPLA2,30,-0.3846,32,-0.2605,55,0.61406,72,1.07367,48,0.43489,21,-0.9129,20,-0.9997,17,-1.2622
ENSG00000189266,PNRC2,30,-1.2646,119,0.95246,58,-0.2459,79,0.24694,66,-0.0584,85,0.36230,47,-0.5678,61,-0.1742
ENSG00000188529,SRSF10,30,-0.9373,93,0.89780,66,0.29798,47,-0.2340,44,-0.3675,60,0.16594,62,0.20774,44,-0.3362
ENSG00000001461,NIPAL3,41,-0.3692,25,-1.1057,117,1.40686,61,0.25201,43,-0.3271,28,-0.9700,36,-0.5644,73,0.55264
ENSG00000133226,SRRM1,30,-0.9147,130,1.54532,51,-0.0699,20,-1.4882,69,0.46962,43,-0.3515,30,-0.8850,41,-0.4219
ENSG00000117614,SYF2,30,-1.0598,140,1.50792,26,-1.2506,66,0.17287,47,-0.4150,64,0.12800,53,-0.1651,59,-0.0046
ENSG00000117616,RSRP1,30,-1.2740,91,0.48042,55,-0.3499,109,0.78141,94,0.62669,68,-0.0114,42,-0.7439,31,-1.2391
ENSG00000183726,TMEM50A,30,-1.6777,150,0.86779,36,-1.4064,140,0.74009,141,0.90456,76,-0.2728,83,-0.1339,11,-3.0965
ENSG00000117643,MAN1C1,30,-0.4791,51,0.38073,27,-0.6625,108,1.73298,44,0.17003,21,-1.0160,22,-0.9468,17,-1.2898
ENSG00000162430,SELENON,68,0.63446,90,1.12748,31,-0.6442,32,-0.5922,41,-0.2105,27,-0.8486,52,0.17817,36,-0.4187
ENSG00000117640,MTFR1L,30,-1.3031,55,-0.3830,65,-0.1180,114,0.83547,77,0.19749,65,-0.1030,62,-0.1722,80,0.22899
ENSG00000117632,STMN1,30,-5.2216,306,-1.8404,1491,0.64934,1642,0.81705,1475,0.74798,974,-0.0603,668,-0.6560,1035,0.03805
ENSG00000158008,EXTL1,30,-0.7061,5,-3.1873,39,-0.2940,96,1.23421,61,0.51913,33,-0.5606,49,0.08132,46,-0.0148
ENSG00000142669,SH3BGRL3,30,-2.7559,220,0.28312,184,-0.0083,173,-0.1122,211,0.24193,217,0.25834,122,-0.6586,300,0.80873
ENSG00000198830,HMGN2,30,-2.5349,368,1.46210,88,-0.9268,127,-0.3658,135,-0.2953,140,-0.2050,198,0.35871,212,0.47221
ENSG00000117713,ARID1A,30,-1.2736,120,0.95195,43,-0.7383,81,0.27757,105,0.85074,26,-1.4769,66,-0.0578,39,-0.8561
ENSG00000090273,NUDC,30,-2.4483,125,-0.2978,108,-0.5284,222,0.64690,171,0.24724,256,0.89738,167,0.16873,103,-0.5921
ENSG00000253368,TRNP1,30,-1.1216,24,-1.4767,115,1.06412,62,0.01935,67,0.15476,73,0.28436,19,-1.8249,98,0.76824
ENSG00000142784,WDTC1,112,1.13250,51,-0.1967,34,-0.8376,54,-0.1049,53,-0.1578,75,0.41866,43,-0.4636,45,-0.3932
ENSG00000186501,TMEM222,30,-1.4165,82,0.15311,90,0.29355,74,-0.0301,119,0.91779,54,-0.5228,55,-0.4922,53,-0.5410
ENSG00000126705,AHDC1,30,-0.8573,78,0.68279,37,-0.5417,46,-0.1923,78,0.82169,78,0.66999,19,-1.5276,22,-1.3207
ENSG00000126709,IFI6,30,-2.3723,519,2.43168,141,-0.0144,84,-0.8332,137,-0.0691,48,-1.6774,92,-0.6973,96,-0.6298
ENSG00000117758,STX12,30,-1.7847,97,0.02316,117,0.33251,115,0.29269,124,0.48901,69,-0.5242,86,-0.1677,101,0.08663
ENSG00000117751,PPP1R8,30,-0.2917,33,-0.1191,36,0.01955,37,0.05141,35,-0.0376,55,0.69663,29,-0.3639,33,-0.1340
ENSG00000117748,RPA2,30,-0.6532,56,0.33051,36,-0.3826,68,0.67432,63,0.62181,32,-0.5489,35,-0.3905,27,-0.8326
ENSG00000126698,DNAJC8,30,-2.0924,122,0.04755,132,0.18624,111,-0.0971,177,0.79954,122,0.05986,112,-0.0781,79,-0.6309
ENSG00000130770,ATP5IF1,417,-0.0823,239,-0.9562,488,0.17481,448,0.03641,428,-0.0436,778,0.97321,354,-0.3412,366,-0.2909
ENSG00000198492,YTHDF2,30,-1.4412,30,-1.4519,127,0.85375,83,0.13468,126,1.01784,71,-0.1154,58,-0.4460,36,-1.1491
ENSG00000116350,SRSF4,30,-0.6888,82,0.95634,78,0.87502,43,-0.1199,33,-0.5960,34,-0.4774,36,-0.3932,48,0.05470
ENSG00000162512,SDC3,30,-1.9615,75,-0.5786,174,0.79959,93,-0.2474,160,0.77158,88,-0.3355,115,0.10685,79,-0.5023
ENSG00000134644,PUM1,132,-0.2576,56,-1.5654,188,0.31149,240,0.73061,220,0.68686,122,-0.3823,109,-0.5610,109,-0.5614
ENSG00000121766,ZCCHC17,30,-1.9313,100,-0.0974,113,0.10418,157,0.65454,104,-0.0316,117,0.15521,84,-0.3651,145,0.51649
ENSG00000121769,FABP3,613,2.53383,25,-2.8037,209,0.41852,85,-1.0042,168,0.07324,48,-1.8660,31,-2.5145,109,-0.6244
ENSG00000162517,PEF1,30,-1.2363,27,-1.4137,63,-0.0772,127,1.10537,92,0.62675,80,0.30373,55,-0.3073,33,-1.0918
ENSG00000084636,COL16A1,30,-0.5501,69,0.81218,11,-2.0768,38,-0.1777,41,-0.0405,58,0.51387,49,0.23653,44,0.06809
ENSG00000121753,ADGRB2,429,0.77250,39,-2.9209,216,-0.3641,407,0.67868,379,0.65666,216,-0.3642,155,-0.8806,219,-0.3390
ENSG00000184007,PTP4A2,30,-2.3981,163,0.19081,154,0.09968,140,-0.0616,148,0.03036,96,-0.6611,138,-0.0822,291,1.19202
ENSG00000121774,KHDRBS1,30,-2.1753,107,-0.2591,127,0.01911,178,0.57702,166,0.54256,143,0.20539,145,0.23201,69,-0.9426
ENSG00000025800,KPNA6,30,-0.8256,28,-0.9181,91,0.98469,51,0.02226,66,0.49063,39,-0.4279,29,-0.8826,58,0.20790
ENSG00000084623,EIF3I,30,-1.5935,30,-1.5958,131,0.73513,90,0.10933,130,0.86177,78,-0.1232,63,-0.4685,77,-0.1397
ENSG00000175130,MARCKSL1,30,-1.8326,133,0.48495,104,0.07171,49,-1.0874,70,-0.6229,78,-0.3749,237,1.52891,121,0.33297
ENSG00000160058,BSDC1,30,-1.1047,60,-0.0236,62,0.03974,45,-0.4921,90,0.75707,70,0.21944,36,-0.8079,66,0.13596
ENSG00000176261,ZBTB8OS,30,-0.3394,33,-0.1605,13,-1.6390,27,-0.4759,32,-0.2543,66,0.96799,67,1.00703,33,-0.2029
ENSG00000162521,RBBP4,58,-0.5700,101,0.31834,124,0.65935,103,0.35396,80,-0.0692,95,0.20653,69,-0.2954,39,-1.1785
ENSG00000162522,KIAA1522,219,2.65124,23,-1.3722,31,-0.9026,33,-0.7763,40,-0.5435,41,-0.4818,32,-0.8427,36,-0.6841
ENSG00000134684,YARS,30,-1.5370,13,-2.6910,139,0.89857,138,0.89779,118,0.73364,52,-0.7089,68,-0.2884,55,-0.6067
ENSG00000121905,HPCA,30,-2.4478,17,-3.2981,215,0.59938,216,0.60051,220,0.75002,148,-0.0274,69,-1.2131,219,0.62400
ENSG00000134686,PHC2,30,-0.7234,28,-0.8255,43,-0.1561,41,-0.2369,77,0.96715,36,-0.4287,28,-0.8044,67,0.57334
ENSG00000163866,SMIM12,30,-0.6488,11,-2.1493,64,0.56369,53,0.24440,78,1.12058,22,-1.0916,32,-0.5394,39,-0.2343
ENSG00000116544,DLGAP3,30,-1.2822,58,-0.2752,72,0.08753,94,0.51897,64,-0.1276,117,0.89930,81,0.27478,37,-0.9540
ENSG00000116560,SFPQ,231,0.44813,265,0.67800,125,-0.5479,123,-0.5663,179,0.03033,180,0.03124,162,-0.1352,142,-0.3429
ENSG00000146463,ZMYM4,30,-0.9248,102,1.07826,89,0.83432,59,0.14342,43,-0.4037,30,-0.9044,52,-0.0519,38,-0.5629
ENSG00000142687,KIAA0319L,30,-0.9574,52,-0.1105,53,-0.0674,99,0.98804,76,0.62673,36,-0.6746,53,-0.0641,22,-1.4086
ENSG00000020129,NCDN,1266,0.99559,138,-2.4885,475,-0.6268,1446,1.24014,777,0.18510,760,0.12300,383,-0.9588,319,-1.2350
ENSG00000126067,PSMB2,30,-2.0390,86,-0.4431,181,0.77445,171,0.67922,183,0.95470,73,-0.6932,52,-1.2099,65,-0.8721
ENSG00000142686,C1orf216,355,1.69505,18,-3.0594,118,-0.2313,165,0.31043,133,-0.0424,167,0.33314,52,-1.5004,87,-0.7070
ENSG00000092847,AGO1,30,-0.3648,36,-0.0581,36,-0.0552,27,-0.5120,65,1.09309,18,-1.1084,45,0.27415,17,-1.2014
ENSG00000054116,TRAPPC3,278,2.37535,27,-1.6412,50,-0.6982,46,-0.8192,85,0.15281,49,-0.7193,48,-0.7637,35,-1.2430
ENSG00000116871,MAP7D1,30,-2.7594,99,-0.9836,292,0.75759,201,0.12723,195,0.09588,343,1.04282,178,-0.0655,138,-0.4768
ENSG00000054118,THRAP3,30,-1.4510,146,1.06212,43,-0.9402,71,-0.1464,99,0.46098,93,0.28459,59,-0.4557,62,-0.3603
ENSG00000181817,LSM10,30,-0.4771,35,-0.2197,37,-0.1636,43,0.08907,46,0.23363,69,0.90529,14,-1.6146,45,0.15981
ENSG00000116898,MRPS15,30,-0.8114,46,-0.1245,88,0.94569,35,-0.5751,38,-0.4985,119,1.49981,33,-0.6511,25,-1.0733
ENSG00000163875,MEAF6,559,2.27051,37,-2.2758,161,-0.0369,180,0.14166,146,-0.2196,93,-0.8929,78,-1.1671,83,-1.0749
ENSG00000197982,C1orf122,30,-2.6210,174,0.04649,189,0.18294,153,-0.1565,130,-0.4687,198,0.25454,239,0.57738,278,0.83724
ENSG00000116954,RRAGC,30,-0.6409,52,0.24168,53,0.27442,69,0.71739,57,0.46361,12,-1.9774,50,0.17602,23,-1.0202
ENSG00000174574,AKIRIN1,51,-1.0706,56,-0.9344,86,-0.2625,132,0.43333,136,0.57039,160,0.75694,101,-0.0092,55,-0.9470
ENSG00000168653,NDUFS5,1066,0.74407,425,-0.7526,644,-0.0967,755,0.15999,583,-0.2912,845,0.34701,596,-0.2224,661,-0.0554
ENSG00000127603,MACF1,304,0.42209,396,0.87914,249,0.09377,143,-0.7861,186,-0.4269,86,-1.5589,359,0.70582,210,-0.1860
ENSG00000090621,PABPC4,30,-1.0751,94,0.74801,59,-0.0272,45,-0.4539,49,-0.3631,56,-0.1022,61,0.04225,96,0.78793
ENSG00000116983,HPCAL4,709,0.66775,88,-2.5583,416,-0.2137,767,0.80530,480,0.02064,614,0.42299,347,-0.5008,374,-0.3814
ENSG00000131236,CAP1,30,-2.2912,220,0.81694,143,0.08804,185,0.51860,151,0.20984,159,0.26537,68,-1.0685,110,-0.3337
ENSG00000131238,PPT1,30,-2.0718,154,0.46509,88,-0.4418,125,0.11191,176,0.82337,128,0.15170,95,-0.3271,76,-0.6805
ENSG00000084073,ZMPSTE24,30,-0.4763,43,0.11585,48,0.27359,35,-0.2238,59,0.75068,23,-0.8890,33,-0.3071,33,-0.3262
ENSG00000084070,SMAP2,57,-1.3859,130,-0.1149,150,0.12193,128,-0.1339,213,0.84289,184,0.46107,77,-0.9288,102,-0.4922
ENSG00000117016,RIMS3,30,-2.0103,17,-2.8546,201,0.99861,130,0.25043,121,0.15290,137,0.33831,106,-0.0778,141,0.38333
ENSG00000066136,NFYC,30,-0.4724,54,0.48551,56,0.53484,63,0.75406,55,0.60513,24,-0.8298,11,-1.9123,14,-1.5781
ENSG00000198815,FOXJ3,332,2.28540,58,-0.8059,111,0.21678,92,-0.0883,94,-0.0632,40,-1.3865,28,-1.8990,26,-2.0254
ENSG00000177181,RIMKLA,405,3.37126,35,-1.2533,65,-0.3204,21,-1.9952,45,-0.9670,31,-1.4594,34,-1.3277,33,-1.3619
ENSG00000127125,PPCS,30,-0.8241,11,-2.2427,49,-0.0601,111,1.34610,56,0.19377,54,0.10902,34,-0.6351,55,0.13277
ENSG00000065978,YBX1,175,0.71183,316,1.82062,110,-0.0571,42,-1.5422,52,-1.3265,62,-0.9537,129,0.20109,89,-0.3949
ENSG00000117394,SLC2A1,30,-2.2737,830,4.14891,23,-2.6276,38,-1.9319,58,-1.4111,64,-1.1388,58,-1.2946,42,-1.7914
ENSG00000117395,EBNA1BP2,30,-1.3256,61,-0.2233,35,-1.0857,97,0.53133,86,0.38548,130,1.03346,46,-0.6741,63,-0.1863
ENSG00000142949,PTPRF,30,-2.4104,32,-2.3261,158,0.12189,178,0.32170,271,1.28957,169,0.23744,130,-0.1903,78,-0.9835
ENSG00000126091,ST3GAL3,30,-0.5168,8,-2.5203,62,0.67144,57,0.51893,49,0.31131,46,0.17207,27,-0.6768,46,0.16205
ENSG00000117408,IPO13,325,2.55974,34,-1.4161,51,-0.8033,93,0.14509,54,-0.7796,37,-1.2981,53,-0.7261,62,-0.4969
ENSG00000117410,ATP6V0B,342,-0.0796,153,-1.3283,411,0.21835,429,0.29005,623,1.12849,245,-0.6124,234,-0.6792,177,-1.1084
ENSG00000117411,B4GALT2,30,-1.3795,32,-1.2782,145,1.17207,50,-0.6003,68,-0.1231,94,0.40844,66,-0.1610,105,0.59204
ENSG00000178028,DMAP1,30,-0.7751,40,-0.3281,82,0.85838,45,-0.1300,53,0.12602,43,-0.1971,57,0.25176,39,-0.3635
ENSG00000117419,ERI3,128,-0.3154,96,-0.7661,227,0.62955,172,0.15756,194,0.42506,124,-0.3598,137,-0.2113,129,-0.2963
ENSG00000187147,RNF220,357,1.70321,70,-1.0446,123,-0.1733,99,-0.5153,125,-0.1737,146,0.10914,76,-0.9167,111,-0.3314
ENSG00000142937,RPS8,30,-4.5649,1938,2.01207,299,-1.1960,459,-0.5341,435,-0.6874,606,-0.0937,804,0.37074,773,0.30386
ENSG00000126088,UROD,254,1.81691,30,-1.7371,64,-0.5704,104,0.19487,100,0.15909,52,-0.8828,60,-0.6642,63,-0.5866
ENSG00000117450,PRDX1,30,-3.3973,378,0.45290,295,0.04285,275,-0.0692,320,0.20524,276,-0.0655,452,0.75804,240,-0.2917
ENSG00000117448,AKR1A1,30,-0.3837,21,-0.9163,32,-0.2939,60,0.76129,32,-0.3325,37,-0.0524,60,0.74038,40,0.09574
ENSG00000085998,POMGNT1,30,-1.1829,70,0.13388,82,0.40710,70,0.13634,101,0.91531,67,0.07713,20,-1.7913,36,-0.9018
ENSG00000132128,LRRC41,30,-0.7102,24,-1.0360,84,0.98360,73,0.74002,66,0.65027,26,-0.9240,29,-0.7483,25,-0.9695
ENSG00000173660,UQCRH,307,-0.5311,249,-0.8560,699,0.82518,392,-0.1432,399,-0.1304,577,0.49397,375,-0.2132,458,0.10894
