Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to13,Feature log2 fold change topic 7to13
ENSG00000228594,FNDC10,2,-3.6910,7,-2.0210,20,-0.4018,27,0.08932,35,1.20741
ENSG00000272106,AL691432.2,2,-3.5204,23,0.03529,40,0.86543,18,-0.4113,25,0.26492
ENSG00000197530,MIB2,47,0.42650,42,0.25399,16,-1.2398,39,0.12796,35,-0.0996
ENSG00000189339,SLC35E2B,2,-3.9047,19,-0.7656,29,-0.0565,30,-0.0250,38,0.81284
ENSG00000215790,SLC35E2A,2,-3.6594,21,-0.2821,59,1.38265,21,-0.2708,26,0.08993
ENSG00000008130,NADK,2,-3.5625,32,0.50138,13,-0.8910,23,-0.0181,26,0.32111
ENSG00000078369,GNB1,216,-0.8965,266,-0.6208,334,-0.2302,347,-0.1883,467,0.65474
ENSG00000187730,GABRD,2,-5.5109,8,-3.6381,65,-0.5277,61,-0.6611,141,2.02482
ENSG00000067606,PRKCZ,72,-1.4127,77,-1.3896,221,0.29167,159,-0.2418,231,0.85799
ENSG00000162585,FAAP20,2,-4.4753,76,0.81386,19,-1.3799,57,0.28165,48,0.02070
ENSG00000157933,SKI,2,-3.4343,25,0.25198,1,-4.2724,33,0.75569,23,0.21483
ENSG00000157916,RER1,2,-5.2838,103,0.46875,118,0.64977,55,-0.5779,83,0.19969
ENSG00000157911,PEX10,43,0.33891,49,0.60743,81,1.38332,24,-0.5750,26,-0.8050
ENSG00000149527,PLCH2,2,-3.1644,15,-0.3077,2,-2.9100,16,-0.1877,24,1.09814
ENSG00000157881,PANK4,2,-3.3977,8,-1.5161,0,-4.7245,12,-0.9511,33,2.20553
ENSG00000157870,PRXL2B,127,1.49101,20,-1.4725,49,-0.0749,44,-0.2613,52,0.03045
ENSG00000177133,PRDM16-DT,60,2.51638,8,-0.8804,0,-4.3672,24,0.92785,8,-1.2687
ENSG00000158109,TPRG1L,90,-0.8650,55,-1.6853,112,-0.5454,133,-0.2966,213,1.13863
ENSG00000116213,WRAP73,2,-2.3656,16,0.76325,0,-3.9228,12,0.24045,11,0.16061
ENSG00000130764,LRRC47,74,-0.1718,51,-0.8024,157,1.02879,58,-0.5990,90,0.26831
ENSG00000116198,CEP104,2,-2.9832,25,0.80675,17,0.12312,16,0.00982,15,-0.1627
ENSG00000198912,C1orf174,2,-2.2718,8,-0.2605,2,-2.3996,11,0.28782,12,0.69656
ENSG00000196581,AJAP1,52,0.72616,11,-1.6983,10,-1.6978,18,-0.9365,44,1.09747
ENSG00000069424,KCNAB2,234,0.42398,60,-1.7196,93,-1.0029,173,-0.0558,219,0.72381
ENSG00000116254,CHD5,79,-0.3224,18,-2.5874,200,1.17048,84,-0.2495,111,0.46896
ENSG00000116251,RPL22,659,0.47143,833,0.96397,291,-0.7965,616,0.40152,359,-0.8364
ENSG00000116237,ICMT,2,-3.8801,17,-0.8919,31,0.10176,25,-0.2981,38,0.96057
ENSG00000097021,ACOT7,54,-2.5249,97,-1.7422,276,-0.0861,173,-0.8486,416,1.51829
ENSG00000215788,TNFRSF25,2,-2.7847,1,-3.2687,4,-1.8310,17,0.34681,19,1.43148
ENSG00000171680,PLEKHG5,38,0.68672,3,-3.1050,11,-1.1977,17,-0.6260,33,1.14438
ENSG00000162408,NOL9,61,1.24335,21,-0.4469,44,0.69613,29,0.03749,23,-0.5625
ENSG00000162413,KLHL21,2,-3.8241,40,0.62326,26,-0.1477,26,-0.1674,30,0.16108
ENSG00000116273,PHF13,2,-2.7737,5,-1.4648,30,1.29604,10,-0.5161,16,0.62965
ENSG00000041988,THAP3,2,-3.2422,13,-0.5692,34,0.93611,20,0.12364,20,0.23885
ENSG00000007923,DNAJC11,75,1.34396,16,-1.1767,46,0.53076,26,-0.4002,32,-0.0929
ENSG00000171735,CAMTA1,2,-6.1138,147,-0.0488,219,0.58296,164,0.12898,161,0.19889
ENSG00000049245,VAMP3,2,-4.5135,179,3.00876,18,-1.4344,34,-0.4912,22,-1.7474
ENSG00000049246,PER3,2,-3.3840,43,1.32427,8,-1.4802,22,0.06134,19,-0.2756
ENSG00000116288,PARK7,271,-0.4677,389,0.09974,515,0.53605,367,-0.0037,354,-0.1138
ENSG00000116285,ERRFI1,2,-3.5829,25,0.09343,57,1.40575,15,-0.7225,24,0.07008
ENSG00000162426,SLC45A1,35,-0.1525,11,-1.9810,111,1.77593,19,-1.0994,42,0.27881
ENSG00000142599,RERE,143,0.77939,77,-0.2096,78,-0.1836,83,-0.0965,86,-0.0762
ENSG00000074800,ENO1,551,-0.3558,727,0.08320,615,-0.1848,562,-0.3495,752,0.26804
ENSG00000142583,SLC2A5,72,2.60939,27,0.91583,1,-3.7193,24,0.70064,5,-2.4785
ENSG00000171612,SLC25A33,44,-0.0075,69,0.79941,13,-1.7913,56,0.44163,37,-0.4448
ENSG00000188807,TMEM201,2,-2.6055,18,0.71843,9,-0.4857,7,-0.7554,13,0.37953
ENSG00000171608,PIK3CD,2,-2.5818,2,-2.7040,16,0.42963,12,-0.0937,17,1.08790
ENSG00000171603,CLSTN1,1056,0.77548,289,-1.3056,614,-0.0891,372,-0.9112,780,0.64443
ENSG00000178585,CTNNBIP1,41,0.10539,36,-0.0927,41,0.12375,40,0.08306,37,-0.0644
ENSG00000162441,LZIC,2,-3.8400,64,1.49746,37,0.40159,32,0.21284,20,-0.9177
ENSG00000162444,RBP7,2,-3.3080,91,3.68531,22,0.18697,11,-0.9751,4,-3.0990
ENSG00000130939,UBE4B,2,-4.2664,40,0.02001,69,0.87995,28,-0.5971,44,0.36115
ENSG00000054523,KIF1B,125,-1.0103,312,0.44219,259,0.10348,227,-0.1127,241,-0.0139
ENSG00000142657,PGD,19,-1.5227,51,-0.0731,85,0.74835,42,-0.3866,57,0.24070
ENSG00000241563,CORT,2,-8.2667,31,-4.5555,7498,7.21940,67,-3.4299,57,-4.4706
ENSG00000160049,DFFA,2,-4.0688,64,1.16864,32,-0.0894,30,-0.1776,31,-0.2582
ENSG00000142655,PEX14,138,2.53461,17,-1.0286,21,-0.6254,21,-0.7203,26,-0.5591
ENSG00000120948,TARDBP,2,-4.7874,54,-0.0363,101,0.96252,52,-0.1180,58,0.14426
ENSG00000116649,SRM,156,0.55345,68,-0.7826,99,-0.1543,95,-0.2470,121,0.32015
ENSG00000171824,EXOSC10,2,-3.8108,33,0.27515,29,0.06084,19,-0.6485,33,0.54449
ENSG00000198793,MTOR,8,-2.4923,41,-0.0366,23,-0.8816,32,-0.4464,52,0.82443
ENSG00000120942,UBIAD1,2,-2.1160,23,1.92533,0,-3.6761,8,-0.0813,6,-0.6908
ENSG00000116661,FBXO2,32,-2.9088,335,0.69047,161,-0.5293,284,0.38767,217,-0.1333
ENSG00000132879,FBXO44,2,-5.6922,54,-1.0525,56,-0.9379,97,-0.1269,142,1.23737
ENSG00000116670,MAD2L2,2,-3.4708,38,0.98159,12,-0.9358,26,0.29973,21,-0.2007
ENSG00000177674,AGTRAP,2,-2.7010,56,3.37490,0,-4.2551,17,0.45099,3,-2.9596
ENSG00000177000,MTHFR,2,-2.6282,11,-0.2119,34,1.68466,13,0.12272,11,-0.3697
ENSG00000011021,CLCN6,39,-0.4147,29,-0.9129,171,2.03881,31,-0.8120,48,-0.1982
ENSG00000116685,KIAA2013,70,0.90028,53,0.50494,1,-5.0846,34,-0.2431,39,-0.0797
ENSG00000083444,PLOD1,2,-3.6462,56,1.51496,8,-1.6724,29,0.25507,21,-0.5254
ENSG00000116688,MFN2,70,-0.3108,79,-0.1251,136,0.73855,63,-0.4961,89,0.11325
ENSG00000116691,MIIP,2,-3.0479,21,0.38763,0,-4.5994,15,-0.1990,20,0.71987
ENSG00000048707,VPS13D,39,-0.1002,36,-0.2354,16,-1.4723,34,-0.3226,50,0.59520
ENSG00000162496,DHRS3,2,-4.0772,89,1.87325,5,-2.8329,38,0.19146,26,-0.7367
ENSG00000116731,PRDM2,37,-0.7695,47,-0.4293,19,-1.7704,63,0.04007,74,0.69035
ENSG00000189337,KAZN,64,0.48501,47,0.00079,51,0.15249,36,-0.4071,46,-0.0126
ENSG00000142634,EFHD2,130,0.02191,46,-1.6239,140,0.13439,136,0.10249,147,0.47872
ENSG00000132906,CASP9,68,2.57038,19,0.30796,0,-4.5127,9,-0.8329,11,-0.8742
ENSG00000116138,DNAJC16,2,-3.8184,29,0.04650,93,2.00182,13,-1.2424,27,-0.1390
ENSG00000197312,DDI2,2,-3.4524,13,-0.8230,21,-0.0634,11,-1.0193,30,1.30978
ENSG00000116786,PLEKHM2,124,0.90486,32,-1.2808,32,-1.1740,79,0.18543,77,0.29351
ENSG00000065526,SPEN,2,-3.6595,49,1.22793,0,-5.1123,26,0.03567,25,-0.0184
ENSG00000116809,ZBTB17,2,-2.5344,15,0.45420,0,-4.0172,21,1.05631,11,-0.1825
ENSG00000185519,FAM131C,35,0.86826,34,0.92743,20,-0.0323,17,-0.2504,15,-0.7887
ENSG00000037637,FBXO42,2,-3.2457,16,-0.2966,34,0.93722,12,-0.7512,22,0.52846
ENSG00000055070,SZRD1,33,0.30650,62,1.55746,33,0.32810,27,-0.0119,15,-1.3733
ENSG00000157191,NECAP2,2,-2.9563,45,2.11922,0,-4.2384,16,0.01565,11,-0.8774
ENSG00000219481,NBPF1,2,-2.8993,22,0.67970,1,-3.8084,12,-0.3965,18,0.58351
ENSG00000058453,CROCC,2,-2.6750,10,-0.3096,18,0.52038,7,-0.9656,16,0.78139
ENSG00000159363,ATP13A2,111,-0.5521,55,-1.6809,255,0.75702,133,-0.2914,188,0.60624
ENSG00000117118,SDHB,42,-1.4275,119,0.16199,178,0.79617,95,-0.2143,108,0.00322
ENSG00000117115,PADI2,2,-4.4154,204,3.87535,0,-5.9270,42,-0.0145,9,-3.1691
ENSG00000179051,RCC2,2,-2.7292,11,-0.3284,5,-1.4482,18,0.54058,15,0.49808
ENSG00000074964,ARHGEF10L,80,2.54151,9,-1.0462,16,-0.1887,13,-0.6084,14,-0.7015
ENSG00000117154,IGSF21,2,-4.9387,50,-0.4396,77,0.24756,69,0.10298,76,0.51876
ENSG00000159423,ALDH4A1,2,-3.5280,54,1.60831,24,0.08615,36,0.79371,13,-1.3414
ENSG00000127463,EMC1,2,-3.6538,24,-0.0602,31,0.33690,21,-0.2751,29,0.47824
ENSG00000053372,MRTO4,2,-3.7781,14,-1.0661,0,-5.3255,29,0.11563,38,1.34276
ENSG00000053371,AKR7A2,157,1.76400,103,1.17107,6,-3.1097,51,-0.1067,34,-1.2122
ENSG00000040487,SLC66A1,64,2.46258,13,-0.2117,8,-0.9267,5,-1.5828,13,-0.5099
ENSG00000077549,CAPZB,28,-2.6309,190,0.23595,135,-0.3220,167,0.01036,183,0.32112
ENSG00000173436,MICOS10,282,-0.1200,280,-0.1417,225,-0.4663,327,0.12097,320,0.15675
ENSG00000158747,NBL1,173,-0.2282,108,-1.0039,467,1.38749,184,-0.1424,197,-0.0488
ENSG00000169914,OTUD3,2,-2.5341,9,-0.4038,0,-4.0536,8,-0.4768,16,1.32020
ENSG00000162545,CAMK2N1,766,0.05683,356,-1.1810,426,-0.8432,710,-0.0678,897,0.69474
ENSG00000090432,MUL1,2,-3.5882,19,-0.3615,7,-1.8396,19,-0.3941,32,1.17512
ENSG00000183114,FAM43B,2,-3.9099,13,-1.3765,162,3.05974,26,-0.2329,21,-0.8975
ENSG00000158828,PINK1,114,-1.9049,205,-1.1008,543,0.46688,376,-0.1221,491,0.69392
ENSG00000244038,DDOST,2,-3.7035,23,-0.1998,13,-1.0515,26,0.00140,32,0.76261
ENSG00000117245,KIF17,166,3.19116,0,-6.0402,27,-0.1043,16,-0.9602,22,-0.7614
ENSG00000189410,SH2D5,2,-3.4204,3,-2.8171,6,-1.9356,21,-0.0276,32,1.72802
ENSG00000127483,HP1BP3,151,0.19263,165,0.36408,81,-0.7633,117,-0.2330,135,0.02425
ENSG00000075151,EIF4G3,205,0.75388,69,-0.9991,29,-2.1912,97,-0.4648,157,0.72866
ENSG00000117298,ECE1,3,-2.2729,47,2.48866,0,-4.3819,15,0.10915,8,-1.3763
ENSG00000076864,RAP1GAP,240,0.57170,59,-1.6485,163,-0.0372,125,-0.4782,200,0.63545
ENSG00000090686,USP48,2,-4.3627,72,0.99566,69,0.82651,28,-0.6207,38,-0.2490
ENSG00000070831,CDC42,113,-1.0837,222,-0.0635,236,0.03696,149,-0.7222,272,0.58229
ENSG00000173372,C1QA,111,1.32311,85,0.98426,7,-2.8058,96,1.23847,23,-1.8000
ENSG00000159189,C1QC,2,-3.8119,92,1.69683,2,-4.2396,88,1.59006,18,-1.6932
ENSG00000173369,C1QB,117,0.81430,168,1.66268,7,-3.2667,123,1.00624,30,-1.9594
ENSG00000004487,KDM1A,9,-2.3811,27,-0.8407,45,0.00906,38,-0.2843,58,0.89716
ENSG00000169641,LUZP1,124,1.69540,12,-2.0752,16,-1.5582,43,-0.0763,47,0.19308
ENSG00000125944,HNRNPR,16,-2.4980,110,0.38557,64,-0.4908,64,-0.5256,103,0.51710
ENSG00000125945,ZNF436,39,1.43621,12,-0.5118,0,-4.5422,9,-0.8456,18,0.40751
ENSG00000117318,ID3,100,1.27132,198,3.44231,8,-2.4743,36,-0.3900,2,-5.1462
ENSG00000142676,RPL11,754,0.81435,671,0.69617,372,-0.3066,569,0.39519,327,-0.8765
ENSG00000011007,ELOA,3,-2.4108,22,0.61589,0,-4.4494,17,0.13914,17,0.33873
ENSG00000057757,PITHD1,14,-3.9436,112,-0.9622,427,1.20923,139,-0.6291,242,0.62347
ENSG00000011009,LYPLA2,59,0.64835,27,-0.6151,17,-1.2327,33,-0.2810,45,0.44702
ENSG00000117308,GALE,2,-2.7683,3,-2.2577,16,0.30073,11,-0.3935,19,1.26136
ENSG00000117305,HMGCL,2,-3.3342,30,0.70708,12,-0.7907,18,-0.1660,22,0.22855
ENSG00000179163,FUCA1,95,2.73398,13,-0.6516,14,-0.5077,9,-1.2594,15,-0.7257
ENSG00000189266,PNRC2,40,-0.0997,50,0.28414,32,-0.4234,56,0.48957,38,-0.3106
ENSG00000188529,SRSF10,51,-0.1367,77,0.56563,35,-0.7006,29,-1.0545,61,0.29222
ENSG00000001460,STPG1,2,-2.2211,12,0.46689,0,-3.4724,9,-0.0617,11,0.51952
ENSG00000001461,NIPAL3,2,-5.0119,104,0.84631,129,1.10919,53,-0.3230,57,-0.3853
ENSG00000133226,SRRM1,2,-4.6571,67,0.48173,87,0.86581,51,0.01881,48,-0.1829
ENSG00000169504,CLIC4,156,1.60338,216,2.79962,2,-4.5179,42,-0.5669,14,-3.0122
ENSG00000117614,SYF2,42,-0.4098,90,0.90947,17,-1.6926,57,0.08967,50,-0.2272
ENSG00000117616,RSRP1,75,0.46724,68,0.33786,71,0.38811,43,-0.4458,51,-0.2585
ENSG00000183726,TMEM50A,2,-5.4303,163,1.13017,65,-0.4553,53,-0.8251,92,0.14327
ENSG00000204178,MACO1,73,1.47003,23,-0.4411,34,0.20913,18,-0.7660,28,-0.1653
ENSG00000157978,LDLRAP1,2,-1.9625,41,4.46460,0,-3.5246,4,-1.0529,1,-3.5474
ENSG00000117643,MAN1C1,2,-3.8153,22,-0.3983,0,-5.1820,13,-1.2669,42,1.78080
ENSG00000162430,SELENON,2,-3.8486,54,1.14626,2,-3.6241,34,0.26109,28,-0.0972
ENSG00000117640,MTFR1L,2,-4.8293,36,-0.7668,108,1.00549,57,-0.0093,65,0.38789
ENSG00000117632,STMN1,473,-1.6240,1378,-0.0058,1430,0.05228,755,-0.9873,1687,0.71414
ENSG00000158008,EXTL1,36,-0.0514,9,-2.1205,44,0.24393,36,-0.0525,45,0.64822
ENSG00000175087,PDIK1L,2,-3.0866,11,-0.6700,94,3.10452,5,-1.9301,13,-0.6603
ENSG00000142684,ZNF593,2,-4.5402,50,0.10016,55,0.25086,47,0.01012,51,0.29287
ENSG00000142669,SH3BGRL3,83,-1.6799,267,0.09001,283,0.17650,290,0.23900,258,0.06574
ENSG00000158062,UBXN11,2,-3.0284,9,-0.8598,2,-2.7632,17,0.12057,22,1.15207
ENSG00000117682,DHDDS,66,1.88752,4,-2.3271,23,0.13402,16,-0.4808,21,-0.0472
ENSG00000198830,HMGN2,108,-0.3841,263,1.17148,203,0.59918,125,-0.1792,103,-0.8134
ENSG00000117713,ARID1A,2,-4.4552,58,0.47557,44,-0.0054,47,0.12646,45,0.07969
ENSG00000060642,PIGV,2,-2.1880,14,0.75308,0,-3.6043,11,0.40562,9,0.04718
ENSG00000204160,ZDHHC18,2,-3.6710,10,-1.4850,77,1.84550,17,-0.6858,28,0.36559
ENSG00000142751,GPN2,2,-2.9856,14,-0.1522,17,0.13788,8,-1.0368,20,0.88896
ENSG00000090273,NUDC,141,-0.1620,148,-0.0925,128,-0.3104,145,-0.1284,169,0.23987
ENSG00000253368,TRNP1,2,-4.8068,9,-2.8281,92,0.77484,50,-0.1946,74,1.07070
ENSG00000090020,SLC9A1,4,-2.1878,2,-3.0168,15,-0.4345,16,-0.3302,29,1.56720
ENSG00000142784,WDTC1,2,-3.3644,22,0.09331,32,0.71890,25,0.35410,20,-0.1050
ENSG00000186501,TMEM222,2,-4.9034,67,0.18224,26,-1.2898,58,-0.0744,72,0.64535
ENSG00000158195,WASF2,20,-0.7403,113,2.60078,0,-5.5817,34,0.06071,16,-1.6803
ENSG00000126705,AHDC1,2,-4.1290,20,-0.8793,41,0.25510,32,-0.1405,44,0.82069
ENSG00000126709,IFI6,10,-3.5162,148,0.51082,162,0.60815,106,-0.0646,108,-0.0710
ENSG00000009780,FAM76A,51,1.75679,21,0.32408,30,0.83088,9,-0.9638,12,-0.9256
ENSG00000117758,STX12,114,0.23195,97,-0.0160,26,-1.9584,94,-0.0792,108,0.30642
ENSG00000117751,PPP1R8,95,1.98761,58,1.24590,0,-5.4050,21,-0.5725,18,-1.1831
ENSG00000117748,RPA2,2,-4.6414,39,-0.4132,17,-1.5898,39,-0.4054,68,1.20451
ENSG00000126698,DNAJC8,77,-0.6719,146,0.36050,82,-0.5699,104,-0.2272,126,0.20453
ENSG00000130770,ATP5IF1,578,0.04202,257,-1.2618,682,0.30376,455,-0.3538,661,0.56209
ENSG00000204138,PHACTR4,33,1.97385,18,1.00156,0,-3.8349,11,0.14577,6,-1.3549
ENSG00000180098,TRNAU1AP,2,-3.0399,16,-0.0560,46,1.68624,19,0.28319,13,-0.5208
ENSG00000197989,SNHG12,2,-2.2050,8,-0.1019,1,-3.2980,15,0.84171,10,0.26227
ENSG00000120656,TAF12,2,-3.0409,30,1.06718,13,-0.2995,16,-0.0163,15,-0.2321
ENSG00000198492,YTHDF2,2,-5.0475,49,-0.5006,72,0.12563,51,-0.4481,85,0.88284
ENSG00000116350,SRSF4,2,-4.4957,56,0.35482,55,0.30440,38,-0.2900,49,0.27240
ENSG00000116353,MECR,2,-4.1314,12,-1.6188,40,0.18278,36,0.06393,45,0.95396
ENSG00000060656,PTPRU,2,-3.1217,7,-1.4042,12,-0.5095,20,0.26475,22,0.94313
ENSG00000162511,LAPTM5,2,-3.6163,83,1.91279,2,-3.6724,74,1.63797,12,-2.0568
ENSG00000162512,SDC3,112,-0.5513,211,0.48333,147,-0.1276,162,0.02396,154,-0.1263
ENSG00000134644,PUM1,3,-5.1185,82,-0.3193,88,-0.1855,74,-0.4961,127,0.91826
ENSG00000060688,SNRNP40,2,-3.3575,46,1.53542,0,-4.6489,17,-0.2529,19,-0.1582
ENSG00000121766,ZCCHC17,36,-1.5320,74,-0.5196,166,0.79603,82,-0.3433,114,0.40897
ENSG00000121769,FABP3,2,-6.2950,29,-2.7694,313,0.95214,107,-0.7840,238,1.27630
ENSG00000162517,PEF1,53,-0.5258,62,-0.3298,70,-0.1150,68,-0.1740,85,0.41492
ENSG00000084636,COL16A1,2,-3.8720,38,0.45838,8,-1.8380,44,0.71358,29,0.02055
ENSG00000121753,ADGRB2,117,-0.9017,46,-2.3649,180,-0.2415,173,-0.3277,286,1.21861
ENSG00000184007,PTP4A2,105,-0.8696,449,1.70721,100,-0.9464,177,-0.0796,136,-0.8337
ENSG00000121774,KHDRBS1,112,0.17959,139,0.57004,45,-1.2098,84,-0.2970,100,-0.0054
ENSG00000121775,TMEM39B,2,-2.5376,12,0.09981,28,1.41409,7,-0.7940,12,0.04471
ENSG00000025800,KPNA6,2,-4.2301,30,-0.3604,77,1.14192,30,-0.3965,42,0.33156
ENSG00000084652,TXLNA,3,-2.6612,28,0.64912,5,-1.9614,17,-0.2760,22,0.44499
ENSG00000160050,CCDC28B,2,-2.8507,15,0.05151,0,-4.3754,20,0.60713,16,0.41775
ENSG00000084623,EIF3I,2,-5.7608,124,0.15452,118,0.06525,92,-0.3458,131,0.51335
ENSG00000116478,HDAC1,2,-1.9656,29,2.78919,0,-3.5277,10,0.52061,3,-2.1498
ENSG00000175130,MARCKSL1,160,-1.1359,1336,3.08489,132,-1.4244,247,-0.5219,134,-2.0972
ENSG00000160058,BSDC1,2,-4.8722,56,-0.0742,79,0.46863,52,-0.2154,67,0.42964
ENSG00000176261,ZBTB8OS,30,-0.4358,38,-0.0658,38,-0.0570,44,0.19024,40,0.05546
ENSG00000162521,RBBP4,99,0.23982,102,0.32366,48,-0.8779,66,-0.4167,89,0.13605
ENSG00000162520,SYNC,2,-2.5012,18,0.80585,7,-0.7421,11,-0.0544,11,0.05457
ENSG00000162522,KIAA1522,2,-2.5065,1,-2.9452,26,1.31807,13,0.26628,13,0.42910
ENSG00000134684,YARS,23,-2.3106,68,-0.7523,170,0.73608,64,-0.8336,134,0.80978
ENSG00000116497,S100PBP,42,1.72838,15,-0.0135,13,-0.1950,12,-0.3856,12,-0.5646
ENSG00000160097,FNDC5,2,-3.2772,15,-0.3909,25,0.38594,19,-0.0367,22,0.48966
ENSG00000121905,HPCA,167,-0.3767,46,-2.3845,51,-2.1455,169,-0.3872,303,1.48445
ENSG00000121900,TMEM54,72,0.90550,36,-0.2092,43,0.07711,32,-0.4010,40,-0.0649
ENSG00000116514,RNF19B,2,-3.8923,23,-0.4294,38,0.37451,13,-1.2575,39,1.05049
ENSG00000004455,AK2,2,-3.9489,90,2.12460,3,-3.1519,29,-0.1089,23,-0.8143
ENSG00000142920,AZIN2,128,2.47733,27,-0.1930,0,-5.2612,22,-0.5194,24,-0.6226
ENSG00000160094,ZNF362,2,-2.7775,15,0.17271,4,-1.5697,15,0.18076,16,0.48222
ENSG00000134686,PHC2,2,-4.7997,104,1.12688,8,-2.8727,51,-0.1703,59,0.13993
ENSG00000121904,CSMD2,34,1.36643,4,-1.9726,36,1.47777,16,0.11647,11,-0.6535
ENSG00000163866,SMIM12,2,-4.6624,23,-1.2537,126,1.49235,55,0.13789,54,0.17978
ENSG00000116544,DLGAP3,103,1.36926,14,-1.8081,22,-1.0434,49,0.14722,47,0.16676
ENSG00000163867,ZMYM6,96,2.61988,17,-0.4210,18,-0.2988,11,-1.0522,16,-0.8214
ENSG00000116560,SFPQ,103,-0.3835,159,0.33125,33,-2.0633,133,0.01823,142,0.23584
ENSG00000146463,ZMYM4,65,1.16093,30,-0.1126,4,-2.9061,34,0.13773,31,-0.0994
ENSG00000142687,KIAA0319L,2,-4.5977,46,-0.1039,98,1.12891,34,-0.6070,53,0.30916
ENSG00000020129,NCDN,345,-0.3785,82,-2.6115,413,-0.1000,299,-0.6422,601,1.24484
ENSG00000126067,PSMB2,47,-1.2580,104,-0.0600,85,-0.3660,82,-0.4603,128,0.61003
ENSG00000142686,C1orf216,2,-5.0485,22,-1.7438,33,-1.0732,66,-0.0136,94,1.40350
ENSG00000092847,AGO1,2,-3.0418,21,0.43188,0,-4.5933,24,0.66228,17,0.16149
ENSG00000126070,AGO3,43,1.77365,24,0.84454,4,-1.8608,12,-0.3705,10,-0.8896
ENSG00000116863,ADPRHL2,2,-3.4122,31,0.63958,28,0.41629,16,-0.4733,22,0.09995
ENSG00000054116,TRAPPC3,2,-4.6480,44,-0.2152,32,-0.6673,39,-0.4385,65,0.95315
ENSG00000116871,MAP7D1,170,-0.0835,199,0.17650,242,0.47223,158,-0.2131,172,-0.1218
ENSG00000054118,THRAP3,32,-0.4786,44,0.03092,58,0.44751,48,0.17206,42,-0.1366
ENSG00000196182,STK40,35,0.98907,14,-0.5031,0,-4.7745,21,0.23679,20,0.15417
ENSG00000181817,LSM10,2,-4.5458,34,-0.5304,87,0.98239,53,0.19386,50,0.19074
ENSG00000116885,OSCP1,2,-3.1025,4,-1.9920,33,1.05656,15,-0.1733,21,0.73526
ENSG00000116898,MRPS15,2,-4.6813,41,-0.3925,52,0.01067,51,-0.0172,62,0.64138
ENSG00000163873,GRIK3,2,-4.5511,8,-2.6649,367,4.13215,16,-1.6589,28,-1.3068
ENSG00000163875,MEAF6,216,1.15944,47,-1.2850,72,-0.5794,65,-0.7944,123,0.52028
ENSG00000134697,GNL2,2,-2.8791,18,0.36319,5,-1.6298,11,-0.5135,18,0.73492
