Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12
ENSG00000041988,THAP3,12,-0.8173,13,-0.7850,18,-0.3228,44,1.33539,16,-0.4892,27,0.34443,6,-1.7562,24,0.20201,20,-0.0939
ENSG00000007923,DNAJC11,25,-0.3811,35,0.10191,48,0.69438,19,-0.8560,44,0.53090,6,-2.4598,41,0.35384,23,-0.5539,39,0.27367
ENSG00000171735,CAMTA1,92,-0.7887,141,-0.1330,144,-0.1065,116,-0.4707,135,-0.2221,209,0.49446,150,-0.0302,192,0.36078,266,0.89376
ENSG00000049245,VAMP3,151,2.11421,5,-3.1174,13,-1.8965,23,-1.0600,18,-1.3871,109,1.50869,65,0.62592,62,0.53886,28,-0.7157
ENSG00000049246,PER3,46,0.48892,33,-0.0482,31,-0.1410,20,-0.8478,30,-0.2293,42,0.32375,29,-0.2489,42,0.34960,53,0.71353
ENSG00000116288,PARK7,370,0.00144,463,0.35925,339,-0.1466,302,-0.3413,440,0.30701,437,0.26693,354,-0.0649,379,0.03980,268,-0.4995
ENSG00000116285,ERRFI1,35,1.00576,5,-1.7459,13,-0.5652,18,-0.0862,35,1.16704,6,-1.7285,13,-0.5793,13,-0.5763,20,0.12515
ENSG00000162426,SLC45A1,10,-1.7861,20,-0.7086,44,0.53476,40,0.35006,55,0.96396,36,0.16689,14,-1.3016,10,-1.7277,22,-0.5542
ENSG00000142599,RERE,87,-0.4534,116,-0.0029,102,-0.2282,141,0.33302,88,-0.4671,130,0.17663,160,0.50054,97,-0.2932,147,0.36649
ENSG00000074800,ENO1,437,-0.8294,587,-0.3785,673,-0.1820,852,0.22743,1093,0.68586,1049,0.54010,382,-1.0312,607,-0.3270,683,-0.1434
ENSG00000171612,SLC25A33,42,0.18520,24,-0.6380,31,-0.3063,31,-0.2916,44,0.30219,58,0.72013,16,-1.2705,44,0.25585,49,0.43065
ENSG00000188807,TMEM201,18,-0.1429,22,0.18597,20,0.05818,18,-0.1592,24,0.36065,27,0.47228,16,-0.3158,14,-0.5650,15,-0.4183
ENSG00000171608,PIK3CD,3,-2.2689,28,0.82759,29,1.03915,11,-0.5898,25,0.74297,9,-0.9169,5,-1.6041,10,-0.6729,10,-0.6634
ENSG00000171603,CLSTN1,234,-1.3067,385,-0.5560,717,0.47088,708,0.44679,852,0.79632,506,-0.1306,228,-1.3415,310,-0.8854,390,-0.5338
ENSG00000178585,CTNNBIP1,52,0.33671,22,-0.9968,55,0.48741,15,-1.5791,40,-0.0590,71,0.84836,52,0.33447,46,0.14876,38,-0.1522
ENSG00000162441,LZIC,101,1.47325,44,0.09675,19,-1.2922,40,-0.0557,20,-1.1785,69,0.82281,44,0.07606,48,0.24401,34,-0.3029
ENSG00000130939,UBE4B,43,0.13888,27,-0.5683,70,1.05265,38,-0.0978,43,0.12618,15,-1.4799,21,-0.9875,31,-0.3701,38,-0.0586
ENSG00000054523,KIF1B,369,0.14573,359,0.10467,415,0.37246,323,-0.0672,292,-0.2433,194,-0.8435,361,0.11054,279,-0.2899,413,0.32565
ENSG00000142657,PGD,75,0.07765,53,-0.4573,95,0.49865,98,0.55441,60,-0.2914,80,0.17270,52,-0.5032,42,-0.8355,52,-0.4886
ENSG00000241563,CORT,5,-3.9128,18,-2.0304,24,-1.7121,33,-1.2248,286,3.39142,27,-1.4171,52,-0.4449,29,-1.3234,23,-1.6568
ENSG00000160049,DFFA,58,0.88521,21,-0.6847,27,-0.3770,31,-0.1447,31,-0.1193,51,0.68106,22,-0.6066,36,0.13947,34,0.04958
ENSG00000142655,PEX14,15,-0.8815,22,-0.2646,29,0.19404,46,1.03007,25,-0.0637,31,0.23352,10,-1.4407,19,-0.4975,18,-0.6059
ENSG00000120948,TARDBP,105,0.55552,72,-0.0517,58,-0.4100,63,-0.2867,84,0.21626,70,-0.0809,104,0.53212,58,-0.3934,72,-0.0403
ENSG00000271895,AL109811.2,15,0.34231,4,-1.4524,17,0.57699,18,0.71138,9,-0.4733,15,0.33466,2,-2.6159,7,-0.8696,14,0.24482
ENSG00000116649,SRM,55,-1.1771,146,0.32438,154,0.46312,153,0.44732,114,-0.0621,127,0.10953,81,-0.5798,79,-0.6242,93,-0.3717
ENSG00000171824,EXOSC10,37,0.01459,23,-0.7273,37,0.04050,40,0.15569,47,0.44247,69,1.03909,21,-0.8195,26,-0.5319,14,-1.4696
ENSG00000198793,MTOR,37,-0.3614,44,-0.0885,51,0.13836,55,0.28765,49,0.08636,68,0.59380,56,0.28925,21,-1.1978,25,-0.9612
ENSG00000116661,FBXO2,551,0.63504,270,-0.4941,207,-0.9590,289,-0.4213,313,-0.2885,879,1.43466,251,-0.6030,547,0.62302,335,-0.1613
ENSG00000132879,FBXO44,49,-1.9854,145,-0.3552,265,0.66825,235,0.44834,239,0.47974,146,-0.3508,129,-0.5443,109,-0.7993,137,-0.4425
ENSG00000116670,MAD2L2,58,0.90215,19,-0.8577,21,-0.7326,39,0.27075,39,0.26952,17,-0.9938,39,0.26161,37,0.14667,31,-0.1123
ENSG00000177674,AGTRAP,45,1.38897,13,-0.6184,7,-1.6503,9,-1.1535,5,-2.1738,73,2.29497,10,-0.9569,34,0.90655,16,-0.3143
ENSG00000177000,MTHFR,9,-1.3292,27,0.31417,26,0.22587,22,-0.0279,23,0.07347,24,0.09099,15,-0.6171,17,-0.4242,35,0.69685
ENSG00000011021,CLCN6,51,-0.8118,87,0.01340,130,0.72850,93,0.13144,79,-0.1457,70,-0.3211,88,0.02014,46,-0.9631,92,0.08974
ENSG00000116685,KIAA2013,55,0.57149,49,0.40168,41,0.13184,24,-0.7577,57,0.70923,38,1.71697,28,-0.4718,15,-1.4325,30,-0.4013
ENSG00000083444,PLOD1,36,0.44150,16,-0.7511,24,-0.1670,27,-0.0262,18,-0.6672,81,1.85505,20,-0.4843,12,-1.2209,21,-0.3724
ENSG00000116688,MFN2,88,-0.3159,74,-0.5686,135,0.40018,163,0.74659,127,0.29333,75,-0.5516,66,-0.7595,56,-0.9885,83,-0.4086
ENSG00000116691,MIIP,11,-0.7715,19,0.02467,19,0.04753,27,0.65077,9,-1.0575,48,1.56548,10,-0.8606,6,-1.6619,17,-0.0790
ENSG00000048707,VPS13D,25,-1.1628,36,-0.6243,75,0.57855,55,0.03779,74,0.57305,65,0.30282,24,-1.1996,44,-0.3202,45,-0.2972
ENSG00000162496,DHRS3,61,1.09307,13,-1.2910,13,-1.3407,8,-2.0896,26,-0.3069,86,1.70358,29,-0.1047,46,0.63530,43,0.50649
ENSG00000116731,PRDM2,32,-0.8589,35,-0.7105,98,1.05321,71,0.44089,46,-0.3030,20,-1.5150,81,0.61023,38,-0.5653,28,-1.0255
ENSG00000189337,KAZN,77,0.67805,68,0.48325,47,-0.1182,67,0.50973,36,-0.5538,77,0.67444,21,-1.3164,24,-1.1225,37,-0.4816
ENSG00000142634,EFHD2,31,-2.0176,222,1.00059,314,1.94292,23,-2.5875,56,-1.2352,51,-1.2894,281,1.41326,49,-1.3538,19,-2.6987
ENSG00000116138,DNAJC16,26,0.08249,23,-0.1288,37,0.73208,38,0.76112,26,0.10265,6,-2.1087,5,-2.4306,8,-1.6448,27,0.13302
ENSG00000197312,DDI2,10,-0.9975,19,0.00234,30,0.82154,9,-1.0907,30,0.86388,17,-0.1336,22,0.25825,3,-2.7378,16,-0.2479
ENSG00000116786,PLEKHM2,41,-0.7009,86,0.44563,68,0.07479,56,-0.2451,78,0.32545,59,-0.1447,60,-0.1329,60,-0.1245,69,0.09667
ENSG00000065526,SPEN,51,0.84649,27,-0.1605,31,0.05708,27,-0.1775,12,-1.3868,45,0.64081,24,-0.3272,31,0.07370,40,0.46799
ENSG00000116809,ZBTB17,13,-0.5710,28,0.58478,16,-0.3099,16,-0.2735,10,-1.0510,24,0.33659,46,1.41850,15,-0.3769,21,0.11327
ENSG00000185519,FAM131C,26,0.49749,32,0.82389,9,-1.1464,24,0.41583,26,0.56426,16,-0.2765,0,-4.8638,16,-0.3233,20,0.03616
ENSG00000288398,AL109627.1,5,-1.2928,19,0.65590,14,0.16862,2,-2.5149,2,-2.3599,22,0.89150,43,2.08497,12,-0.0624,12,-0.0377
ENSG00000037637,FBXO42,17,-0.5332,16,-0.6239,27,0.21863,40,0.90984,29,0.33386,20,-0.3277,5,-2.2694,11,-1.1800,28,0.24597
ENSG00000055070,SZRD1,48,0.82212,13,-1.1837,17,-0.8004,11,-1.4732,33,0.22646,54,1.03631,18,-0.6786,40,0.54199,47,0.78511
ENSG00000157191,NECAP2,56,1.51119,11,-1.0176,11,-1.1499,24,0.14081,14,-0.8063,45,1.10444,4,-2.3424,38,0.81743,18,-0.3622
ENSG00000219481,NBPF1,17,0.51083,6,-1.1071,10,-0.3641,12,-0.0157,19,0.79674,10,-0.2559,5,-1.2884,19,0.68431,8,-0.6927
ENSG00000058453,CROCC,14,-0.4206,14,-0.4011,29,0.82298,20,0.09269,12,-0.6828,34,0.96860,0,-5.0617,19,-0.0054,20,0.07305
ENSG00000238142,BX284668.5,11,-0.2457,20,0.69044,8,-0.8556,15,0.22269,14,0.19216,0,-5.9832,7,-0.9985,33,1.52315,11,-0.1860
ENSG00000159363,ATP13A2,40,-2.0056,124,-0.3027,207,0.56361,202,0.51853,229,0.75430,109,-0.5008,103,-0.5861,79,-0.9930,81,-0.9492
ENSG00000117118,SDHB,80,-0.1152,110,0.39570,76,-0.2082,111,0.45840,115,0.51637,76,-0.1828,28,-1.6730,64,-0.4552,68,-0.3606
ENSG00000117115,PADI2,465,3.87560,9,-2.9016,13,-2.5532,11,-2.7787,21,-1.8767,54,-0.3462,76,0.18979,80,0.27458,35,-0.9930
ENSG00000179051,RCC2,28,0.42494,4,-2.4000,8,-1.5337,44,1.36667,23,0.12771,28,0.45103,15,-0.5592,9,-1.2290,22,0.01467
ENSG00000074964,ARHGEF10L,25,0.47918,16,-0.1902,13,-0.5569,11,-0.7749,26,0.63234,33,0.94243,2,-2.9840,15,-0.3252,28,0.65229
ENSG00000117154,IGSF21,30,-1.5711,71,-0.2966,164,1.21548,94,0.15128,71,-0.3203,38,-1.2544,78,-0.1617,54,-0.7159,104,0.29186
ENSG00000159423,ALDH4A1,40,0.44820,19,-0.6681,15,-1.0583,20,-0.6447,29,-0.0407,52,0.88955,21,-0.5377,50,0.83905,46,0.70112
ENSG00000169991,IFFO2,15,-0.0667,19,0.33012,23,0.68366,18,0.21154,16,0.03628,20,0.34299,2,-2.5696,4,-1.8529,14,-0.2030
ENSG00000127463,EMC1,26,-0.3533,20,-0.7890,52,0.79515,35,0.07584,28,-0.2694,33,-0.0200,28,-0.2474,27,-0.3219,35,0.09196
ENSG00000053372,MRTO4,13,-1.3649,33,0.02219,52,0.84738,34,0.09324,30,-0.1579,10,-1.8100,29,-0.1650,31,-0.0772,43,0.43297
ENSG00000053371,AKR7A2,50,-0.0397,56,0.13058,36,-0.5758,44,-0.2789,37,-0.5545,110,1.24340,60,0.22439,59,0.20572,50,-0.0534
ENSG00000040487,SLC66A1,24,1.20157,12,0.05025,11,-0.0235,13,0.21554,8,-0.5569,4,-1.5202,0,-5.4103,11,-0.0673,22,1.02153
ENSG00000077549,CAPZB,127,-0.7721,244,0.23683,259,0.37509,255,0.34558,187,-0.1980,239,0.20331,154,-0.4761,139,-0.6370,212,0.01828
ENSG00000173436,MICOS10,266,-0.0866,459,0.78743,203,-0.5494,197,-0.6008,285,0.01928,298,0.08996,478,0.85538,339,0.29653,170,-0.7782
ENSG00000158747,NBL1,68,-1.5058,163,-0.1862,265,0.65886,159,-0.2397,175,-0.0839,217,0.26289,195,0.09873,149,-0.3204,213,0.23244
ENSG00000169914,OTUD3,4,-1.8651,13,-0.1875,24,0.95512,22,0.73561,13,-0.2085,7,-1.1106,8,-0.8308,11,-0.3949,12,-0.2447
ENSG00000162545,CAMK2N1,590,0.23168,389,-0.4225,337,-0.6916,312,-0.8139,1071,1.42702,174,-1.6316,496,-0.0441,642,0.36706,389,-0.4225
ENSG00000090432,MUL1,21,-0.1414,16,-0.5993,29,0.36388,20,-0.3095,32,0.51712,35,0.63415,12,-1.0296,13,-0.8876,25,0.08531
ENSG00000183114,FAM43B,6,-1.8442,13,-0.6869,50,1.80828,15,-0.4624,9,-1.1820,3,-2.4654,27,0.46542,18,-0.1228,23,0.24753
ENSG00000158828,PINK1,264,-0.5766,548,0.57400,408,0.10963,332,-0.2451,525,0.56518,284,-0.4650,322,-0.2697,344,-0.1682,305,-0.3547
ENSG00000244038,DDOST,28,-0.3757,15,-1.3132,27,-0.4169,48,0.54945,53,0.74450,60,0.85726,18,-1.0381,31,-0.1763,14,-1.4008
ENSG00000117245,KIF17,5,-2.1888,44,0.96297,40,0.91031,22,-0.1193,22,-0.1193,13,-0.9315,39,0.77748,8,-1.5428,10,-1.3186
ENSG00000189410,SH2D5,1,-4.7900,65,0.59978,53,0.30559,56,0.38695,68,0.73675,29,-0.6708,36,-0.3304,22,-1.1002,31,-0.5611
ENSG00000127483,HP1BP3,185,0.26813,154,-0.0254,177,0.22214,156,0.00037,128,-0.3421,117,-0.4508,179,0.21704,181,0.23062,136,-0.2098
ENSG00000075151,EIF4G3,76,-0.6149,121,0.09993,162,0.63099,123,0.12936,154,0.53433,42,-1.4925,96,-0.2673,64,-0.8906,91,-0.3553
ENSG00000117298,ECE1,45,0.92538,2,-3.7614,6,-2.2757,12,-1.2375,3,-3.2416,172,3.79091,12,-1.1628,12,-1.1203,22,-0.2458
ENSG00000162551,ALPL,5,-2.1520,13,-0.7718,2,-3.3448,9,-1.4661,7,-1.6746,124,3.24932,61,1.71915,18,-0.2948,5,-2.1095
ENSG00000076864,RAP1GAP,53,-2.0034,185,-0.1370,389,1.23764,285,0.61976,191,-0.1021,108,-0.9628,128,-0.7017,78,-1.4411,143,-0.5371
ENSG00000090686,USP48,59,0.54870,21,-0.9981,55,0.51144,57,0.55654,45,0.11838,9,-2.2966,34,-0.3288,32,-0.4089,31,-0.4638
ENSG00000070831,CDC42,294,0.23535,193,-0.4199,318,0.39904,281,0.17929,307,0.33640,267,0.08394,149,-0.8161,164,-0.6689,163,-0.6803
ENSG00000070886,EPHA8,1,-3.4821,13,0.04889,37,2.28777,20,0.91672,2,-2.6833,0,-5.9786,14,0.20665,0,-4.4841,1,-3.6523
ENSG00000173372,C1QA,19,-0.6367,2,-3.5705,11,-1.4777,3,-3.4172,8,-1.9887,149,2.98751,77,1.62037,40,0.48433,19,-0.6827
ENSG00000159189,C1QC,21,-0.0805,1,-3.8964,2,-3.1850,1,-4.6042,3,-2.9262,108,2.86871,61,1.67998,38,0.86459,25,0.17033
ENSG00000173369,C1QB,67,0.61622,5,-3.1144,22,-1.1668,10,-2.2767,6,-3.1218,186,2.49824,69,0.66570,98,1.26720,43,-0.0935
ENSG00000004487,KDM1A,21,-1.3861,44,-0.2387,57,0.16301,54,0.07059,87,0.95424,55,0.10739,43,-0.2808,25,-1.1259,37,-0.5041
ENSG00000169641,LUZP1,6,-2.3258,27,-0.1781,46,0.73836,24,-0.4048,35,0.23565,12,-1.3460,57,1.00468,11,-1.4758,42,0.52028
ENSG00000125944,HNRNPR,112,-0.1093,83,-0.5753,131,0.14832,155,0.44426,104,-0.2413,156,0.40808,98,-0.3136,120,-0.0021,95,-0.3708
ENSG00000125945,ZNF436,13,-0.4118,12,-0.5968,26,0.66906,22,0.36467,22,0.41184,0,-7.0460,14,-0.3501,13,-0.4655,20,0.19216
ENSG00000088280,ASAP3,42,2.29334,1,-3.4921,8,-0.4565,10,-0.1627,0,-3.8157,5,-1.1796,14,0.36098,16,0.57321,17,0.69975
ENSG00000117318,ID3,212,1.52303,12,-2.8607,7,-3.8013,11,-3.1142,3,-4.8418,687,4.48125,18,-2.3246,43,-1.0269,6,-3.8429
ENSG00000142676,RPL11,1090,1.13559,552,0.01900,250,-1.2732,375,-0.6260,385,-0.5836,881,0.77481,819,0.65214,798,0.61097,384,-0.5422
ENSG00000011007,ELOA,20,-0.0183,15,-0.4268,31,0.74226,18,-0.1492,24,0.27314,9,-1.1637,10,-0.9736,14,-0.5385,28,0.50151
ENSG00000057757,PITHD1,117,-0.7513,237,0.34262,237,0.38424,244,0.43667,265,0.58929,105,-0.9146,139,-0.4887,96,-1.0521,103,-0.9408
ENSG00000011009,LYPLA2,11,-2.2723,56,0.06299,83,0.80500,69,0.45569,54,0.00886,33,-0.7270,32,-0.7823,30,-0.8550,66,0.33644
ENSG00000117308,GALE,5,-1.7108,3,-2.5139,13,-0.2404,28,1.05125,22,0.63446,16,0.03666,11,-0.4759,14,-0.2024,12,-0.4419
ENSG00000117305,HMGCL,25,0.34609,13,-0.6575,22,0.14329,10,-1.1348,17,-0.2841,40,1.13779,25,0.36850,19,-0.0756,20,0.03687
ENSG00000179163,FUCA1,9,-0.7069,3,-2.4774,16,0.04760,15,-0.0407,18,0.27106,37,1.44452,5,-1.6311,16,0.04467,16,0.12317
