Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to8,Feature log2 fold change topic 4to8
ENSG00000157870,PRXL2B,51,-0.3148,37,-0.7717,69,0.56496
ENSG00000177133,PRDM16-DT,66,1.45040,33,-0.0722,22,-1.2998
ENSG00000158109,TPRG1L,129,-0.4621,164,-0.0141,180,0.35870
ENSG00000116213,WRAP73,13,-0.4289,22,0.47231,17,0.06891
ENSG00000130764,LRRC47,48,-0.5713,66,0.02317,72,0.41741
ENSG00000116198,CEP104,17,0.41136,8,-0.8128,14,-0.0451
ENSG00000198912,C1orf174,8,-0.6187,13,0.17519,13,0.36870
ENSG00000196581,AJAP1,22,-1.0398,30,-0.4087,48,0.95251
ENSG00000131697,NPHP4,11,-0.1114,5,-1.3211,14,0.55563
ENSG00000069424,KCNAB2,206,-0.2849,282,0.26594,245,0.08431
ENSG00000116254,CHD5,130,-0.5708,173,-0.0446,197,0.45173
ENSG00000116251,RPL22,1072,0.77599,777,0.08679,596,-0.7087
ENSG00000158286,RNF207,5,-1.3568,13,0.36671,13,0.69278
ENSG00000116237,ICMT,29,-0.6390,36,-0.2374,47,0.59433
ENSG00000158292,GPR153,18,-0.1736,19,-0.0466,20,0.15851
ENSG00000097021,ACOT7,146,-0.8848,239,-0.0061,277,0.64391
ENSG00000215788,TNFRSF25,19,-0.8352,24,-0.3744,35,0.79707
ENSG00000171680,PLEKHG5,18,-0.8814,20,-0.5782,36,0.92169
ENSG00000162408,NOL9,32,0.05137,20,-0.7090,33,0.23864
ENSG00000204859,ZBTB48,12,-0.1892,11,-0.2298,14,0.25348
ENSG00000162413,KLHL21,28,-0.2547,38,0.26938,33,0.06023
ENSG00000116273,PHF13,13,-0.2487,14,-0.1707,16,0.27363
ENSG00000041988,THAP3,26,0.29240,20,-0.2365,22,-0.1401
ENSG00000007923,DNAJC11,26,-0.4096,22,-0.5886,37,0.57344
ENSG00000171735,CAMTA1,214,0.33761,154,-0.2578,172,-0.1706
ENSG00000049245,VAMP3,57,1.73314,24,-0.2247,16,-1.5332
ENSG00000049246,PER3,25,-0.2047,24,-0.2136,30,0.25856
ENSG00000116288,PARK7,482,0.12361,591,0.45039,413,-0.3287
ENSG00000116285,ERRFI1,18,-0.0707,7,-1.5243,21,0.56724
ENSG00000162426,SLC45A1,14,-1.5452,24,-0.5497,44,1.34170
ENSG00000142599,RERE,102,-0.2065,88,-0.4213,124,0.34703
ENSG00000074800,ENO1,740,-0.0509,631,-0.3026,794,0.17364
ENSG00000142583,SLC2A5,19,1.19740,7,-0.5565,8,-0.8627
ENSG00000171612,SLC25A33,78,0.72814,52,-0.0875,46,-0.5882
ENSG00000188807,TMEM201,14,-0.3959,14,-0.3222,19,0.45349
ENSG00000171608,PIK3CD,6,-0.8997,6,-0.7569,13,1.01013
ENSG00000171603,CLSTN1,400,-1.0385,523,-0.5102,882,0.99995
ENSG00000178585,CTNNBIP1,38,-0.1036,53,0.47020,38,-0.1639
ENSG00000162441,LZIC,40,0.49119,33,0.12058,27,-0.4677
ENSG00000173614,NMNAT1,10,0.02642,4,-1.2508,10,0.41681
ENSG00000130939,UBE4B,27,-0.4353,29,-0.2796,39,0.46453
ENSG00000054523,KIF1B,263,-0.0091,285,0.12633,260,-0.0533
ENSG00000142657,PGD,39,-0.1950,55,0.38585,43,-0.0479
ENSG00000241563,CORT,47,-1.7827,783,4.27113,37,-2.9466
ENSG00000160049,DFFA,31,0.35947,31,0.30337,22,-0.4440
ENSG00000142655,PEX14,18,-0.6255,16,-0.7352,30,0.79685
ENSG00000120948,TARDBP,51,-0.3853,50,-0.3569,70,0.46034
ENSG00000271895,AL109811.2,6,-1.0806,10,-0.2626,14,0.90582
ENSG00000116649,SRM,97,-0.5171,134,0.06959,140,0.35523
ENSG00000171824,EXOSC10,24,-0.1538,18,-0.6022,28,0.37339
ENSG00000198793,MTOR,31,-0.3955,25,-0.6365,43,0.58064
ENSG00000204624,DISP3,13,0.06901,6,-1.2220,14,0.37187
ENSG00000116661,FBXO2,453,0.79803,313,0.02580,250,-0.7016
ENSG00000132879,FBXO44,136,-0.4441,168,-0.0550,189,0.36593
ENSG00000116663,FBXO6,15,0.31332,23,1.00197,10,-0.8255
ENSG00000116670,MAD2L2,37,0.14004,32,-0.0901,34,-0.0732
ENSG00000177674,AGTRAP,32,2.18316,7,-1.0246,7,-1.7444
ENSG00000177000,MTHFR,19,0.06909,14,-0.3789,19,0.10522
ENSG00000011021,CLCN6,42,-0.6882,67,0.14177,68,0.43388
ENSG00000116685,KIAA2013,36,0.12068,22,-0.6485,35,0.15908
ENSG00000083444,PLOD1,27,0.49028,7,-1.6139,22,0.07122
ENSG00000116688,MFN2,67,-0.3421,83,0.04453,85,0.24172
ENSG00000116691,MIIP,14,-0.0002,11,-0.4778,15,0.20070
ENSG00000048707,VPS13D,38,-0.2356,33,-0.4014,47,0.36217
ENSG00000162496,DHRS3,62,1.84435,23,-0.3594,16,-1.5985
ENSG00000116731,PRDM2,45,-0.5634,71,0.24210,66,0.29397
ENSG00000189337,KAZN,32,-0.1775,37,0.08046,36,0.10021
ENSG00000142634,EFHD2,128,-0.0411,91,-0.5892,140,0.27548
ENSG00000132906,CASP9,16,1.03838,6,-0.7653,8,-0.6441
ENSG00000116138,DNAJC16,20,-0.2106,26,0.18904,23,0.07008
ENSG00000197312,DDI2,14,-0.6477,21,0.07231,22,0.44428
ENSG00000116786,PLEKHM2,79,-0.2285,96,0.11445,93,0.12185
ENSG00000065526,SPEN,39,0.36310,27,-0.2700,31,-0.1879
ENSG00000116809,ZBTB17,18,0.02171,12,-0.6692,19,0.25052
ENSG00000185519,FAM131C,21,0.00442,39,1.02759,18,-0.5990
ENSG00000037637,FBXO42,16,0.05576,11,-0.5425,17,0.17748
ENSG00000055070,SZRD1,43,0.88969,32,0.20204,21,-0.8694
ENSG00000157191,NECAP2,27,1.50077,12,-0.2640,9,-1.2723
ENSG00000219481,NBPF1,14,0.23741,9,-0.5230,13,0.01524
ENSG00000058453,CROCC,15,-0.3520,19,0.06605,20,0.23817
ENSG00000238142,BX284668.5,22,0.26610,31,0.79766,16,-0.6508
ENSG00000159363,ATP13A2,98,-0.7035,196,0.51515,153,0.22346
ENSG00000117118,SDHB,114,-0.2797,170,0.41502,132,-0.0026
ENSG00000117115,PADI2,74,1.90915,33,0.00707,16,-1.8342
ENSG00000179051,RCC2,15,-0.2388,10,-0.8543,19,0.53044
ENSG00000074964,ARHGEF10L,16,0.00248,20,0.42938,15,-0.2217
ENSG00000117154,IGSF21,73,0.02853,53,-0.4941,76,0.18274
ENSG00000159423,ALDH4A1,62,1.22006,29,-0.2923,26,-0.9774
ENSG00000169991,IFFO2,10,-0.1328,6,-0.9279,12,0.46507
ENSG00000127481,UBR4,7,-0.5436,8,-0.2295,11,0.52186
ENSG00000127463,EMC1,26,-0.2658,37,0.37432,30,0.01046
ENSG00000053372,MRTO4,28,-0.6389,45,0.23212,43,0.35049
ENSG00000053371,AKR7A2,64,0.65153,35,-0.4747,42,-0.3707
ENSG00000040487,SLC66A1,11,0.19246,6,-0.7563,11,0.13200
ENSG00000077549,CAPZB,154,-0.2909,163,-0.1632,194,0.30265
ENSG00000173436,MICOS10,534,0.15008,744,0.69793,428,-0.4948
ENSG00000158747,NBL1,204,-0.1254,253,0.24980,216,-0.0260
ENSG00000169914,OTUD3,16,-0.3091,18,-0.0496,20,0.26336
ENSG00000162545,CAMK2N1,1137,-0.6485,1677,0.05621,1804,0.45346
ENSG00000090432,MUL1,27,0.03585,16,-0.8241,29,0.28894
ENSG00000183114,FAM43B,15,0.14376,28,1.21132,11,-0.8392
ENSG00000158828,PINK1,352,-0.0408,357,-0.0125,363,0.03843
ENSG00000244038,DDOST,28,-0.2938,34,0.04599,35,0.20513
ENSG00000117245,KIF17,13,-0.7274,8,-1.4189,25,1.10334
ENSG00000189410,SH2D5,21,-0.8845,22,-0.6720,42,0.96402
ENSG00000127483,HP1BP3,165,0.20434,162,0.13795,140,-0.2316
ENSG00000075151,EIF4G3,56,-0.9949,108,0.15540,113,0.62168
ENSG00000117298,ECE1,33,0.89872,16,-0.4506,18,-0.6094
ENSG00000162551,ALPL,13,0.05057,5,-1.5070,14,0.45473
ENSG00000076864,RAP1GAP,92,-1.0533,129,-0.4079,203,0.96105
ENSG00000090686,USP48,30,-0.2227,31,-0.1041,35,0.22324
ENSG00000218510,LINC00339,10,-0.4451,10,-0.3436,14,0.50013
ENSG00000070831,CDC42,151,-0.7062,186,-0.2906,258,0.66718
ENSG00000173372,C1QA,69,1.32553,30,-0.3858,27,-1.0481
ENSG00000159189,C1QC,53,1.27065,37,0.39433,19,-1.3449
ENSG00000173369,C1QB,97,1.12970,65,0.20127,40,-1.1014
ENSG00000004487,KDM1A,33,-0.6287,34,-0.5048,55,0.70663
ENSG00000169641,LUZP1,27,-0.2861,30,-0.0579,33,0.24996
ENSG00000125944,HNRNPR,106,-0.0858,93,-0.2976,117,0.19981
ENSG00000125945,ZNF436,11,-1.0790,13,-0.6769,25,1.10329
ENSG00000249087,ZNF436-AS1,18,0.28692,14,-0.2368,15,-0.1352
ENSG00000117318,ID3,82,4.43500,1,-4.2421,4,-3.6908
ENSG00000142676,RPL11,1108,1.13061,564,-0.2481,494,-0.9061
ENSG00000011007,ELOA,15,0.05199,8,-0.9589,15,0.31564
ENSG00000057757,PITHD1,150,-0.6700,192,-0.1902,248,0.59363
ENSG00000011009,LYPLA2,32,-0.6822,45,-0.0523,52,0.53322
ENSG00000117308,GALE,16,-0.2444,16,-0.1860,19,0.27717
ENSG00000117305,HMGCL,23,0.06427,13,-0.8545,23,0.27385
ENSG00000179163,FUCA1,8,-0.8154,11,-0.3054,15,0.75060
ENSG00000189266,PNRC2,58,0.21865,47,-0.1783,51,-0.1011
ENSG00000188529,SRSF10,41,-0.1886,25,-0.9624,51,0.52271
ENSG00000001461,NIPAL3,57,0.34738,50,0.08452,44,-0.3264
ENSG00000133226,SRRM1,47,0.29230,41,0.02513,38,-0.2522
ENSG00000169504,CLIC4,46,3.01369,4,-2.0553,6,-2.4188
ENSG00000117614,SYF2,62,0.24874,69,0.40545,48,-0.4054
ENSG00000117616,RSRP1,56,-0.2268,36,-0.8883,72,0.53150
ENSG00000183726,TMEM50A,81,-0.2435,70,-0.4397,101,0.38388
ENSG00000204178,MACO1,14,-0.7629,13,-0.7975,27,0.92499
ENSG00000117643,MAN1C1,23,-1.2803,24,-1.0859,64,1.41456
ENSG00000162430,SELENON,51,0.08536,56,0.22921,46,-0.1801
ENSG00000117640,MTFR1L,55,-0.4082,97,0.58516,69,-0.0137
ENSG00000117632,STMN1,1019,-0.9232,1551,-0.1550,2010,0.74810
ENSG00000158008,EXTL1,47,-0.0972,49,-0.0446,51,0.09792
ENSG00000175087,PDIK1L,6,-1.3769,9,-0.6154,17,1.27172
ENSG00000142684,ZNF593,46,0.08417,80,1.01053,36,-0.6479
ENSG00000142669,SH3BGRL3,376,0.20065,414,0.33412,309,-0.3278
ENSG00000158062,UBXN11,25,-0.3172,36,0.34743,30,0.06272
ENSG00000117682,DHDDS,14,-0.3692,15,-0.2848,20,0.41684
ENSG00000198830,HMGN2,204,0.78467,127,-0.1557,116,-0.6124
ENSG00000117713,ARID1A,52,0.01667,39,-0.4245,54,0.16645
ENSG00000060642,PIGV,13,0.36796,11,0.10831,10,-0.3552
ENSG00000204160,ZDHHC18,20,-0.5028,21,-0.3631,30,0.55198
ENSG00000142751,GPN2,11,-0.8402,13,-0.4318,21,0.82714
ENSG00000198746,GPATCH3,9,-0.2245,11,0.09749,10,0.12734
ENSG00000090273,NUDC,162,-0.2890,222,0.26962,193,0.08523
ENSG00000253368,TRNP1,60,-0.1646,85,0.44592,64,-0.1044
ENSG00000090020,SLC9A1,12,-1.1655,13,-0.9204,30,1.26705
ENSG00000142784,WDTC1,37,0.36336,26,-0.2881,29,-0.1811
ENSG00000186501,TMEM222,80,-0.2477,98,0.12471,94,0.13100
ENSG00000158195,WASF2,61,1.92807,25,-0.1310,14,-1.7886
ENSG00000126705,AHDC1,38,-0.4960,36,-0.5317,58,0.61777
ENSG00000126709,IFI6,116,0.08457,112,0.00460,109,-0.0703
ENSG00000009780,FAM76A,13,-0.2876,9,-0.7963,17,0.55126
ENSG00000117758,STX12,83,-0.1800,102,0.17362,93,0.05499
ENSG00000117751,PPP1R8,31,-0.0182,26,-0.3122,33,0.15091
ENSG00000117748,RPA2,48,-0.3485,60,0.06811,61,0.23455
ENSG00000126698,DNAJC8,127,-0.1338,109,-0.3587,145,0.26360
ENSG00000130770,ATP5IF1,536,-0.5545,967,0.48802,751,0.14415
ENSG00000242125,SNHG3,19,0.02470,12,-0.6906,20,0.25523
ENSG00000180098,TRNAU1AP,29,0.55615,9,-1.3586,22,-0.0409
ENSG00000197989,SNHG12,17,0.25019,16,0.09261,14,-0.2481
ENSG00000120656,TAF12,20,0.44997,13,-0.3661,15,-0.2276
ENSG00000198492,YTHDF2,56,-0.3564,60,-0.1963,74,0.36757
ENSG00000116329,OPRD1,9,-0.5423,15,0.36896,12,0.20706
ENSG00000116350,SRSF4,47,0.12879,34,-0.3971,45,0.06206
ENSG00000116353,MECR,31,-0.3265,52,0.60624,36,-0.0832
ENSG00000060656,PTPRU,18,-0.1435,14,-0.5206,21,0.33484
ENSG00000162511,LAPTM5,65,1.60174,30,-0.1054,19,-1.4440
ENSG00000162512,SDC3,144,0.10458,116,-0.2661,137,0.03076
ENSG00000134644,PUM1,97,-0.5958,91,-0.6222,158,0.73015
ENSG00000060688,SNRNP40,23,-0.1114,21,-0.2110,25,0.18373
ENSG00000121766,ZCCHC17,117,-0.3792,125,-0.2327,158,0.40129
ENSG00000121769,FABP3,144,-0.5780,258,0.44920,207,0.18321
ENSG00000162517,PEF1,90,-0.4172,97,-0.2576,126,0.44107
ENSG00000084636,COL16A1,41,0.25171,16,-1.2525,38,0.21559
ENSG00000121753,ADGRB2,172,-0.7979,235,-0.2089,312,0.69155
ENSG00000184007,PTP4A2,185,0.73369,157,0.31419,102,-0.7799
ENSG00000121774,KHDRBS1,107,-0.0319,125,0.22404,106,-0.0848
ENSG00000121775,TMEM39B,13,-0.7824,31,0.74181,20,0.12345
ENSG00000025800,KPNA6,23,-0.7225,37,0.12295,38,0.46703
ENSG00000084652,TXLNA,25,0.31916,9,-1.2334,22,0.14980
ENSG00000160050,CCDC28B,30,0.42649,30,0.35847,20,-0.5299
ENSG00000084623,EIF3I,91,-0.2492,94,-0.1715,111,0.27442
ENSG00000116478,HDAC1,20,1.38878,8,-0.3457,7,-1.1266
ENSG00000175130,MARCKSL1,506,1.30652,300,0.11246,185,-1.2363
ENSG00000225828,FAM229A,18,0.97035,11,-0.0680,9,-0.8236
ENSG00000160058,BSDC1,62,-0.4092,58,-0.4510,87,0.51813
ENSG00000176261,ZBTB8OS,55,-0.2708,72,0.20430,65,0.10690
ENSG00000162521,RBBP4,94,-0.0697,58,-0.8159,107,0.37642
ENSG00000162520,SYNC,12,-0.2716,18,0.49768,13,-0.0565
ENSG00000162522,KIAA1522,23,-0.2751,41,0.73820,25,-0.2023
ENSG00000134684,YARS,59,-0.8199,83,-0.1749,108,0.68950
ENSG00000116497,S100PBP,21,1.13178,6,-1.1187,10,-0.6436
ENSG00000160097,FNDC5,10,-1.0694,16,-0.2835,23,0.90946
ENSG00000121905,HPCA,182,-1.0107,224,-0.5780,395,1.01209
ENSG00000121900,TMEM54,69,0.34862,46,-0.3869,56,-0.1307
ENSG00000116514,RNF19B,14,-0.9150,25,0.09412,28,0.60752
ENSG00000004455,AK2,35,0.82648,21,-0.1688,19,-0.6461
ENSG00000142920,AZIN2,16,-0.8084,24,-0.1577,30,0.67301
ENSG00000160094,ZNF362,18,-0.0201,8,-1.3019,21,0.47065
ENSG00000134686,PHC2,59,-0.2570,51,-0.4680,75,0.40581
ENSG00000121904,CSMD2,10,0.13212,6,-0.7059,10,0.16828
ENSG00000163866,SMIM12,50,-0.3546,70,0.22739,63,0.15572
ENSG00000116544,DLGAP3,67,-0.3115,98,0.37131,80,0.04516
ENSG00000163867,ZMYM6,13,-0.2097,8,-1.0241,17,0.55921
ENSG00000116560,SFPQ,173,-0.0108,176,0.01319,174,0.00252
ENSG00000146463,ZMYM4,30,-0.2864,40,0.25864,35,0.08935
ENSG00000142687,KIAA0319L,44,-0.3404,28,-0.9816,61,0.65531
ENSG00000020129,NCDN,467,-0.8815,659,-0.2382,901,0.76282
ENSG00000126067,PSMB2,94,-0.5896,150,0.24209,140,0.31176
ENSG00000142686,C1orf216,68,-0.8995,129,0.23358,127,0.51709
ENSG00000134698,AGO4,11,-0.5170,16,0.05601,17,0.36225
ENSG00000092847,AGO1,31,0.22274,28,0.02085,26,-0.1918
ENSG00000126070,AGO3,18,0.36760,15,0.08856,13,-0.3456
ENSG00000116863,ADPRHL2,19,0.04945,12,-0.6357,19,0.21557
ENSG00000054116,TRAPPC3,59,-0.3362,66,-0.1111,76,0.31288
ENSG00000116871,MAP7D1,156,-0.3474,192,0.04043,200,0.24773
ENSG00000054118,THRAP3,48,-0.2963,50,-0.2020,61,0.32435
ENSG00000196182,STK40,18,-0.2052,13,-0.6174,22,0.42091
ENSG00000181817,LSM10,66,0.11366,79,0.40285,57,-0.2945
ENSG00000116885,OSCP1,13,-0.7736,19,-0.0741,23,0.60670
ENSG00000116898,MRPS15,66,-0.0157,60,-0.1620,68,0.08570
ENSG00000163873,GRIK3,23,-0.5477,52,0.89100,30,-0.1226
ENSG00000163875,MEAF6,85,-0.6050,102,-0.2414,135,0.57184
ENSG00000163877,SNIP1,12,-0.1410,12,-0.1761,14,0.19198
ENSG00000163879,DNALI1,10,0.18703,4,-1.2029,10,0.26185
ENSG00000134697,GNL2,13,0.19224,9,-0.4479,12,0.02712
ENSG00000116922,C1orf109,11,-0.4637,9,-0.6877,16,0.65356
ENSG00000183317,EPHA10,10,-0.8285,23,0.63789,17,0.22059
ENSG00000185090,MANEAL,21,-0.9571,40,0.17009,42,0.58994
ENSG00000196449,YRDC,14,-0.4706,18,0.01454,20,0.35042
ENSG00000197982,C1orf122,384,0.57312,334,0.24129,242,-0.5982
ENSG00000183431,SF3A3,26,-0.2450,18,-0.7954,34,0.51595
ENSG00000183520,UTP11,38,-0.1725,19,-1.2646,48,0.59442
ENSG00000116954,RRAGC,30,-0.2131,32,-0.0961,36,0.21214
ENSG00000174574,AKIRIN1,61,-0.6384,61,-0.5578,102,0.73609
ENSG00000168653,NDUFS5,853,-0.1321,972,0.10049,928,0.05538
ENSG00000127603,MACF1,131,0.44275,94,-0.1709,96,-0.2973
ENSG00000090621,PABPC4,56,0.06196,57,0.10186,53,-0.0981
ENSG00000116983,HPCAL4,260,-0.2948,319,0.07547,320,0.19113
ENSG00000084072,PPIE,33,-0.1610,38,0.09581,37,0.07995
ENSG00000168389,MFSD2A,28,0.34841,21,-0.1301,22,-0.2321
ENSG00000131236,CAP1,113,-0.2243,93,-0.5048,139,0.39409
ENSG00000131238,PPT1,115,-0.1102,123,0.01856,125,0.07835
ENSG00000117000,RLF,7,-0.3975,3,-1.4099,11,0.82529
ENSG00000259943,AL050341.2,17,-0.0989,17,-0.0722,18,0.11204
ENSG00000084073,ZMPSTE24,33,-0.2360,37,-0.0103,39,0.18912
ENSG00000049089,COL9A2,28,1.65832,10,-0.4085,8,-1.3815
ENSG00000084070,SMAP2,93,-0.7880,146,0.01578,164,0.56880
ENSG00000117016,RIMS3,56,-0.8937,93,0.01588,107,0.63759
ENSG00000066136,NFYC,33,-0.4476,27,-0.7271,49,0.65542
ENSG00000179862,CITED4,19,-0.5619,34,0.45173,27,0.17106
ENSG00000171793,CTPS1,7,-1.2594,12,-0.3612,19,1.06971
ENSG00000010803,SCMH1,11,-0.4658,9,-0.6020,16,0.62242
ENSG00000127124,HIVEP3,17,-0.3592,22,0.11238,21,0.21977
ENSG00000198815,FOXJ3,38,-0.5788,44,-0.2767,60,0.56934
ENSG00000177181,RIMKLA,13,-0.8773,22,0.08319,24,0.58976
ENSG00000127125,PPCS,55,-0.1207,72,0.35317,57,-0.0852
ENSG00000171960,PPIH,16,-0.3984,22,0.14222,22,0.23261
ENSG00000065978,YBX1,140,0.97561,74,-0.2765,70,-0.7453
ENSG00000164008,C1orf50,29,0.12516,41,0.70320,23,-0.4784
ENSG00000177868,SVBP,40,-0.4521,71,0.56552,51,0.02816
ENSG00000117394,SLC2A1,126,1.29683,31,-1.2900,55,-0.7683
ENSG00000117395,EBNA1BP2,66,-0.5675,102,0.19298,98,0.32403
ENSG00000066322,ELOVL1,59,2.34757,13,-0.9395,11,-1.9489
ENSG00000159479,MED8,15,-0.7523,17,-0.4779,28,0.78543
ENSG00000198198,SZT2,9,-0.3543,9,-0.1721,11,0.35492
ENSG00000178922,HYI,42,0.67467,24,-0.3519,27,-0.4355
ENSG00000142949,PTPRF,104,-0.4875,129,-0.0753,149,0.40740
ENSG00000066135,KDM4A,14,-0.4471,12,-0.6858,21,0.63973
ENSG00000126091,ST3GAL3,27,-0.8149,60,0.58231,45,0.24899
ENSG00000117408,IPO13,70,0.09359,57,-0.2546,67,0.03519
ENSG00000132768,DPH2,12,-0.2857,14,-0.0341,15,0.23830
ENSG00000117410,ATP6V0B,259,-0.9157,379,-0.2101,511,0.77148
ENSG00000117411,B4GALT2,73,-0.0998,80,0.06766,78,0.04651
ENSG00000159214,CCDC24,23,-0.2245,26,0.00435,27,0.17331
ENSG00000178028,DMAP1,49,-0.3359,62,0.08510,62,0.21670
ENSG00000117419,ERI3,179,-0.1745,199,0.02796,202,0.12360
ENSG00000187147,RNF220,99,-0.2136,121,0.13890,114,0.09816
ENSG00000126106,TMEM53,13,-0.2171,9,-0.6909,16,0.45703
ENSG00000142937,RPS8,2017,0.83320,1288,-0.0804,1100,-0.6886
ENSG00000117425,PTCH2,6,-0.9204,7,-0.4665,12,0.89894
ENSG00000070785,EIF2B3,19,-0.5538,24,-0.0708,28,0.45273
ENSG00000126107,HECTD3,8,-1.0767,17,0.29258,17,0.58727
ENSG00000126088,UROD,61,-0.5452,90,0.16065,89,0.32641
ENSG00000132763,MMACHC,7,-0.5613,15,0.70216,10,0.01320
ENSG00000117450,PRDX1,576,0.50125,462,0.04944,395,-0.4437
ENSG00000117448,AKR1A1,49,0.23011,24,-0.9315,45,0.15131
ENSG00000132780,NASP,32,0.29671,21,-0.4143,27,-0.0753
ENSG00000159592,GPBP1L1,43,0.41958,31,-0.1874,32,-0.2702
ENSG00000159596,TMEM69,21,0.18473,13,-0.5524,20,0.07105
ENSG00000086015,MAST2,29,0.24150,19,-0.4559,26,-0.0123
ENSG00000117461,PIK3R3,18,-0.3567,13,-0.8096,25,0.61205
ENSG00000085998,POMGNT1,53,-0.3726,68,0.09037,69,0.24087
ENSG00000132128,LRRC41,46,-0.2207,55,0.08164,54,0.13248
ENSG00000173660,UQCRH,689,-0.3282,1173,0.60596,803,-0.0818
ENSG00000117481,NSUN4,10,-0.1426,5,-1.1181,12,0.52916
ENSG00000117480,FAAH,42,0.26209,33,-0.1711,36,-0.1409
ENSG00000079277,MKNK1,20,-0.7438,53,0.94684,30,-0.0424
ENSG00000123472,ATPAF1,158,0.30252,177,0.45529,118,-0.4772
ENSG00000159658,EFCAB14,83,1.02063,42,-0.3270,41,-0.7697
ENSG00000186377,CYP4X1,10,-1.5262,31,0.31430,31,0.81314
ENSG00000162368,CMPK1,104,0.17410,100,0.08348,90,-0.1806
ENSG00000162373,BEND5,17,-0.7384,14,-0.9535,31,0.96407
ENSG00000162374,ELAVL4,69,-1.0101,54,-1.2819,156,1.28582
ENSG00000185104,FAF1,23,-0.4352,33,0.16291,32,0.24800
ENSG00000123091,RNF11,299,-0.7914,562,0.32217,510,0.39701
ENSG00000085832,EPS15,135,-0.2629,138,-0.1885,167,0.29260
ENSG00000117859,OSBPL9,19,0.24056,18,0.18174,15,-0.2830
ENSG00000078618,NRDC,56,-0.4806,62,-0.2407,81,0.48073
ENSG00000169213,RAB3B,88,0.39019,112,0.74985,58,-0.7238
ENSG00000117862,TXNDC12,40,0.05156,29,-0.4677,40,0.15364
ENSG00000134717,BTF3L4,87,0.05506,65,-0.4082,87,0.12824
ENSG00000157077,ZFYVE9,16,-0.6992,23,-0.0552,27,0.54641
