Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to9,Feature log2 fold change topic 7to9
ENSG00000037637,FBXO42,4,-2.0210,8,-1.0890,30,0.86193,18,0.06356,22,0.38690,16,-0.1125,19,0.23117
ENSG00000055070,SZRD1,56,1.44857,26,0.12236,22,-0.1418,19,-0.4087,26,0.08920,11,-1.1799,20,-0.4468
ENSG00000157191,NECAP2,36,1.96218,12,0.02953,12,-0.0568,11,-0.1121,3,-2.0888,7,-0.7375,9,-0.5842
ENSG00000219481,NBPF1,16,0.00624,10,-0.6682,15,-0.1078,11,-0.6263,32,1.16840,12,-0.4485,16,0.00073
ENSG00000058453,CROCC,7,-1.0233,10,-0.6196,17,0.17578,11,-0.4754,14,-0.1124,20,0.44694,18,0.48318
ENSG00000159363,ATP13A2,50,-2.2605,141,-0.7052,149,-0.6270,275,0.35977,270,0.32945,256,0.24364,282,0.56745
ENSG00000117118,SDHB,82,-0.3977,64,-0.7933,87,-0.3073,128,0.30712,145,0.52465,104,-0.0326,114,0.16409
ENSG00000117115,PADI2,279,4.02381,57,0.36810,11,-2.1648,6,-2.9563,12,-2.0071,5,-3.1934,14,-2.1045
ENSG00000179051,RCC2,14,-0.9316,15,-0.7651,13,-1.0305,13,-0.9785,12,-1.0579,46,1.02584,37,0.96050
ENSG00000074964,ARHGEF10L,14,-0.3259,20,0.23714,11,-0.6860,5,-1.6978,8,-1.1744,22,0.36080,25,0.88987
ENSG00000117154,IGSF21,6,-4.1262,58,-0.9184,292,1.82601,78,-0.4725,83,-0.3759,83,-0.3826,115,0.20593
ENSG00000159423,ALDH4A1,19,0.27143,31,1.08425,16,-0.0500,4,-2.1158,17,0.13173,6,-1.3875,17,0.15477
ENSG00000127481,UBR4,11,-0.4503,7,-1.1758,18,0.27516,31,1.21739,8,-0.9958,12,-0.2924,16,0.14212
ENSG00000127463,EMC1,23,-0.4911,13,-1.3553,29,-0.1637,22,-0.5471,50,0.75265,34,0.10804,38,0.41420
ENSG00000053372,MRTO4,24,-0.6773,25,-0.6050,22,-0.7774,66,0.98995,34,-0.1035,41,0.18924,39,0.14320
ENSG00000053371,AKR7A2,64,1.05229,38,0.14950,37,0.10016,43,0.34227,20,-0.8174,40,0.24075,23,-0.8050
ENSG00000077549,CAPZB,142,-0.3869,137,-0.4490,195,0.12141,222,0.33513,152,-0.2778,227,0.36833,185,0.04658
ENSG00000173436,MICOS10,333,0.02325,373,0.20625,351,0.10561,320,-0.0423,359,0.14258,235,-0.5358,329,0.00323
ENSG00000158747,NBL1,136,-0.8469,175,-0.4548,210,-0.1654,322,0.54196,250,0.11882,240,0.05270,253,0.18816
ENSG00000169914,OTUD3,2,-2.8545,12,-0.2900,11,-0.4024,10,-0.5391,12,-0.3082,20,0.45473,22,0.92322
ENSG00000162545,CAMK2N1,574,-1.0218,1085,-0.0233,209,-2.5322,702,-0.7135,1027,-0.1119,1609,0.63296,1568,0.85248
ENSG00000090432,MUL1,17,-0.4866,12,-0.9631,30,0.41624,28,0.25830,39,0.86062,34,0.58831,17,-0.6501
ENSG00000183114,FAM43B,18,-0.1482,9,-1.1426,75,2.56951,11,-0.8938,28,0.63958,1,-3.6694,10,-1.1551
ENSG00000158828,PINK1,250,-0.9708,397,-0.2517,479,0.05012,500,0.12019,447,-0.0630,529,0.21468,526,0.27714
ENSG00000244038,DDOST,20,-0.9119,19,-1.0107,37,0.01729,43,0.26627,61,0.86095,44,0.29114,35,-0.0966
ENSG00000117245,KIF17,8,-1.3377,11,-0.8301,48,1.61395,22,0.21502,28,0.63174,13,-0.5196,14,-0.6527
ENSG00000189410,SH2D5,0,-6.2298,25,-0.5362,32,-0.1628,59,0.87514,31,-0.2122,50,0.59082,40,0.27041
ENSG00000127483,HP1BP3,145,0.11622,97,-0.5279,178,0.45466,123,-0.1576,137,0.01849,141,0.07025,132,-0.0512
ENSG00000075151,EIF4G3,87,-0.7685,74,-1.0203,116,-0.3159,178,0.37807,141,-0.0138,190,0.48310,163,0.31633
ENSG00000117298,ECE1,41,1.67266,12,-0.4237,13,-0.3047,9,-0.8467,4,-1.8534,16,0.05205,15,-0.0560
ENSG00000076864,RAP1GAP,51,-2.0274,105,-0.9426,345,0.99190,335,0.93677,208,0.12657,177,-0.1361,170,-0.2582
ENSG00000090686,USP48,53,0.56855,33,-0.1814,39,0.08152,61,0.80844,45,0.29843,30,-0.3731,25,-0.7706
ENSG00000070831,CDC42,145,-0.9233,152,-0.8592,210,-0.3512,379,0.61925,234,-0.1770,374,0.59253,287,0.20256
ENSG00000173372,C1QA,74,2.40383,36,0.95684,7,-1.5105,5,-2.0959,9,-1.2311,14,-0.5830,12,-0.9237
ENSG00000159189,C1QC,62,2.72108,21,0.59479,13,-0.1721,5,-1.6523,7,-1.1610,6,-1.4517,7,-1.4507
ENSG00000173369,C1QB,113,2.39438,73,1.45485,17,-0.9206,9,-1.7917,15,-1.1550,12,-1.4849,14,-1.4408
ENSG00000004487,KDM1A,26,-0.9773,26,-0.9729,57,0.24246,98,1.17951,30,-0.7454,40,-0.3292,55,0.23883
ENSG00000169641,LUZP1,10,-2.5547,31,-0.8748,44,-0.3498,35,-0.7147,106,1.13837,65,0.27605,67,0.46302
ENSG00000125944,HNRNPR,86,-0.1399,60,-0.6991,121,0.40756,108,0.21961,72,-0.4309,69,-0.4914,111,0.35972
ENSG00000125945,ZNF436,9,-0.7898,5,-1.4526,14,-0.0734,9,-0.7400,13,-0.1775,17,0.27385,21,0.89767
ENSG00000117318,ID3,165,4.28669,22,-0.2254,7,-1.8729,5,-2.3950,19,-0.4645,1,-4.5975,3,-3.2565
ENSG00000142676,RPL11,1336,1.94779,547,0.29995,415,-0.1502,234,-1.0425,415,-0.1515,199,-1.2930,319,-0.7175
ENSG00000011007,ELOA,12,-0.3027,9,-0.6745,17,0.30047,25,0.89389,33,1.38083,12,-0.3374,7,-1.2086
ENSG00000057757,PITHD1,103,-1.0025,120,-0.7695,171,-0.2159,253,0.42945,264,0.49540,228,0.25204,206,0.12160
ENSG00000011009,LYPLA2,17,-1.3799,31,-0.4786,57,0.53358,52,0.36565,59,0.57426,32,-0.3932,42,0.01794
ENSG00000117308,GALE,4,-2.1549,12,-0.5590,19,0.07317,20,0.19887,23,0.41241,15,-0.2757,22,0.51402
ENSG00000117305,HMGCL,21,0.27259,21,0.26552,15,-0.2204,22,0.41401,14,-0.3570,13,-0.4365,17,-0.0541
ENSG00000179163,FUCA1,14,-0.3413,4,-2.0341,29,0.91553,29,0.92496,32,1.06110,20,0.25459,8,-1.3779
ENSG00000189266,PNRC2,58,0.91425,33,-0.0354,35,0.04354,51,0.69016,29,-0.2407,24,-0.5515,25,-0.6282
ENSG00000188529,SRSF10,40,0.02618,27,-0.6036,44,0.18116,55,0.54390,37,-0.0925,54,0.53036,32,-0.3990
ENSG00000001461,NIPAL3,117,1.05064,43,-0.5910,75,0.29558,62,-0.0212,45,-0.5314,58,-0.1373,55,-0.2682
ENSG00000133226,SRRM1,95,1.30781,32,-0.5085,51,0.23176,45,0.00075,56,0.37319,31,-0.5889,30,-0.7622
ENSG00000169504,CLIC4,173,3.81305,27,-0.1534,24,-0.3176,4,-3.0574,9,-1.8728,6,-2.2548,8,-2.2150
ENSG00000117614,SYF2,112,1.16450,43,-0.4260,64,0.19815,61,0.10857,51,-0.1610,35,-0.7455,48,-0.3490
ENSG00000117616,RSRP1,60,0.62006,37,-0.1824,49,0.27576,56,0.49856,25,-0.7731,43,0.06689,34,-0.4046
ENSG00000183726,TMEM50A,102,0.63460,47,-0.6011,55,-0.3801,125,0.99654,51,-0.4787,79,0.21669,55,-0.4721
ENSG00000204178,MACO1,28,0.11629,16,-0.7813,22,-0.2471,35,0.45649,51,1.13503,18,-0.6151,22,-0.3601
ENSG00000117643,MAN1C1,19,-1.4317,15,-1.7873,24,-1.0866,38,-0.4238,68,0.52233,101,1.23420,59,0.41801
ENSG00000162430,SELENON,43,0.48666,36,0.19136,30,-0.1254,18,-0.8692,26,-0.3138,33,0.04611,34,0.12917
ENSG00000117640,MTFR1L,38,-0.8129,62,-0.0676,77,0.30303,50,-0.4103,105,0.82205,50,-0.4062,66,0.04463
ENSG00000117632,STMN1,711,-0.9254,706,-0.9360,1486,0.24542,1757,0.52691,1283,0.00546,1200,-0.1036,1457,0.29097
ENSG00000158008,EXTL1,13,-1.4593,39,0.18205,71,1.22898,47,0.50665,30,-0.2158,35,0.01412,25,-0.6186
ENSG00000175087,PDIK1L,6,-1.3090,12,-0.2312,10,-0.5612,17,0.29214,15,0.03949,19,0.40396,17,0.34938
ENSG00000142684,ZNF593,26,-0.4976,38,0.09496,32,-0.1753,29,-0.3158,66,1.05005,22,-0.7696,36,0.01755
ENSG00000142669,SH3BGRL3,207,0.03984,241,0.29620,314,0.74001,263,0.44041,228,0.20512,105,-1.0267,152,-0.5729
ENSG00000158062,UBXN11,22,-0.3856,20,-0.5310,31,0.11030,19,-0.6473,41,0.59275,19,-0.6337,35,0.45749
ENSG00000117682,DHDDS,8,-1.1917,16,-0.2642,23,0.35460,32,0.90431,9,-1.0074,34,1.03103,15,-0.4758
ENSG00000198830,HMGN2,232,1.48798,109,0.15627,117,0.27390,81,-0.3227,96,-0.0540,61,-0.7672,65,-0.8251
ENSG00000117713,ARID1A,43,-0.0940,36,-0.3738,71,0.75008,70,0.71659,30,-0.6371,44,-0.0631,38,-0.3496
ENSG00000204160,ZDHHC18,10,-1.8073,21,-0.7011,20,-0.7268,41,0.37494,37,0.20013,49,0.68390,38,0.36442
ENSG00000142751,GPN2,6,-1.3772,12,-0.2856,12,-0.3174,20,0.53557,14,-0.0559,12,-0.2948,18,0.51486
ENSG00000090273,NUDC,156,0.05773,142,-0.0971,180,0.29419,122,-0.3311,143,-0.0874,103,-0.5984,170,0.26567
ENSG00000253368,TRNP1,11,-2.9866,63,-0.3577,29,-1.5451,93,0.27741,92,0.26285,95,0.31462,108,0.75699
ENSG00000090020,SLC9A1,3,-2.8558,15,-0.7238,19,-0.3449,49,1.23684,19,-0.3676,31,0.42903,26,0.18950
ENSG00000142784,WDTC1,28,0.22693,29,0.28533,27,0.18483,28,0.21822,13,-0.9747,28,0.23259,22,-0.2158
ENSG00000186501,TMEM222,68,-0.2535,56,-0.5787,69,-0.2393,108,0.49004,86,0.10713,83,0.06247,84,0.09833
ENSG00000158195,WASF2,98,2.73459,29,0.30794,19,-0.3713,7,-1.7123,6,-1.9394,10,-1.3469,15,-0.9237
ENSG00000126705,AHDC1,11,-1.8221,26,-0.5646,58,0.76011,63,0.90954,26,-0.5633,47,0.39142,33,-0.1936
ENSG00000126709,IFI6,262,0.35237,198,-0.1046,444,1.28207,182,-0.2361,296,0.55822,52,-2.1386,156,-0.6150
ENSG00000009780,FAM76A,20,0.74612,8,-0.6523,25,1.12883,19,0.62319,5,-1.4500,11,-0.2291,9,-0.6886
ENSG00000117758,STX12,81,-0.2681,61,-0.7056,118,0.34153,139,0.62072,101,0.07891,81,-0.2610,94,-0.0495
ENSG00000117751,PPP1R8,25,0.09767,18,-0.3978,26,0.18549,30,0.38229,43,1.03396,23,-0.0445,15,-0.8350
ENSG00000117748,RPA2,28,-0.9279,29,-0.8651,93,1.03914,68,0.51177,56,0.18341,40,-0.3417,46,-0.1922
ENSG00000126698,DNAJC8,111,-0.0042,107,-0.0692,108,-0.0491,118,0.09360,112,0.01088,137,0.33482,104,-0.1596
ENSG00000130770,ATP5IF1,274,-1.3311,475,-0.4862,635,-0.0256,721,0.18267,806,0.36795,715,0.16795,726,0.26355
ENSG00000180098,TRNAU1AP,26,0.83822,20,0.41412,19,0.31191,19,0.33314,5,-1.6752,23,0.59994,10,-0.9355
ENSG00000197989,SNHG12,15,0.32508,10,-0.2846,22,0.89878,11,-0.2324,12,-0.0109,6,-1.0458,12,-0.0946
ENSG00000120656,TAF12,12,-0.4735,10,-0.6644,13,-0.2495,12,-0.4556,22,0.52694,22,0.49706,17,0.18897
ENSG00000198492,YTHDF2,33,-1.2907,27,-1.5860,82,0.12018,98,0.41283,62,-0.3313,98,0.40172,96,0.51677
ENSG00000116350,SRSF4,47,0.16336,27,-0.7490,43,-0.0143,72,0.86692,46,0.09597,44,0.02962,36,-0.3540
ENSG00000116353,MECR,10,-2.0519,30,-0.4850,45,0.16054,70,0.90793,53,0.44672,43,0.09410,38,-0.1348
ENSG00000060656,PTPRU,10,-0.9524,5,-1.9189,112,3.74906,20,0.02693,14,-0.5223,3,-2.5551,3,-2.8110
ENSG00000162511,LAPTM5,105,2.75583,36,0.59892,23,-0.1416,8,-1.7212,16,-0.6555,9,-1.4713,9,-1.7673
ENSG00000162512,SDC3,90,-0.7117,121,-0.2491,137,-0.0563,148,0.06728,151,0.09936,241,0.89462,129,-0.1940
ENSG00000134644,PUM1,69,-0.8073,53,-1.2089,168,0.62254,143,0.35565,140,0.31350,116,0.00265,117,0.02379
ENSG00000060688,SNRNP40,22,0.21330,17,-0.1773,28,0.62567,13,-0.6030,14,-0.5310,13,-0.6206,22,0.30209
ENSG00000121766,ZCCHC17,58,-0.7324,99,0.11042,116,0.36945,134,0.61270,57,-0.7596,138,0.65761,77,-0.3756
ENSG00000121769,FABP3,18,-3.2050,110,-0.5512,70,-1.2459,232,0.66594,95,-0.7690,276,0.97157,199,0.57722
ENSG00000162517,PEF1,49,-0.8863,58,-0.6271,107,0.33627,110,0.38638,85,-0.0276,108,0.35465,88,0.03022
ENSG00000084636,COL16A1,61,1.23123,26,-0.1898,62,1.25363,35,0.28445,19,-0.6674,17,-0.8908,15,-1.2221
