Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to11,Feature log2 fold change topic 10to11
ENSG00000118564,FBXL5,56,-0.1112,33,-0.9412,44,-0.4672,52,-0.2146,43,-0.5295,78,0.41821,63,0.06893,86,0.57791,59,-0.0385,74,0.36716
ENSG00000237765,FAM200B,124,0.63913,60,-0.5148,85,0.02095,74,-0.1961,127,0.68303,133,0.75202,70,-0.2660,55,-0.6410,72,-0.2415,60,-0.5733
ENSG00000169762,TAPT1,17,-0.9071,22,-0.4493,32,0.10304,16,-0.9453,14,-1.1471,48,0.75117,49,0.79966,25,-0.2954,36,0.29688,36,0.29730
ENSG00000169744,LDB2,28,-1.1858,64,0.05649,71,0.23345,24,-1.4162,16,-2.0045,17,-1.9260,56,-0.1456,174,1.78978,69,0.17679,78,0.43514
ENSG00000151552,QDPR,153,-1.1898,167,-1.0581,142,-1.3066,375,0.19521,506,0.68373,1360,2.56719,214,-0.6810,222,-0.6292,271,-0.3161,121,-1.6459
ENSG00000002549,LAP3,77,1.34518,20,-0.7871,30,-0.2189,46,0.45417,49,0.58277,45,0.41639,20,-0.8376,30,-0.2149,37,0.13268,12,-1.7029
ENSG00000118579,MED28,25,-0.4459,30,-0.1837,23,-0.5902,25,-0.4597,34,0.01223,52,0.70224,55,0.79815,32,-0.0715,35,0.07484,29,-0.2357
ENSG00000163257,DCAF16,8,-0.8970,11,-0.4152,19,0.38961,8,-0.9023,15,0.03003,38,1.61521,14,0.00148,11,-0.4813,7,-1.0329,14,-0.0071
ENSG00000145147,SLIT2,8,-1.5076,7,-1.8097,13,-0.8589,17,-0.4970,10,-1.3086,11,-1.1592,35,0.64902,8,-1.5244,112,2.90886,18,-0.4470
ENSG00000163138,PACRGL,14,-0.7907,17,-0.4911,18,-0.4225,10,-1.2390,17,-0.4766,21,-0.1728,14,-0.7640,22,-0.0776,10,-1.2273,57,1.80565
ENSG00000185774,KCNIP4,67,-0.3460,88,0.09652,105,0.37993,46,-0.9169,25,-1.7957,20,-2.1371,46,-0.9094,162,1.10481,75,-0.1667,140,0.98486
ENSG00000152990,ADGRA3,24,0.79276,9,-0.6889,8,-0.8572,24,0.78165,41,1.73277,14,-0.0467,7,-1.0700,6,-1.2653,9,-0.7180,9,-0.7812
ENSG00000109606,DHX15,75,0.73006,16,-1.5956,33,-0.5801,36,-0.4514,27,-0.8834,59,0.35166,28,-0.8229,71,0.64720,57,0.28958,61,0.44655
ENSG00000109610,SOD3,177,3.73706,12,-1.2125,24,-0.2540,24,-0.1964,11,-1.3202,3,-2.9632,2,-3.5814,2,-3.4667,6,-2.2955,21,-0.4348
ENSG00000053900,ANAPC4,30,1.02800,10,-0.6513,9,-0.8611,19,0.24578,12,-0.4765,11,-0.5307,29,0.97299,18,0.14796,18,0.22288,10,-0.8106
ENSG00000250317,SMIM20,38,0.29506,27,-0.2155,41,0.42553,43,0.48930,37,0.25720,29,-0.1477,20,-0.7062,23,-0.5097,25,-0.3784,32,0.03597
ENSG00000168214,RBPJ,46,-0.1553,23,-1.2098,23,-1.2317,55,0.10866,58,0.19655,130,1.56499,63,0.32263,37,-0.4993,50,-0.0252,39,-0.4470
ENSG00000109689,STIM2,35,0.69091,18,-0.3369,10,-1.1377,8,-1.5094,10,-1.2446,30,0.45828,18,-0.3279,40,0.91708,23,0.03522,28,0.37220
ENSG00000169851,PCDH7,70,-1.3299,97,-0.8463,156,-0.1034,49,-1.8517,36,-2.3071,79,-1.1497,337,1.16472,388,1.42104,130,-0.3856,247,0.72441
ENSG00000047365,ARAP2,8,-1.2650,13,-0.4703,11,-0.8052,19,0.05883,35,1.07452,47,1.57524,15,-0.2891,16,-0.2073,10,-0.9233,13,-0.5063
ENSG00000065882,TBC1D1,42,1.33098,8,-1.2684,10,-0.9816,10,-0.9482,16,-0.1994,14,-0.4456,12,-0.6594,27,0.61510,18,-0.0592,24,0.45278
ENSG00000109787,KLF3,45,1.42426,17,-0.1404,19,-0.0082,21,0.18293,21,0.16912,31,0.80641,2,-3.3074,9,-1.1371,15,-0.3611,14,-0.4827
ENSG00000109790,KLHL5,29,0.06148,14,-1.0760,27,-0.0635,15,-0.9657,37,0.42272,57,1.14647,44,0.71456,17,-0.7359,45,0.76525,12,-1.3177
ENSG00000035928,RFC1,66,0.94944,17,-1.1964,22,-0.8130,19,-1.0044,45,0.32837,62,0.83662,50,0.48140,34,-0.1339,41,0.16690,25,-0.6379
ENSG00000163682,RPL9,2059,1.14310,688,-0.6368,1092,0.08518,1248,0.30088,1604,0.71351,1169,0.19452,633,-0.7640,613,-0.8122,796,-0.4114,740,-0.5712
ENSG00000163683,SMIM14,50,-0.2832,46,-0.4051,66,0.14954,40,-0.6283,56,-0.1235,89,0.63396,80,0.46225,58,-0.0666,62,0.04097,57,-0.0841
ENSG00000078140,UBE2K,109,0.02113,75,-0.5508,111,0.05606,59,-0.9211,62,-0.8459,134,0.35914,116,0.12177,151,0.55441,88,-0.3037,137,0.44400
ENSG00000121892,PDS5A,21,-0.7493,24,-0.5594,22,-0.6546,20,-0.7944,24,-0.5665,48,0.56203,55,0.76341,38,0.18812,20,-0.8247,51,0.75934
ENSG00000163697,APBB2,33,0.02940,17,-0.9827,23,-0.5583,35,0.11228,36,0.15058,72,1.29781,28,-0.2318,29,-0.2107,27,-0.3300,31,-0.1264
ENSG00000154277,UCHL1,945,-1.3021,1875,-0.2549,1969,-0.1781,1266,-0.8592,793,-1.5637,1437,-0.6658,2646,0.29302,3657,0.82889,2716,0.33519,3470,0.85163
ENSG00000064042,LIMCH1,70,-0.9735,94,-0.5252,77,-0.8277,86,-0.6559,118,-0.1682,281,1.26141,175,0.45654,121,-0.1390,115,-0.2155,156,0.30378
ENSG00000109133,TMEM33,52,-0.2161,32,-0.9736,66,0.15777,23,-1.4351,39,-0.6693,56,-0.0956,105,0.91874,101,0.85332,39,-0.6628,73,0.34481
ENSG00000014824,SLC30A9,62,-0.3602,73,-0.1187,61,-0.3922,69,-0.2028,47,-0.7937,87,0.16606,91,0.23630,119,0.67550,92,0.25610,81,0.05401
ENSG00000124406,ATP8A1,33,-1.8859,58,-1.0411,78,-0.5757,47,-1.3531,53,-1.1750,159,0.54390,131,0.22788,211,1.02132,89,-0.3726,195,1.02811
ENSG00000151806,GUF1,3,-2.4875,19,0.02443,10,-0.9241,19,0.00208,19,0.02863,20,0.08085,21,0.18598,23,0.28403,24,0.38566,25,0.46413
ENSG00000163281,GNPDA2,8,-0.9914,13,-0.3340,16,-0.0503,10,-0.7829,12,-0.4597,21,0.34855,13,-0.3019,32,1.07857,19,0.19158,18,0.19680
ENSG00000163285,GABRG1,41,0.10750,31,-0.3444,17,-1.1939,56,0.60735,65,0.85092,58,0.66031,36,-0.1015,12,-1.6942,72,1.03518,17,-1.3330
ENSG00000260878,AC104072.1,17,-1.4422,31,-0.4856,34,-0.3571,20,-1.1776,25,-0.8425,10,-2.1661,42,-0.0366,62,0.57725,34,-0.3546,100,1.68817
ENSG00000151834,GABRA2,54,-0.4295,65,-0.1558,66,-0.1303,53,-0.4586,43,-0.7726,16,-2.2679,63,-0.1893,117,0.79265,56,-0.3906,127,1.09688
ENSG00000109158,GABRA4,34,-0.5657,28,-0.8456,59,0.32339,23,-1.1368,15,-1.7341,19,-1.3810,53,0.12620,56,0.23746,71,0.62129,87,1.12178
ENSG00000163288,GABRB1,20,-0.9133,19,-0.9800,17,-1.1661,18,-1.0757,17,-1.1399,73,1.12361,86,1.40301,55,0.64336,20,-0.9223,40,0.13996
ENSG00000260918,AC107398.3,61,-0.6727,67,-0.5283,90,-0.0702,62,-0.6506,66,-0.5608,97,0.04870,126,0.46356,141,0.65771,77,-0.3050,124,0.50482
ENSG00000169019,COMMD8,23,-0.0591,17,-0.5315,22,-0.1499,15,-0.6862,18,-0.4292,12,-1.0010,16,-0.5865,32,0.48048,37,0.69726,35,0.70126
ENSG00000109171,SLAIN2,37,1.30052,11,-0.6007,16,-0.0946,17,-0.0101,16,-0.1124,15,-0.1757,8,-1.0370,10,-0.7553,16,-0.0871,20,0.25936
ENSG00000075539,FRYL,13,-0.6811,11,-0.8864,15,-0.4436,33,0.75714,19,-0.1129,69,2.12175,18,-0.1832,17,-0.2390,16,-0.3470,6,-1.8763
ENSG00000109180,OCIAD1,142,-0.9853,200,-0.4682,229,-0.2518,109,-1.3827,147,-0.9384,238,-0.1914,336,0.35315,517,1.07770,396,0.62670,324,0.33284
ENSG00000145247,OCIAD2,81,0.67804,35,-0.6497,49,-0.1242,58,0.12657,32,-0.8033,39,-0.4642,43,-0.3421,49,-0.1377,77,0.59587,62,0.25994
ENSG00000109184,DCUN1D4,30,-0.6407,43,-0.0836,24,-1.0041,21,-1.1615,27,-0.8011,55,0.29246,89,1.10617,71,0.71843,71,0.71644,35,-0.4457
ENSG00000163069,SGCB,51,-0.3503,39,-0.7520,73,0.21856,63,-0.0098,41,-0.6947,108,0.85993,62,-0.0411,71,0.17182,96,0.66222,48,-0.4684
ENSG00000109189,USP46,64,-0.4733,73,-0.2768,100,0.20744,65,-0.4581,66,-0.4270,51,-0.8362,119,0.49409,132,0.67103,72,-0.3016,109,0.40279
ENSG00000226950,DANCR,77,0.67409,44,-0.2268,31,-0.7639,41,-0.3199,82,0.78205,34,-0.6050,45,-0.1718,23,-1.1752,54,0.10664,62,0.38011
ENSG00000145216,FIP1L1,34,0.09098,27,-0.2586,30,-0.1136,28,-0.2266,28,-0.2314,44,0.51731,23,-0.4780,38,0.28250,32,-0.0052,34,0.11083
ENSG00000072201,LNX1,19,-1.4331,39,-0.3384,45,-0.1258,18,-1.4806,12,-2.1124,12,-2.0943,23,-1.1405,90,1.00424,68,0.53721,105,1.52323
ENSG00000134853,PDGFRA,42,0.43940,12,-1.4004,40,0.35280,70,1.32104,66,1.21261,47,0.62242,15,-1.0964,6,-2.4133,12,-1.4439,19,-0.8341
ENSG00000128039,SRD5A3,7,-1.5315,12,-0.7778,14,-0.5673,8,-1.2683,19,-0.1073,23,0.24521,37,1.00027,33,0.78735,32,0.75058,17,-0.2269
ENSG00000134851,TMEM165,36,-0.1287,16,-1.3737,28,-0.4943,42,0.12428,63,0.76837,88,1.33900,33,-0.2766,46,0.26040,36,-0.1098,21,-1.0160
ENSG00000134852,CLOCK,22,-0.3626,31,0.16532,17,-0.7466,20,-0.5335,18,-0.6637,25,-0.1885,57,1.19620,25,-0.1365,37,0.45140,27,-0.0571
ENSG00000090989,EXOC1,47,0.36320,14,-1.4949,22,-0.7937,16,-1.2479,19,-1.0361,47,0.35929,47,0.35859,71,1.04447,43,0.23378,43,0.23029
ENSG00000128050,PAICS,46,0.14100,24,-0.8728,33,-0.3548,38,-0.1765,52,0.33622,30,-0.4999,42,0.00065,52,0.32078,47,0.15868,50,0.29780
ENSG00000174780,SRP72,72,0.06122,49,-0.5337,43,-0.7218,49,-0.5296,39,-0.8932,85,0.32696,111,0.75974,102,0.62697,76,0.14138,68,-0.0324
ENSG00000171476,HOPX,305,-0.8678,435,-0.3247,945,0.93576,182,-1.6467,174,-1.7090,7,-6.3145,80,-2.8547,559,0.07021,388,-0.5002,1404,2.03695
ENSG00000047315,POLR2B,68,-0.0700,33,-1.1760,32,-1.1853,45,-0.6902,45,-0.7114,51,-0.4938,108,0.68345,100,0.56282,108,0.68314,94,0.51386
ENSG00000163453,IGFBP7,1479,5.21828,14,-3.7092,40,-2.1743,70,-1.3538,65,-1.4652,126,-0.4748,19,-3.2611,10,-4.1897,23,-2.9615,13,-3.9364
ENSG00000150471,ADGRL3,23,-1.7057,57,-0.3562,54,-0.4569,32,-1.2328,40,-0.9050,74,0.03975,75,0.05954,120,0.83526,105,0.61746,106,0.70834
ENSG00000145242,EPHA5,15,-1.8483,55,0.04940,35,-0.6596,21,-1.4379,15,-1.8590,39,-0.4882,113,1.24171,110,1.20528,22,-1.3168,80,0.76031
ENSG00000145241,CENPC,29,1.23167,12,-0.1612,8,-0.7628,14,-0.0139,18,0.45703,26,1.03124,8,-0.8484,11,-0.3054,6,-1.1518,9,-0.6904
ENSG00000033178,UBA6,23,0.25198,12,-0.7142,15,-0.3712,13,-0.6408,18,-0.1461,39,1.12827,31,0.76244,18,-0.0954,22,0.21972,11,-0.8923
ENSG00000083896,YTHDC1,92,0.99875,35,-0.5645,33,-0.6468,39,-0.3832,72,0.58817,102,1.17304,34,-0.5906,43,-0.2358,35,-0.5463,33,-0.7105
ENSG00000132467,UTP3,59,1.17854,22,-0.4531,20,-0.5520,15,-1.0191,22,-0.4470,34,0.25505,38,0.42644,45,0.71111,34,0.25254,15,-1.0664
ENSG00000018189,RUFY3,128,-0.6710,181,-0.1306,126,-0.6985,110,-0.8960,142,-0.5129,227,0.22356,290,0.62706,316,0.77204,232,0.26169,207,0.09142
ENSG00000132463,GRSF1,83,-0.2749,98,-0.0201,84,-0.2716,49,-1.0776,67,-0.6059,106,0.10348,141,0.56525,163,0.80195,109,0.15142,96,-0.0553
ENSG00000173542,MOB1B,62,-0.0565,32,-1.0725,74,0.22112,30,-1.1838,31,-1.1237,27,-1.3113,39,-0.7787,50,-0.4071,49,-0.4337,158,1.84303
ENSG00000156136,DCK,30,-0.2733,28,-0.3609,20,-0.8818,33,-0.1173,19,-0.9471,40,0.19373,64,0.95741,40,0.18497,58,0.79338,29,-0.3199
ENSG00000080493,SLC4A4,66,0.54633,35,-0.4258,56,0.28240,109,1.41939,79,0.84349,22,-1.1377,26,-0.8683,13,-1.9149,21,-1.1963,43,-0.1316
ENSG00000163626,COX18,6,-1.1577,19,0.66755,9,-0.5094,11,-0.2017,8,-0.7183,12,-0.0818,15,0.24247,17,0.50111,14,0.22755,14,0.13538
ENSG00000132466,ANKRD17,51,-0.5080,58,-0.3113,55,-0.3979,56,-0.3699,37,-0.9896,183,1.61083,110,0.72042,54,-0.4277,74,0.06840,50,-0.5740
ENSG00000169116,PARM1,77,-0.1776,65,-0.4317,70,-0.3200,27,-1.7555,23,-1.9625,4,-4.3801,228,1.66369,68,-0.3662,171,1.14271,106,0.37376
ENSG00000163743,RCHY1,31,-0.3745,24,-0.7666,24,-0.7885,41,0.04852,30,-0.4159,40,0.00086,54,0.48008,54,0.49669,40,0.01883,50,0.39133
ENSG00000138769,CDKL2,0,-4.2455,13,-0.3544,6,-1.3186,12,-0.3770,14,-0.2455,16,0.00170,34,1.20869,27,0.81665,18,0.17677,18,0.20863
ENSG00000138757,G3BP2,172,-0.9870,244,-0.4497,394,0.30769,128,-1.4233,121,-1.5172,272,-0.2846,426,0.43246,463,0.57121,369,0.20019,496,0.78390
ENSG00000138768,USO1,26,-0.8162,31,-0.5439,32,-0.4930,32,-0.5098,30,-0.6375,64,0.57076,66,0.61710,80,0.95851,54,0.28715,38,-0.2663
ENSG00000198301,SDAD1,46,0.39088,20,-0.8802,36,0.01313,17,-1.0991,17,-1.1091,22,-0.7060,50,0.55260,52,0.61384,39,0.16222,46,0.45064
ENSG00000138760,SCARB2,66,-0.2721,36,-1.1968,48,-0.7510,79,0.01767,92,0.25339,243,1.96531,70,-0.1867,61,-0.3835,79,0.00500,44,-0.9490
ENSG00000138758,SEPTIN11,172,0.54264,104,-0.2570,97,-0.3670,73,-0.8033,110,-0.1730,130,0.09438,126,0.03896,166,0.48746,102,-0.2944,135,0.17024
ENSG00000118816,CCNI,292,0.59020,154,-0.4292,192,-0.0873,204,0.01176,262,0.41233,318,0.73392,210,0.05942,97,-1.1276,330,0.79426,85,-1.4250
ENSG00000138764,CCNG2,22,-0.6329,41,0.33486,35,0.12136,32,-0.0507,28,-0.2560,36,0.14036,24,-0.5118,43,0.41642,24,-0.4522,39,0.28729
ENSG00000138767,CNOT6L,14,0.07129,15,0.24636,12,-0.1546,14,0.12297,19,0.61928,13,0.04883,27,1.19860,7,-0.8389,11,-0.2648,5,-1.4568
ENSG00000169288,MRPL1,38,-0.6703,32,-0.9492,33,-0.9093,30,-1.0257,32,-0.9194,42,-0.5317,87,0.62050,79,0.46659,107,0.97682,85,0.66276
ENSG00000163291,PAQR3,8,-1.4089,17,-0.2044,16,-0.3093,6,-1.7773,7,-1.5987,16,-0.3615,30,0.65443,24,0.30400,21,0.12933,37,1.16241
ENSG00000152784,PRDM8,15,-1.6278,41,-0.1317,39,-0.2097,27,-0.7844,17,-1.4519,21,-1.1625,99,1.31532,87,1.07821,41,-0.1256,53,0.30135
ENSG00000138670,RASGEF1B,11,-1.2467,24,-0.0751,17,-0.6261,14,-0.9022,15,-0.8163,3,-3.0208,1,-3.8990,20,-0.3429,36,0.56036,68,2.09532
ENSG00000273156,AC124016.2,9,-1.0314,16,-0.1023,8,-1.1250,15,-0.2375,18,0.05203,16,-0.1715,23,0.43558,10,-0.8961,34,1.05813,22,0.41176
ENSG00000138668,HNRNPD,186,0.88677,102,-0.0848,83,-0.4176,103,-0.0739,78,-0.5098,122,0.19002,124,0.21662,106,-0.0244,105,-0.0465,90,-0.3162
ENSG00000152795,HNRNPDL,224,-0.0876,160,-0.6121,210,-0.1888,154,-0.6677,154,-0.6663,328,0.52180,255,0.11791,296,0.35475,294,0.34234,266,0.20657
ENSG00000145293,ENOPH1,103,-0.2374,70,-0.8384,122,0.03459,95,-0.3662,86,-0.5077,178,0.63613,146,0.31490,139,0.23894,158,0.44439,111,-0.1406
ENSG00000249242,TMEM150C,34,-0.3307,32,-0.3834,18,-1.2890,23,-0.8903,24,-0.8248,31,-0.4588,91,1.29220,54,0.41207,46,0.17283,52,0.40967
ENSG00000145284,SCD5,251,-0.7041,279,-0.5447,265,-0.6201,516,0.42997,402,0.02889,782,1.13390,429,0.13207,331,-0.2788,460,0.24503,314,-0.3922
ENSG00000138674,SEC31A,60,0.46288,31,-0.5643,16,-1.5806,32,-0.5043,24,-0.9831,49,0.13827,36,-0.3566,58,0.41170,74,0.81073,57,0.43433
ENSG00000251022,THAP9-AS1,24,0.70883,15,-0.0237,14,-0.1343,6,-1.3149,16,0.02445,18,0.26936,16,0.05058,17,0.12014,19,0.35818,12,-0.4200
ENSG00000138663,COPS4,36,-1.1643,79,0.05494,76,-0.0218,57,-0.4594,51,-0.6318,78,0.03204,61,-0.3481,151,1.11554,107,0.53999,74,-0.0724
ENSG00000163319,MRPS18C,109,0.32867,93,0.07677,94,0.09731,87,-0.0266,54,-0.7597,76,-0.2286,84,-0.0908,108,0.31656,114,0.39940,78,-0.2280
ENSG00000163624,CDS1,18,-1.1543,30,-0.4029,37,-0.0720,16,-1.2954,6,-2.6650,26,-0.5858,84,1.29169,56,0.60175,92,1.46082,29,-0.4680
ENSG00000163625,WDFY3,39,-0.3687,25,-1.0125,52,0.09081,39,-0.3722,36,-0.4800,67,0.48401,65,0.44768,54,0.15958,52,0.08891,56,0.22961
ENSG00000180769,WDFY3-AS2,22,0.55187,8,-1.0190,8,-1.0597,35,1.32236,33,1.19132,16,0.00457,9,-0.9085,7,-1.1119,18,0.16019,9,-0.8925
ENSG00000109339,MAPK10,58,-1.7166,236,0.43143,203,0.18886,122,-0.6099,86,-1.1371,129,-0.5183,233,0.41054,276,0.68792,194,0.11201,224,0.38955
ENSG00000172493,AFF1,30,1.26384,7,-0.9045,9,-0.6140,13,-0.0689,23,0.85572,12,-0.1621,4,-1.6162,6,-1.2308,19,0.49571,13,-0.0573
ENSG00000145332,KLHL8,31,0.85354,10,-0.8546,8,-1.1690,14,-0.3754,19,0.03129,19,0.02905,17,-0.0697,13,-0.5668,25,0.46319,23,0.37504
ENSG00000198189,HSD17B11,44,0.89319,20,-0.3413,26,0.06024,21,-0.2434,23,-0.1436,34,0.48681,27,0.12962,35,0.50607,21,-0.2781,13,-1.1189
ENSG00000170502,NUDT9,78,0.71362,33,-0.6488,23,-1.1691,31,-0.7596,26,-1.0039,45,-0.1679,30,-0.7830,62,0.34190,87,0.89464,68,0.56489
ENSG00000152583,SPARCL1,1961,0.56865,606,-1.2642,1271,-0.1300,1317,-0.0746,1689,0.32390,482,-1.6062,697,-1.0545,990,-0.5186,2532,1.00071,1818,0.50265
ENSG00000118785,SPP1,42,-1.7614,24,-2.6058,30,-2.2540,167,0.33607,200,0.62708,913,3.97389,23,-2.6246,22,-2.7029,40,-1.8571,14,-3.4629
ENSG00000163644,PPM1K,86,-0.4776,97,-0.2894,131,0.19084,83,-0.5176,96,-0.3061,129,0.16773,192,0.81621,80,-0.5775,169,0.60237,108,-0.1229
ENSG00000138642,HERC6,10,-0.3991,10,-0.4579,12,-0.0640,11,-0.2881,3,-1.9241,15,0.22355,22,0.85551,24,1.00389,22,0.82182,7,-1.0330
ENSG00000145337,PYURF,127,0.39947,70,-0.5401,91,-0.1355,60,-0.7765,90,-0.1417,101,0.02932,75,-0.4260,116,0.25638,147,0.64256,105,0.11351
ENSG00000138641,HERC3,30,0.20789,30,0.20967,7,-1.9949,6,-2.2073,8,-1.8459,24,-0.1798,46,0.89765,27,0.00708,41,0.70599,37,0.58757
ENSG00000177432,NAP1L5,75,-1.3309,177,-0.0081,141,-0.3668,84,-1.1507,62,-1.5935,154,-0.2284,295,0.82864,271,0.68614,433,1.50543,132,-0.5098
ENSG00000138640,FAM13A,19,-0.3077,18,-0.4126,16,-0.5827,13,-0.8642,14,-0.7804,11,-1.1203,23,-0.0319,58,1.50625,28,0.26109,29,0.38058
ENSG00000145335,SNCA,183,-1.3041,330,-0.4121,454,0.09162,219,-1.0393,158,-1.5233,654,0.68569,743,0.90243,936,1.30585,186,-1.2813,427,-0.0071
ENSG00000163110,PDLIM5,119,1.98585,29,-0.4144,30,-0.3394,52,0.49606,72,1.06037,44,0.22700,17,-1.1678,4,-3.1776,24,-0.7266,13,-1.7549
ENSG00000138696,BMPR1B,19,0.43053,11,-0.4715,7,-1.0129,18,0.35324,33,1.32082,5,-1.6234,8,-0.9043,2,-2.7901,10,-0.5698,24,0.90662
ENSG00000138698,RAP1GDS1,52,-1.4883,128,-0.1267,115,-0.2905,83,-0.7933,70,-1.0527,139,-0.0002,153,0.15004,169,0.31511,253,0.98637,183,0.49733
ENSG00000168785,TSPAN5,66,-0.8090,97,-0.2206,68,-0.7616,32,-1.8973,41,-1.5068,113,0.02171,144,0.40420,174,0.72280,140,0.36417,176,0.85294
ENSG00000151247,EIF4E,60,-0.5586,88,0.04026,60,-0.5353,75,-0.1981,54,-0.6975,88,0.05347,120,0.54664,91,0.10671,126,0.62383,88,0.06085
ENSG00000164024,METAP1,15,-0.8027,36,0.55965,16,-0.6568,12,-1.1138,14,-0.9259,27,0.11653,31,0.35603,27,0.09972,32,0.35960,34,0.52063
ENSG00000197894,ADH5,104,0.84660,39,-0.7188,54,-0.2297,43,-0.5689,47,-0.4252,84,0.49189,72,0.22725,70,0.18847,69,0.16453,50,-0.3542
ENSG00000109270,LAMTOR3,50,-0.0972,58,0.12575,55,0.04626,35,-0.6766,29,-0.9465,55,0.04259,52,-0.0328,80,0.64244,53,-0.0126,61,0.22966
ENSG00000164031,DNAJB14,55,-0.4108,51,-0.5192,56,-0.3868,44,-0.7693,32,-1.2494,96,0.46057,148,1.20520,89,0.33902,74,0.03997,73,0.02249
ENSG00000164032,H2AFZ,140,-0.1511,116,-0.4376,185,0.29341,123,-0.3550,101,-0.6485,114,-0.4658,78,-1.0537,247,0.76698,245,0.75486,173,0.20294
ENSG00000138814,PPP3CA,164,-1.3089,347,-0.1660,306,-0.3626,140,-1.5472,138,-1.5692,577,0.65484,706,0.99626,570,0.63432,170,-1.2575,562,0.69579
ENSG00000254531,AP001816.1,0,-6.0043,15,0.38489,6,-0.9650,6,-0.8518,4,-1.6516,30,1.59890,12,0.10533,23,1.10745,9,-0.4232,11,-0.0712
ENSG00000109332,UBE2D3,186,0.19857,151,-0.1346,163,-0.0120,140,-0.2487,95,-0.8537,190,0.23176,142,-0.2313,222,0.48531,185,0.18478,167,0.02912
ENSG00000145354,CISD2,55,-0.2424,58,-0.1598,32,-1.0610,60,-0.1171,40,-0.7374,82,0.39234,70,0.13809,95,0.62941,103,0.77289,56,-0.2429
ENSG00000164038,SLC9B2,9,-0.6455,11,-0.3868,14,-0.0257,17,0.28649,10,-0.5500,6,-1.1263,25,0.98512,19,0.47954,15,0.16242,13,-0.0698
ENSG00000164039,BDH2,48,1.19169,20,-0.2007,19,-0.2604,29,0.33777,56,1.46523,49,1.25508,4,-2.3533,4,-2.6196,14,-0.7703,5,-2.2337
ENSG00000168772,CXXC4,11,-1.2552,36,0.59335,16,-0.6806,12,-1.1631,13,-0.9654,61,1.48765,61,1.47646,12,-1.0962,27,0.10046,14,-0.9954
ENSG00000138777,PPA2,67,0.38569,48,-0.1435,45,-0.2653,28,-0.9726,44,-0.2981,38,-0.5265,47,-0.1937,59,0.18439,82,0.71742,62,0.27890
ENSG00000145348,TBCK,17,0.20481,10,-0.5608,6,-1.3807,7,-1.1828,8,-0.9406,22,0.64836,21,0.56377,23,0.73040,24,0.79688,12,-0.3339
ENSG00000164022,AIMP1,69,1.19920,25,-0.4510,18,-0.9071,35,0.09740,39,0.25947,67,1.16897,31,-0.1260,20,-0.7928,24,-0.4775,18,-0.9709
ENSG00000138801,PAPSS1,45,-0.8601,41,-0.9729,43,-0.9039,31,-1.3978,38,-1.1006,160,1.18911,157,1.15907,131,0.84560,62,-0.3667,75,-0.0677
ENSG00000138796,HADH,36,0.25384,9,-1.7420,25,-0.2903,20,-0.6358,26,-0.2520,39,0.40285,33,0.10312,41,0.47729,29,-0.0720,38,0.41106
ENSG00000109475,RPL34,3940,1.16452,1352,-0.5758,1979,0.01862,2767,0.56139,3192,0.80052,2053,0.07708,1208,-0.7491,1093,-0.9015,1283,-0.6570,1324,-0.6629
ENSG00000198856,OSTC,44,0.71748,23,-0.3157,27,-0.0824,12,-1.2937,15,-0.9960,27,-0.0986,29,0.00717,44,0.68691,53,1.02607,20,-0.6164
ENSG00000164089,ETNPPL,96,0.33165,71,-0.1514,94,0.28767,179,1.39224,150,1.07274,72,-0.1223,63,-0.3379,23,-1.8526,28,-1.5480,42,-1.0376
ENSG00000138802,SEC24B,22,-0.0446,20,-0.2392,22,-0.0655,12,-0.9774,17,-0.4546,22,-0.0560,17,-0.4385,29,0.39357,26,0.18739,32,0.62422
ENSG00000123739,PLA2G12A,39,0.01583,21,-0.9624,23,-0.7798,38,-0.0124,38,-0.0420,57,0.61534,45,0.24590,41,0.10531,55,0.57443,34,-0.2222
ENSG00000170522,ELOVL6,3,-2.8862,15,-0.4974,9,-1.2115,14,-0.5777,16,-0.3834,25,0.27132,52,1.53998,17,-0.3173,26,0.36816,26,0.37347
ENSG00000138660,AP1AR,26,-0.5960,32,-0.2879,53,0.54152,25,-0.6459,13,-1.6140,45,0.25009,69,0.98241,52,0.50454,18,-1.1013,43,0.20074
ENSG00000174720,LARP7,142,1.58588,19,-1.6355,31,-0.9129,54,-0.0540,78,0.53009,122,1.29982,31,-0.8991,29,-1.0231,35,-0.7051,37,-0.7001
ENSG00000145362,ANK2,187,-1.0398,377,0.04381,441,0.29475,290,-0.3694,211,-0.8568,454,0.34042,596,0.79188,317,-0.2331,326,-0.1893,419,0.23863
ENSG00000145349,CAMK2D,94,-1.1272,118,-0.7800,238,0.31688,88,-1.2277,57,-1.8621,142,-0.4987,301,0.69888,381,1.10225,149,-0.4239,292,0.74119
