Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000205090,TMEM240,3,-4.4729,17,-1.9421,62,-0.0364,101,0.74182,63,-0.0096,53,-0.2884,82,0.41075,83,0.41908,42,-0.6279,97,0.76602
ENSG00000160075,SSU72,53,-1.5217,83,-0.8453,140,-0.0635,163,0.18456,118,-0.3124,172,0.27089,148,0.03442,186,0.39958,172,0.27055,181,0.39944
ENSG00000228594,FNDC10,0,-6.8020,8,-2.3517,48,0.32302,52,0.42439,54,0.47202,22,-0.8894,74,1.00419,66,0.81708,15,-1.4985,46,0.23585
ENSG00000272106,AL691432.2,13,-1.8373,55,0.36553,32,-0.5423,28,-0.7033,61,0.52951,40,-0.1349,27,-0.7542,33,-0.4422,107,1.48240,49,0.20978
ENSG00000197530,MIB2,0,-5.4026,23,-0.5978,29,-0.2405,55,0.77686,39,0.20382,29,-0.2186,29,-0.2540,51,0.66306,30,-0.1715,45,0.52145
ENSG00000189339,SLC35E2B,9,-2.1665,22,-0.8726,32,-0.3408,39,-0.0019,34,-0.2198,59,0.63115,62,0.70611,44,0.15502,41,0.06880,50,0.40434
ENSG00000215790,SLC35E2A,24,-0.0874,18,-0.5460,29,0.21210,7,-1.8992,31,0.32695,22,-0.1962,43,0.82736,26,0.06629,10,-1.3645,33,0.45261
ENSG00000008130,NADK,32,0.03533,24,-0.4305,27,-0.2665,24,-0.4060,28,-0.2041,40,0.37120,32,0.04271,25,-0.3755,43,0.48662,38,0.34325
ENSG00000078369,GNB1,314,-0.2195,223,-0.7431,293,-0.3562,248,-0.5810,274,-0.4323,380,0.07767,479,0.44838,348,-0.0576,614,0.85827,436,0.32928
ENSG00000187730,GABRD,0,-8.2786,2,-5.7615,81,-0.5384,91,-0.3124,74,-0.6229,122,0.14495,174,0.70909,127,0.19815,186,0.82197,201,1.09556
ENSG00000067606,PRKCZ,38,-2.1944,91,-0.8869,151,-0.1311,170,0.06401,150,-0.1270,186,0.20932,194,0.27253,180,0.16121,262,0.76699,191,0.27926
ENSG00000162585,FAAP20,124,1.18607,80,0.45892,61,0.00826,74,0.32014,56,-0.1264,55,-0.1467,67,0.15545,83,0.50416,0,-7.6456,32,-1.0378
ENSG00000157933,SKI,93,0.80796,46,-0.3177,57,0.04270,79,0.54743,59,0.07439,31,-0.9029,27,-1.0779,80,0.56070,69,0.31857,37,-0.6717
ENSG00000157916,RER1,96,0.48581,86,0.31655,39,-0.9626,59,-0.2787,45,-0.6837,82,0.23910,63,-0.1711,69,-0.0354,66,-0.1070,101,0.64388
ENSG00000157911,PEX10,0,-5.9827,33,0.60480,21,-0.1438,32,0.54695,29,0.37973,24,0.08997,8,-1.5122,42,1.02437,8,-1.4856,26,0.26907
ENSG00000149527,PLCH2,0,-6.2745,19,-0.5889,20,-0.4879,20,-0.4785,2,-3.7100,32,0.23809,72,1.60849,39,0.53425,2,-3.5312,52,1.17334
ENSG00000157881,PANK4,0,-5.7198,9,-1.0754,15,-0.3688,20,0.09567,21,0.19908,39,1.20385,23,0.31063,32,0.86442,21,0.22710,14,-0.4577
ENSG00000197921,HES5,0,-6.0103,3,-2.8941,22,-0.0625,19,-0.2648,33,0.57835,97,2.56098,6,-2.0099,44,1.07352,2,-3.4292,13,-0.9178
ENSG00000157870,PRXL2B,14,-2.5770,25,-1.7582,92,0.26042,135,0.86205,66,-0.2781,91,0.21796,56,-0.5378,78,-0.0274,84,0.09801,109,0.56971
ENSG00000177133,PRDM16-DT,0,-5.9290,1,-4.3636,30,0.59768,10,-1.0700,15,-0.5811,104,2.85051,14,-0.6576,13,-0.7607,20,-0.0756,10,-1.1602
ENSG00000158109,TPRG1L,63,-1.2500,50,-1.6109,98,-0.6348,131,-0.1500,160,0.17113,162,0.18883,158,0.14274,135,-0.0946,291,1.15675,190,0.49184
ENSG00000130764,LRRC47,31,-0.9991,42,-0.5447,36,-0.8331,61,0.01021,61,0.02219,73,0.29692,79,0.42443,65,0.10905,85,0.54232,78,0.43727
ENSG00000116198,CEP104,26,0.55676,30,0.79955,19,0.10125,20,0.17994,30,0.80209,11,-0.6787,3,-2.6825,4,-2.1041,2,-3.1307,26,0.65828
ENSG00000196581,AJAP1,0,-6.8637,13,-1.6906,31,-0.4756,22,-0.9662,21,-1.0655,40,-0.0660,40,-0.0416,56,0.48595,124,1.84362,60,0.65886
ENSG00000069424,KCNAB2,56,-2.1575,20,-3.6024,224,-0.0742,233,-0.0068,293,0.35623,270,0.22641,193,-0.2980,257,0.14626,330,0.54881,354,0.75211
ENSG00000116254,CHD5,3,-6.0898,27,-3.0302,214,0.08246,442,1.27304,198,-0.0447,154,-0.4408,177,-0.2259,328,0.76672,126,-0.7418,284,0.58990
ENSG00000116251,RPL22,1418,1.89571,1095,1.41462,403,-0.2517,212,-1.2051,221,-1.1468,388,-0.2910,369,-0.3696,347,-0.4641,262,-0.8879,245,-1.0620
ENSG00000116237,ICMT,28,-0.4130,12,-1.6617,25,-0.6268,36,-0.0247,48,0.41627,36,-0.0309,33,-0.1589,54,0.60598,17,-1.1434,63,0.99631
ENSG00000158292,GPR153,22,0.64847,0,-4.8507,22,0.77693,11,-0.4601,0,-5.7167,3,-2.2881,22,0.65461,4,-1.9198,32,1.28127,18,0.36916
ENSG00000097021,ACOT7,14,-3.2100,44,-1.5689,90,-0.5496,83,-0.6425,69,-0.9258,126,0.01005,160,0.38293,100,-0.3566,287,1.37106,221,1.05187
ENSG00000215788,TNFRSF25,57,0.92556,0,-6.6330,18,-0.9411,35,0.15269,30,-0.1041,23,-0.4861,0,-5.5817,38,0.25582,53,0.80491,56,1.02962
ENSG00000171680,PLEKHG5,0,-6.8827,7,-2.6561,37,-0.2079,53,0.37141,23,-0.8876,32,-0.4116,25,-0.8166,49,0.23916,78,0.99653,82,1.24686
ENSG00000162408,NOL9,0,-6.6240,12,-1.6170,37,0.10544,56,0.74937,40,0.21330,48,0.50014,24,-0.5614,49,0.52406,24,-0.6105,47,0.50899
ENSG00000162413,KLHL21,32,-0.0551,36,0.11439,25,-0.4572,36,0.12924,45,0.47402,29,-0.1992,13,-1.4329,35,0.05450,31,-0.1413,47,0.59398
ENSG00000116273,PHF13,0,-5.8510,13,-0.6447,12,-0.8794,31,0.66288,15,-0.4836,19,-0.0933,61,1.84558,16,-0.4112,8,-1.3871,29,0.62867
ENSG00000041988,THAP3,0,-5.3615,19,0.41040,12,-0.3302,14,-0.0872,11,-0.4105,14,-0.0816,17,0.24696,28,1.05588,3,-1.9925,22,0.75330
ENSG00000007923,DNAJC11,0,-6.3355,18,-0.8871,31,-0.0505,39,0.31326,34,0.09215,17,-0.8977,31,-0.0205,42,0.44433,49,0.69063,45,0.60726
ENSG00000171735,CAMTA1,150,-0.4100,81,-1.3376,182,-0.1218,318,0.78948,128,-0.6555,189,-0.0518,247,0.37391,368,1.03417,91,-1.1597,203,0.07036
ENSG00000049245,VAMP3,101,1.52320,170,2.54814,21,-1.0879,28,-0.5459,20,-1.0392,43,0.10143,41,0.04106,23,-0.8708,0,-8.6693,8,-2.3903
ENSG00000049246,PER3,28,-0.0219,36,0.34326,22,-0.4722,17,-0.7923,41,0.54878,61,1.23094,12,-1.2948,36,0.34056,17,-0.8214,27,-0.0982
ENSG00000116288,PARK7,387,1.09239,227,0.21537,128,-0.7278,63,-1.7352,96,-1.1096,297,0.64999,284,0.57656,162,-0.3135,337,0.85981,135,-0.6449
ENSG00000116285,ERRFI1,0,-5.7733,13,-0.5577,12,-0.7262,25,0.41849,18,-0.0737,22,0.22659,35,0.93090,15,-0.4217,15,-0.4250,32,0.91350
ENSG00000162426,SLC45A1,1,-4.7955,0,-8.5138,19,-0.6454,29,0.08464,37,0.43192,24,-0.2233,49,0.92176,29,0.07588,16,-0.8390,56,1.30668
ENSG00000142599,RERE,61,-1.1362,79,-0.7461,110,-0.2681,108,-0.2785,81,-0.7218,97,-0.4320,234,0.96931,134,0.06619,228,0.92400,152,0.28780
ENSG00000074800,ENO1,219,-1.1869,307,-0.6775,318,-0.6736,247,-1.0077,459,-0.0598,893,1.02588,431,-0.1578,362,-0.4272,992,1.20678,585,0.36317
ENSG00000171612,SLC25A33,0,-5.8766,15,-0.9505,27,-0.0219,7,-1.9806,5,-2.5813,86,1.92465,50,0.95419,18,-0.6265,39,0.54679,28,0.05777
ENSG00000188807,TMEM201,0,-5.4912,14,-0.1631,13,-0.3441,28,0.93330,15,-0.1053,19,0.24824,6,-1.5171,29,0.94909,0,-7.2395,27,0.97922
ENSG00000171608,PIK3CD,25,0.75449,5,-1.5583,17,0.14154,33,1.22277,25,0.75370,2,-2.6955,18,0.22370,19,0.33610,0,-7.2967,12,-0.3570
ENSG00000171603,CLSTN1,228,-1.3458,141,-2.0561,338,-0.8148,561,0.02484,506,-0.1365,591,0.10668,601,0.13527,569,0.04690,1033,1.02248,859,0.80742
ENSG00000178585,CTNNBIP1,33,0.02649,38,0.22659,39,0.30892,74,1.33156,44,0.47062,18,-0.9318,21,-0.6573,44,0.46290,2,-3.7863,20,-0.7758
ENSG00000162441,LZIC,0,-6.2898,73,1.61035,30,0.14331,15,-0.9046,4,-2.7150,32,0.23355,41,0.60589,17,-0.7569,27,-0.0239,32,0.22492
ENSG00000130939,UBE4B,61,0.39608,45,-0.0576,31,-0.7135,61,0.41601,45,-0.0551,21,-1.2169,45,-0.0634,62,0.43233,46,-0.0513,59,0.39194
ENSG00000054523,KIF1B,29,-3.4318,340,0.23491,272,-0.1257,279,-0.0802,360,0.32399,325,0.16366,332,0.19492,269,-0.1369,365,0.34796,338,0.24866
ENSG00000142657,PGD,41,-0.4691,41,-0.4946,37,-0.6963,78,0.53361,35,-0.7061,50,-0.1735,115,1.17557,89,0.74067,5,-3.3629,72,0.43849
ENSG00000241563,CORT,0,-6.5590,10,-1.7364,26,-0.4129,14,-1.2626,8,-2.0436,40,0.27968,131,2.37938,97,1.78352,6,-2.3853,22,-0.7267
ENSG00000160049,DFFA,35,0.32479,41,0.58203,28,-0.0370,30,0.07281,7,-2.0332,33,0.21553,38,0.45344,37,0.40830,22,-0.3702,22,-0.4681
ENSG00000142655,PEX14,0,-6.3331,0,-5.6036,27,-0.0867,31,0.12463,30,0.06990,25,-0.1982,44,0.69452,46,0.76279,12,-1.2381,50,1.02187
ENSG00000120948,TARDBP,17,-2.2179,95,0.40332,44,-0.8319,47,-0.6929,43,-0.8334,76,0.04531,76,0.03743,87,0.26150,172,1.40364,92,0.38833
ENSG00000116649,SRM,35,-1.5940,62,-0.7646,81,-0.3936,106,0.06375,78,-0.4071,98,-0.0554,123,0.30069,161,0.74029,150,0.61672,123,0.33618
ENSG00000171824,EXOSC10,20,-0.4714,35,0.44680,20,-0.4549,16,-0.7437,19,-0.5067,35,0.43066,49,0.99067,37,0.52621,23,-0.2150,22,-0.3126
ENSG00000198793,MTOR,0,-6.6032,15,-1.2577,31,-0.1781,28,-0.3354,30,-0.2426,41,0.27309,24,-0.5745,21,-0.7742,80,1.38360,57,0.92303
ENSG00000116661,FBXO2,45,-2.1479,133,-0.5283,205,0.15931,157,-0.2785,70,-1.4880,382,1.16686,262,0.53155,100,-0.9673,321,0.86907,185,-0.0233
ENSG00000132879,FBXO44,0,-8.5863,52,-1.4739,104,-0.4895,178,0.39421,244,0.91358,128,-0.1184,104,-0.4462,177,0.38509,145,0.07316,214,0.79196
ENSG00000116670,MAD2L2,9,-1.4934,34,0.48638,22,-0.2457,9,-1.5667,8,-1.6107,34,0.49622,23,-0.1366,34,0.50783,41,0.79943,32,0.42461
ENSG00000177000,MTHFR,41,1.01617,12,-0.9482,21,-0.0734,21,-0.0637,33,0.65647,1,-3.6079,22,-0.0303,37,0.83775,10,-1.1824,22,0.00554
ENSG00000011021,CLCN6,0,-7.8879,43,-1.0403,65,-0.4509,141,0.81674,128,0.65480,74,-0.2086,73,-0.2364,150,0.91659,37,-1.2424,122,0.64607
ENSG00000116685,KIAA2013,39,0.13251,53,0.63459,28,-0.4124,34,-0.0945,52,0.57657,36,0.02598,35,-0.0585,26,-0.5160,12,-1.6329,44,0.35734
ENSG00000083444,PLOD1,113,2.76979,19,-0.3699,18,-0.4792,18,-0.4687,14,-0.8507,8,-1.6107,14,-0.8219,43,0.91912,0,-7.9467,13,-0.9882
ENSG00000116688,MFN2,37,-1.3363,84,-0.0869,82,-0.1343,95,0.10392,112,0.37146,66,-0.4558,88,-0.0161,92,0.05678,96,0.12489,115,0.46912
ENSG00000116691,MIIP,0,-5.4248,9,-0.6974,12,-0.3709,15,-0.0467,12,-0.3859,14,-0.0704,22,0.58573,47,1.91443,1,-3.7707,18,0.35191
ENSG00000048707,VPS13D,0,-6.6886,37,-0.1463,37,-0.1286,40,-0.0157,49,0.30553,44,0.11882,29,-0.5261,49,0.31353,19,-1.1643,72,1.06742
ENSG00000162496,DHRS3,32,0.23776,26,-0.0773,39,0.64468,40,0.59522,23,-0.2385,46,0.85272,15,-0.8583,36,0.44736,0,-8.1120,15,-0.9473
ENSG00000116731,PRDM2,35,-0.8737,47,-0.4111,44,-0.5703,56,-0.1467,123,1.12768,47,-0.4057,67,0.14189,43,-0.5506,99,0.77264,66,0.13612
ENSG00000189337,KAZN,23,-0.9577,79,0.93767,37,-0.2910,29,-0.6465,82,1.00534,29,-0.6356,130,1.83679,30,-0.6029,13,-1.7926,19,-1.3063
ENSG00000142634,EFHD2,39,-1.3935,41,-1.3379,52,-1.0489,253,1.58426,581,3.40422,17,-2.5640,26,-1.9846,25,-2.0429,1,-6.5005,46,-1.2237
ENSG00000116138,DNAJC16,0,-6.2780,33,0.30662,23,-0.2813,38,0.50012,30,0.11151,25,-0.1202,25,-0.1219,29,0.08193,6,-2.1748,48,1.03919
ENSG00000197312,DDI2,0,-4.6649,16,-0.4332,15,-0.5934,36,0.79342,40,0.96941,16,-0.4582,17,-0.3978,21,-0.0464,25,0.22545,30,0.54175
ENSG00000116786,PLEKHM2,0,-7.5131,23,-1.5946,85,0.45499,100,0.67770,85,0.41733,68,0.05518,64,-0.0469,107,0.78918,53,-0.3217,59,-0.1903
ENSG00000065526,SPEN,52,0.10973,58,0.30550,39,-0.3602,53,0.15757,65,0.47024,55,0.21423,33,-0.5659,56,0.24880,30,-0.6990,48,0.00521
ENSG00000116809,ZBTB17,0,-4.2829,25,0.65079,11,-0.6022,21,0.39166,9,-0.8725,26,0.69056,21,0.35201,21,0.37529,17,0.01431,18,0.12143
ENSG00000037637,FBXO42,50,0.96761,9,-1.6631,17,-0.7336,24,-0.2007,19,-0.5641,16,-0.7940,50,0.98055,29,0.08893,16,-0.8156,40,0.68543
ENSG00000055070,SZRD1,125,2.18840,62,0.89200,25,-0.5994,26,-0.4600,12,-1.6287,32,-0.1641,26,-0.4736,51,0.59271,5,-2.6883,18,-1.1146
ENSG00000157191,NECAP2,87,2.63111,43,1.26162,8,-1.3211,13,-0.5918,12,-0.6837,31,0.71340,11,-0.9205,12,-0.6834,0,-7.6524,5,-2.0320
ENSG00000058453,CROCC,55,1.52114,14,-0.6647,14,-0.6645,46,1.19350,23,0.10254,15,-0.5708,18,-0.2971,11,-1.0483,2,-3.2222,25,0.20576
ENSG00000159363,ATP13A2,23,-2.4697,45,-1.5186,101,-0.3071,155,0.38406,113,-0.1185,114,-0.0962,170,0.53508,153,0.36171,159,0.42950,162,0.51413
ENSG00000117118,SDHB,14,-2.4147,56,-0.3526,53,-0.4799,73,0.07129,74,0.08155,74,0.08388,78,0.16972,91,0.40801,54,-0.3898,111,0.83712
ENSG00000117115,PADI2,0,-7.0825,332,3.84224,30,-0.7611,5,-3.2389,19,-1.3811,67,0.51729,42,-0.2107,11,-2.1489,27,-0.8750,8,-2.7287
ENSG00000179051,RCC2,37,0.52446,28,0.08346,19,-0.5093,41,0.68558,14,-0.9043,36,0.50637,28,0.07434,28,0.07523,11,-1.2742,27,0.07555
ENSG00000074964,ARHGEF10L,64,2.12416,6,-1.6748,22,0.30567,24,0.42772,19,0.09288,14,-0.4074,10,-0.8941,10,-0.9114,0,-5.2608,15,-0.3740
ENSG00000117154,IGSF21,0,-7.7969,55,-0.5748,61,-0.4629,167,1.20901,326,2.49894,37,-1.1632,88,0.16277,39,-1.0731,13,-2.7124,55,-0.6112
ENSG00000159423,ALDH4A1,1,-4.0245,11,-0.6966,25,0.60169,9,-0.9475,17,-0.0315,57,2.00333,14,-0.3480,32,0.98173,0,-4.7378,9,-0.9736
ENSG00000169991,IFFO2,0,-4.3514,10,-0.6081,11,-0.4258,31,1.20873,12,-0.2646,15,0.06242,4,-1.8358,37,1.51763,1,-3.3275,21,0.64841
ENSG00000127463,EMC1,0,-6.6235,19,-0.9622,24,-0.6149,31,-0.1676,43,0.30899,36,0.05758,59,0.83329,62,0.90081,28,-0.3726,48,0.54880
ENSG00000053372,MRTO4,0,-6.5779,23,-0.6213,34,0.02389,34,0.02046,44,0.42035,31,-0.1491,37,0.14076,34,0.01771,37,0.13412,49,0.65519
ENSG00000053371,AKR7A2,69,0.95679,44,0.22275,27,-0.5481,18,-1.1418,17,-1.2453,52,0.49639,46,0.30665,25,-0.6442,92,1.44732,20,-1.0352
ENSG00000077549,CAPZB,399,0.82394,137,-0.8540,177,-0.5100,284,0.26711,207,-0.2242,205,-0.2431,269,0.18423,243,0.02116,233,-0.0414,272,0.22022
ENSG00000173436,MICOS10,277,0.29461,263,0.21051,232,0.00857,169,-0.4816,182,-0.3653,240,0.06212,272,0.26443,274,0.27245,268,0.23694,178,-0.4317
ENSG00000158747,NBL1,386,1.01145,42,-2.3903,138,-0.6837,264,0.38198,422,1.16589,129,-0.7267,229,0.15858,309,0.64218,45,-2.2988,193,-0.1200
ENSG00000169914,OTUD3,0,-5.6020,10,-0.8294,16,-0.0971,28,0.77493,21,0.28754,6,-1.5892,32,0.98034,29,0.86732,2,-3.2445,23,0.53176
ENSG00000162545,CAMK2N1,56,-3.9874,478,-0.8427,786,-0.0846,338,-1.3620,200,-2.1418,1109,0.47105,785,-0.0793,832,0.01208,2559,1.93689,989,0.31945
ENSG00000090432,MUL1,0,-6.1205,20,-0.3547,18,-0.5553,20,-0.3505,27,0.12281,40,0.77852,18,-0.4604,37,0.62511,27,0.16093,36,0.68878
ENSG00000183114,FAM43B,0,-5.9612,5,-2.2026,9,-1.4687,31,0.52738,121,3.17836,9,-1.3247,32,0.56927,13,-0.7613,0,-7.8106,18,-0.3053
ENSG00000158828,PINK1,128,-1.1037,206,-0.3795,224,-0.2719,236,-0.1715,306,0.23822,371,0.54928,326,0.33920,141,-0.9564,225,-0.2467,386,0.69038
ENSG00000244038,DDOST,107,2.21758,23,-0.3505,13,-1.2888,23,-0.3505,32,0.10122,19,-0.6705,4,-2.7702,34,0.20710,31,0.07358,28,-0.1166
ENSG00000117245,KIF17,0,-5.3948,2,-2.6728,15,-0.0193,28,1.00676,19,0.36729,4,-1.9408,2,-2.7494,10,-0.5507,0,-6.5702,42,2.11209
ENSG00000189410,SH2D5,35,0.18673,2,-3.5849,22,-0.5803,32,0.02164,20,-0.6397,28,-0.1671,16,-1.0280,15,-1.0579,97,1.91812,42,0.54576
ENSG00000127483,HP1BP3,200,0.46666,119,-0.3504,111,-0.4968,128,-0.2409,157,0.08028,124,-0.2924,197,0.44326,172,0.22960,160,0.10742,156,0.07439
ENSG00000075151,EIF4G3,40,-1.4802,72,-0.5964,104,-0.0360,138,0.41341,148,0.52076,59,-0.9110,95,-0.1771,192,0.94985,82,-0.4098,122,0.24083
ENSG00000117298,ECE1,201,3.85411,28,-0.0692,14,-1.2012,8,-1.9388,12,-1.3389,31,0.07813,10,-1.6247,7,-2.1658,0,-8.2010,13,-1.2401
ENSG00000076864,RAP1GAP,11,-4.1303,71,-1.3978,111,-0.7831,278,0.71694,486,1.69089,130,-0.4872,95,-0.9691,201,0.19168,80,-1.2202,282,0.83954
ENSG00000090686,USP48,69,1.24678,36,0.20012,20,-0.7556,23,-0.5382,24,-0.4272,28,-0.1924,42,0.43025,38,0.28425,27,-0.2433,28,-0.2261
ENSG00000070831,CDC42,200,-0.1953,228,0.00632,158,-0.6002,234,0.04893,247,0.13338,202,-0.1800,308,0.48702,206,-0.1521,121,-0.9653,330,0.67616
ENSG00000173372,C1QA,415,4.94404,21,-1.1654,12,-2.1400,12,-1.9745,13,-1.8993,22,-1.0999,6,-3.0390,39,-0.2589,0,-8.8725,3,-4.0317
ENSG00000173369,C1QB,422,4.55636,35,-0.5708,25,-1.1499,16,-1.7364,7,-2.8974,13,-2.0108,47,-0.1388,21,-1.3599,0,-9.0107,2,-4.8480
ENSG00000004487,KDM1A,43,-0.1380,18,-1.4516,32,-0.6474,43,-0.1379,54,0.22876,36,-0.4113,69,0.62469,77,0.78696,42,-0.1789,59,0.40057
ENSG00000169641,LUZP1,95,1.10375,0,-7.2970,44,-0.1801,96,1.10709,47,-0.0406,48,-0.0013,23,-1.1297,41,-0.2695,31,-0.6917,57,0.27105
ENSG00000125944,HNRNPR,96,-0.2753,139,0.29954,64,-0.9568,84,-0.4811,104,-0.1558,92,-0.3542,201,0.90608,93,-0.3367,184,0.75328,130,0.20671
ENSG00000125945,ZNF436,0,-5.8705,8,-1.3453,8,-1.5125,32,0.68727,36,0.87829,17,-0.2601,10,-1.1205,18,-0.1819,54,1.58347,28,0.56671
ENSG00000117318,ID3,1134,6.17414,46,-1.2981,31,-1.9942,14,-3.0582,24,-2.2729,9,-3.5954,0,-7.0357,4,-4.6673,0,-10.085,5,-4.6917
ENSG00000142676,RPL11,2109,2.57515,1246,1.52715,327,-0.7067,156,-1.7634,236,-1.1484,331,-0.6359,451,-0.1604,195,-1.4352,238,-1.1368,190,-1.5571
ENSG00000011007,ELOA,5,-1.9073,20,0.18547,17,-0.0050,26,0.61774,11,-0.7023,18,0.08150,18,0.08600,30,0.85736,0,-4.5936,23,0.49772
ENSG00000057757,PITHD1,1,-6.2885,119,-0.2425,107,-0.4377,142,0.03404,146,0.07719,97,-0.5499,165,0.27506,174,0.35531,239,0.88252,184,0.50320
ENSG00000011009,LYPLA2,0,-7.0190,17,-1.5028,29,-0.7808,49,0.07197,65,0.53801,45,-0.0482,65,0.54781,62,0.45320,52,0.16703,72,0.80313
ENSG00000117308,GALE,0,-5.4103,4,-1.7860,14,-0.0841,24,0.76276,10,-0.5515,22,0.62166,11,-0.4842,11,-0.4605,12,-0.3653,28,1.16619
ENSG00000117305,HMGCL,43,1.58330,18,0.13533,15,-0.1649,13,-0.3404,18,0.13207,25,0.65921,15,-0.1187,4,-1.9213,0,-7.3962,16,-0.0771
ENSG00000189266,PNRC2,100,0.81988,47,-0.3885,54,-0.1865,51,-0.2523,50,-0.2791,59,-0.0237,87,0.59898,60,0.00436,40,-0.6077,59,-0.0307
ENSG00000188529,SRSF10,78,0.59832,62,0.21606,34,-0.7419,54,0.01179,46,-0.2515,56,0.05817,32,-0.7895,55,0.01991,80,0.62897,57,0.11173
ENSG00000001461,NIPAL3,1,-5.2297,155,1.82873,39,-0.5123,39,-0.4679,68,0.40645,30,-0.8402,46,-0.1972,56,0.10724,38,-0.5039,60,0.23062
ENSG00000133226,SRRM1,109,1.30871,93,1.02643,41,-0.2881,27,-0.8840,35,-0.5263,44,-0.1729,43,-0.2093,29,-0.8177,31,-0.7049,48,-0.0331
